RUT,Entidad_In,Fecha_Ingr,RegiÃ³n,Identifica,Longitud,Latitud,Proyeccion,Recurso_Pr,Mapas_Geol,Levantamie,Levantam_1,Base_Datos,Levantam_2,Bases_Dato,Base_Dat_1,Bases_Da_1,Otros_Estu,Imagen_Sat,Estudios_A,Estudio_Es,Informe_Ge,Estudio__1,Presentaci,Plano_Mina,TopografÃ­,EstimaciÃ³,Propiedad_,Este_WGS84,Sur_WGS84,Huso_WGS84,Nombre_Pro,Enlace_Pro,Estado,Recurso__1,Latitude,Longitude
92604000-6,ENAP,20210407,Región de Magallanes,S/N,"-69,46130371","-52,4777832",WGS84,Hidrocarburos,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"468669,592668668","4185719,18212909",19 S,Punta Espora,https://portalgeo.sernageomin.cl/SIGEX_2019/0615_1452_Punta_Espora,Proyecto Aprobado,Hidrocarburos,-52.477783202999944,-69.46130371099997
92604000-6,ENAP,20210407,Región de Magallanes,S/N,"-69,71459961","-52,81091309",WGS84,Hidrocarburos,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"451834,03766348","4148524,20559957",19 S,Retamos-4,https://portalgeo.sernageomin.cl/SIGEX_2019/0597_1452_Retamos_4,Proyecto Aprobado,Hidrocarburos,-52.81091308599997,-69.71459960899995
92604000-6,ENAP,20210407,Región de Magallanes,S/N,"-69,70892334","-52,8190918",WGS84,Hidrocarburos,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"452225,596861497","4147618,22510001",19 S,Retamos-5,https://portalgeo.sernageomin.cl/SIGEX_2019/0612_1452_Retamos_5,Proyecto Aprobado,Hidrocarburos,-52.81909179699994,-69.70892333999996
76041586-3,MINERA ATACAMA PACIFIC GOLD CHILE LTDA,20210413,Región de Atacama,03101EX01481,"-69,21020508","-27,0079956",WGS84,Au,MGG-002,MGQ-001,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"479145,911151145","7012661,79817759",19 S,Fenix,https://portalgeo.sernageomin.cl/SIGEX_2019/0582_1449_Fenix,Proyecto Aprobado,Au/Ag,-27.007995604999962,-69.21020507799994
76645913-3,Compañía Minera San Lorenzo Limitada,20210414,Región de Atacama,S/N,"-69,76379394","-26,37408447",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"423803,626662321","7082661,97321126",19 S,Salvadora,,Proyecto en Evaluación,Cu,-26.374084472999982,-69.76379394499997
14651619-K,Terence Walker,20210414,Región de Antofagasta,S/N,"-68,30621338","-22,22229004",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"571502,352976894","7542404,58628385",19 S,Turi,https://portalgeo.sernageomin.cl/SIGEX_2019/0617_1453_Turi,Proyecto Aprobado,Cu,-22.222290038999972,-68.30621337899998
76042429-3,SLM Marcela,20210415,Región de Atacama,2632,"-70,38238525","-27,49951172",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"363449,940003354","6957476,55490978",19 S,María,,Proyecto en Evaluación,Cu,-27.49951171899994,-70.38238525399998
91614000-2,Cía. Minera Cerro Negro S.A.,20210504,Región de Valparaíso,S/N,"-70,84637451","-32,61309814",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-001,"326757,861097386","6390098,92845802",19 S,Gloria,https://portalgeo.sernageomin.cl/SIGEX_2019/0737_440_Gloria,Proyecto Aprobado,Cu,-32.61309814499998,-70.84637451199995
91614000-2,Cía. Minera Cerro Negro S.A.,20210504,Región de Valparaíso,S/N,"-70,85308838","-32,6151123",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"326131,712298744","6389864,63645398",19 S,Portales,https://portalgeo.sernageomin.cl/SIGEX_2019/0738_440_Portales,Proyecto Aprobado,Cu,-32.61511230499997,-70.85308837899998
93920000-2,ANTOFAGASTA MINERALS S.A,20210512,Región de Antofagasta,02103EX01526,"-68,97802734","-23,15600586",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"502249,195283482","7439210,09292992",19 S,Toro,https://portalgeo.sernageomin.cl/SIGEX_2019/0560_1362_Toro,Proyecto Aprobado,Cu(Mo/Zn/Fe),-23.156005858999947,-68.97802734399994
93920000-2,ANTOFAGASTA MINERALS S.A,20210513,Región de Antofagasta,02302EX01530,"-69,09008789","-21,45611572",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"490666,008863876","7627368,74117446",19 S,Pórfido Norte Bloque 4,https://portalgeo.sernageomin.cl/SIGEX_2019/0625_1530_Pórfido_Norte_Bloque_4,Proyecto Aprobado,Cu(Mo/Zn/Fe),-21.456115722999982,-69.09008789099994
93920000-2,ANTOFAGASTA MINERALS S.A,20210513,Región de Antofagasta,02302EX01528,"-69,87969971","-22,30462646",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"409389,311175504","7533190,5182454",19 S,Sierra La Cruz,https://portalgeo.sernageomin.cl/SIGEX_2019/0563_1362_Sierra_La_Cruz,Proyecto Aprobado,Cu(Mo/Zn/Fe),-22.304626464999956,-69.87969970699999
93920000-2,ANTOFAGASTA MINERALS S.A,20210513,Región de Antofagasta,02104EX01531,"-70,00238037","-25,80291748",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"399514,111123985","7145758,87645374",19 S,Sierra Overa,https://portalgeo.sernageomin.cl/SIGEX_2019/0626_1530_Sierra_Overa,Proyecto Aprobado,Cu(Mo/Zn/Fe),-25.802917479999962,-70.00238037099996
76584392-8,INVERSIONES AMÉRICA SpA,20220112,Región de Atacama,S/N,"-70,27178955","-28,14599609",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"375117,648334522","6885970,84825004",19 S,Ema,https://portalgeo.sernageomin.cl/SIGEX_2019/0713_1703_Ema,Proyecto Aprobado,Cu,-28.14599609399994,-70.27178955099998
76920597-7,NEW GOLDEN EXPLORATIONS CHILE SpA,20220118,Región de Atacama,4565/2019,"-69,98950195","-26,9776001",WGS84,Cu-Au-Mo,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-002,"401804,039937867","7015661,06898153",19 S,Exploración Proyecto Atlántida,https://portalgeo.sernageomin.cl/SIGEX_2019/0699_1401_Exploracion_Proyecto_Atlantida,Proyecto Aprobado,Cu(Au/Ag),-26.977600097999982,-69.98950195299994
76508016-9,MINERA JOSÉ IVÁN ROJAS VILLARROEL E.I.R.L.,20220121,Región de Valparaíso,S/N,"-70,96820068","-32,75061035",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-001,TOPO-002,REC-002,PRMIN-002,"315608,221182158","6374646,11799369",19 S,Proyecto de Exploración Escarpes El Galpon,https://portalgeo.sernageomin.cl/SIGEX_2019/0854_1254_PROYECTO_DE_EXPLORACIÓN_ESCARPES_EL_GALPON,Proyecto Aprobado,Cu,-32.75061035199997,-70.96820068399995
76312921-7,CAMIN INVERSIONES,20180108,Región de Valparaíso,24/2018,"-70,85479736","-32,27520752",WGS84,Anhidrita,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"325316,582518813","6427548,82021715",19 S,La Violeta del 1 Al 5,,Proyecto en Evaluación,Min. Industriales,-32.27520751999998,-70.85479736299999
78543580-K,C. M. CERRO BAYO,20180403,Región Aysén,1697/2018,"-71,92382812","-46,54138184",WGS84,Au-Ag,MGG-001,MGQ-002,BDGQ-001,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"275824,539791649","4841644,74764727",19 S,Cerro Bayo,https://portalgeo.sernageomin.cl/SIGEX_2019/0066_1766_Cerro_Bayo,Proyecto Aprobado,Au/Ag,-46.54138183599997,-71.92382812499994
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20180712,Región del Maule,3291/2018,"-71,34088135","-36,37420654",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-002,"290005,67922727","5972000,37419584",19 S,Catalina,https://portalgeo.sernageomin.cl/SIGEX_2019/0001_2913_Catalina,Proyecto Aprobado,Cu,-36.37420654299996,-71.34088134799998
86160300-8,BHP CHILE INC,20180822,Región de Ñuble,08417EX00254,"-71,34619141","-36,64270019",WGS84,Cu,MGG-001,MGQ-001,BDGQ-001,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"290255,398693363","5942199,04611295",19 S,Animas,https://portalgeo.sernageomin.cl/SIGEX_2019/0006_488_Animas/,Proyecto Aprobado,Cu,-36.642700194999975,-71.34619140599995
86160300-8,BHP CHILE INC,20180822,Región de Ñuble,08405EX00255,"-71,54772949","-36,83349609",WGS84,Cu,MGG-001,MGQ-001,BDGQ-001,BDS-002,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"272798,476940932","5920568,76809677",19 S,Chillan,https://portalgeo.sernageomin.cl/SIGEX_2019/0007_488_Chillan/,Proyecto Aprobado,Cu,-36.83349609399994,-71.54772949199997
86160300-8,BHP CHILE INC,20180822,Región de O'Higgins,06116EX00248,"-70,55480957","-34,43481445",WGS84,Cu,MGG-002,MGQ-002,BDGQ-001,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"357146,054037768","6188534,7509222",19 S,Cipres,https://portalgeo.sernageomin.cl/SIGEX_2019/0008_488_Cipres/,Proyecto Aprobado,Cu,-34.434814452999944,-70.55480956999997
86160300-8,BHP CHILE INC,20180822,Región de Coquimbo,04106EX00241,"-69,90649414","-30,1907959",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"412736,654460122","6659725,4469947",19 S,Colorado,https://portalgeo.sernageomin.cl/SIGEX_2019/0009_488_Colorado/,Proyecto Aprobado,Cu,-30.190795897999976,-69.90649414099994
86160300-8,BHP CHILE INC,20180822,Región del Maule,07306EX00250,"-70,69042969","-35,16552734",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"346049,19256306","6107292,11853291",19 S,Infiernillo,https://portalgeo.sernageomin.cl/SIGEX_2019/0014_488_Infiernillo/,Proyecto Aprobado,Cu,-35.16552734399994,-70.69042968799994
86160300-8,BHP CHILE INC,20180822,Región del Maule,07401EX00251,"-71,21398926","-35,9519043",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"300321,749966339","6019120,37462598",19 S,Linares Antu,https://portalgeo.sernageomin.cl/SIGEX_2019/0015_488_Linares_Antu/,Proyecto Aprobado,Cu,-35.95190429699994,-71.21398925799997
86160300-8,BHP CHILE INC,20180822,Región Metropolitana,13203EX00247,"-70,01702881","-34,1954956",WGS84,Cu,MGG-001,MGQ-001,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"406293,470474793","6215700,06949547",19 S,Maitendos,https://portalgeo.sernageomin.cl/SIGEX_2019/0016_488_Maitendos/,Proyecto Aprobado,Cu,-34.19549560499996,-70.01702880899995
86160300-8,BHP CHILE INC,20180822,Región de O'Higgins,06301EX00249,"-70,54241943","-34,76660156",WGS84,Cu,MGG-001,MGQ-001,BDGQ-002,BDS-002,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-001,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-001,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"358847,178227327","6151755,87082268",19 S,Vista,https://portalgeo.sernageomin.cl/SIGEX_2019/0021_488_Vista/,Proyecto Aprobado,Cu,-34.76660156299994,-70.54241943399995
86160300-8,BHP CHILE INC,20180823,Región Metropolitana,13203EX00257,"-70,03601074","-34,24822998",WGS84,Cu,MGG-001,MGQ-001,BDGQ-002,BDS-002,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"404603,924140875","6209834,8076766",19 S,Don Manuel,https://portalgeo.sernageomin.cl/SIGEX_2019/0022_488_Don_Manuel/,Proyecto Aprobado,Cu,-34.24822997999996,-70.03601074199997
76005488-7,Sumitomo Metal Mining Chile Ltda,20180906,Región de Coquimbo,04104EX00261,"-70,65820312","-29,45910644",WGS84,Cu-Mo,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"339198,312051281","6740003,0076401",19 S,Caldera B,https://portalgeo.sernageomin.cl/SIGEX_2019/0023_72_Caldera_B/,Proyecto Aprobado,Cu(Mo/Zn/Fe),-29.459106444999975,-70.65820312499994
78801520-8,Compañía Minera San Gerónimo,20181011,Región de Coquimbo,4750/2018,"-70,92108154","-29,75201416",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"314239,402402933","6707147,18995218",19 S,Arqueros I,https://portalgeo.sernageomin.cl/SIGEX_2019/0054_1610_Arqueros_I/,Proyecto Aprobado,Cu,-29.75201415999993,-70.92108154299996
78801520-8,Compañía Minera San Gerónimo,20181011,Región de Coquimbo,4752/2018,"-70,92749023","-29,77020264",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"313653,266173368","6705120,91557288",19 S,Arqueros II,https://portalgeo.sernageomin.cl/SIGEX_2019/0055_1610_Arqueros_II/,Proyecto Aprobado,Cu,-29.770202636999954,-70.92749023399995
78801520-8,Compañía Minera San Gerónimo,20181011,Región de Coquimbo,4753/2018,"-70,91149902","-29,8671875",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"315377,960219195","6694397,18842711",19 S,Lidia,https://portalgeo.sernageomin.cl/SIGEX_2019/0056_1610_Lidia/,Proyecto Aprobado,Cu,-29.867187499999943,-70.91149902299998
78801520-8,Compañía Minera San Gerónimo,20181011,Región de Coquimbo,4758/2018,"-70,8460083","-29,69598389",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"321400,744322307","6713475,67835391",19 S,Veta Libertad,https://portalgeo.sernageomin.cl/SIGEX_2019/0061_1610_Veta_Libertad/,Proyecto Aprobado,Cu,-29.695983886999954,-70.84600830099998
78801520-8,Compañía Minera San Gerónimo,20181011,Región de Coquimbo,4759/2018,"-70,84997559","-29,69281006",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"321011,217223222","6713821,30574607",19 S,Veta Macarena,https://portalgeo.sernageomin.cl/SIGEX_2019/0062_1610_Veta_Macarena,Proyecto Aprobado,Cu,-29.692810058999953,-70.84997558599997
78801520-8,Compañía Minera San Gerónimo,20181011,Región de Coquimbo,4760/2018,"-70,85540771","-29,68920898",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"320479,149827324","6714211,99995786",19 S,Veta Pedro Montt,https://portalgeo.sernageomin.cl/SIGEX_2019/0063_1610_Veta_Pedro_Montt/,Proyecto Aprobado,Cu,-29.689208983999947,-70.85540771499996
61703000-4,ENAMI,20181016,Región de Tarapacá,4740/2018,"-68,7033081","-21,17327881",WGS84,Au-Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-001,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"530799,210853643","7658646,12297548",19 S,Leoncito - El Loa,https://portalgeo.sernageomin.cl/SIGEX_2019/0384_63_Leoncito_El_Loa,Proyecto Aprobado,Au/Ag,-21.173278808999953,-68.70330810499996
61703000-4,ENAMI,20181016,Región de Tarapacá,4743/2018,"-68,97460937","-20,72888184",WGS84,Cu-Au,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"502643,553300228","7707857,06883704",19 S,Pica,https://portalgeo.sernageomin.cl/SIGEX_2019/0665_443_Pica,Proyecto Aprobado,Cu(Au/Ag),-20.72888183599997,-68.97460937499994
61703000-4,ENAMI,20181016,Región de Atacama,4744/2018,"-68,77990723","-26,14709473",WGS84,Au-Cu,MGG-002,MGQ-002,BDGQ-001,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-001,BDDR-001,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-001,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"521998,901294204","7108007,56449523",19 S,Tres Puntas,https://portalgeo.sernageomin.cl/SIGEX_2019/0666_444_Tres_Puntas,Proyecto Aprobado,Au/Ag,-26.147094726999967,-68.77990722699997
78127000-8,Teck Resources Chile Ltda.,20181019,Región de Coquimbo,04103EX00361,"-71,10760498","-30,24688721",WGS84,Cu-Au,MGG-002,MGQ-002,BDGQ-001,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-001,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"297208,731757942","6651977,6942217",19 S,Carmen de Andacollo Distrito,https://portalgeo.sernageomin.cl/SIGEX_2019/0082_1935_Carmen_De_Andacollo_Distrito/,Proyecto Aprobado,Cu(Au/Ag),-30.24688720699993,-71.10760497999996
76670380-1,Minera Peñoles de Chile Limitada,20181022,Región de Coquimbo,4851/2018,"-71,29779053","-30,42687988",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"279309,032903357","6631669,4636315",19 S,Santa Nicole,https://portalgeo.sernageomin.cl/SIGEX_2019/0025_1197_Santa_Nicole/,Proyecto Aprobado,Cu,-30.42687988299997,-71.29779052699996
93920000-2,ANTOFAGASTA MINERALS S.A,20181023,Región de Coquimbo,04104EX00382,"-70,90332031","-29,1394043",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"314847,980468022","6775071,59464081",19 S,Alto Pajonales,https://portalgeo.sernageomin.cl/SIGEX_2019/0026_720_Alto_Pajonales/,Proyecto Aprobado,Cu,-29.139404296999942,-70.90332031299994
96623630-2,Compañía Minera Can-Can S.A.,20181023,Región de Valparaíso,05404EX00381,"-70,9052124","-32,09222412",WGS84,Cu-Au,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"320208,326712231","6447753,39167031",19 S,Proyecto Morro Hediondo,https://portalgeo.sernageomin.cl/SIGEX_2019/0081_1700_Proyecto_Morro_Hediondo/,Proyecto Aprobado,Cu(Au/Ag),-32.09222412099996,-70.90521240199996
76033303-4,Compañía Minera Salitrales Limitada,20181024,Región de Coquimbo,04106EX00390,"-69,92602539","-30,01940918",WGS84,Au-Ag,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-001,BDDR-001,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-001,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"410702,422985883","6678702,90717654",19 S,Alturas,https://portalgeo.sernageomin.cl/SIGEX_2019/0079_1699_Alturas/,Proyecto Aprobado,Au/Ag,-30.01940917999997,-69.92602539099994
76033303-4,Compañía Minera Salitrales Limitada,20181024,Región de Coquimbo,04106EX00389,"-69,97802734","-29,82012939",WGS84,Au-Ag,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"405499,544114077","6700744,38971252",19 S,Azufrera,https://portalgeo.sernageomin.cl/SIGEX_2019/0048_1607_Azufrera/,Proyecto Aprobado,Au/Ag,-29.82012939499998,-69.97802734399994
