Empresa,Unidad,Anio,Produccion
Chuquicamata,Miles TM,1960,231.1
Radomiro Tomic,Miles TM,1960,0.0
Ministro Hales,Miles TM,1960,0.0
Salvador,Miles TM,1960,78.8
Andina,Miles TM,1960,0.0
El Teniente,Miles TM,1960,169.3
Gaby,Miles TM,1960,0.0
Escondida,Miles TM,1960,0.0
Collahuasi,Miles TM,1960,0.0
Los Pelambres,Miles TM,1960,0.0
Anglo American Sur,Miles TM,1960,11.9
El Abra,Miles TM,1960,0.0
Candelaria,Miles TM,1960,0.0
Mantos Copper,Miles TM,1960,0.0
Zaldívar,Miles TM,1960,0.0
Cerro Colorado,Miles TM,1960,0.0
Centinela (Oxidos),Miles TM,1960,0.0
Quebrada Blanca,Miles TM,1960,0.0
Lomas Bayas,Miles TM,1960,0.0
Michilla,Miles TM,1960,0.0
Spence,Miles TM,1960,0.0
Centinela (Súlfuros),Miles TM,1960,0.0
Caserones,Miles TM,1960,0.0
Sierra Gorda,Miles TM,1960,0.0
Antucoya,Miles TM,1960,0.0
Andacollo,Miles TM,1960,0.0
Punta del Cobre,Miles TM,1960,0.0
Las Cenizas,Miles TM,1960,0.0
Chuquicamata,Miles TM,1961,249.6
Radomiro Tomic,Miles TM,1961,0.0
Ministro Hales,Miles TM,1961,0.0
Salvador,Miles TM,1961,72.6
Andina,Miles TM,1961,0.0
El Teniente,Miles TM,1961,158.9
Gaby,Miles TM,1961,0.0
Escondida,Miles TM,1961,0.0
Collahuasi,Miles TM,1961,0.0
Los Pelambres,Miles TM,1961,0.0
Anglo American Sur,Miles TM,1961,12.4
El Abra,Miles TM,1961,0.0
Candelaria,Miles TM,1961,0.0
Mantos Copper,Miles TM,1961,11.6
Zaldívar,Miles TM,1961,0.0
Cerro Colorado,Miles TM,1961,0.0
Centinela (Oxidos),Miles TM,1961,0.0
Quebrada Blanca,Miles TM,1961,0.0
Lomas Bayas,Miles TM,1961,0.0
Michilla,Miles TM,1961,0.0
Spence,Miles TM,1961,0.0
Centinela (Súlfuros),Miles TM,1961,0.0
Caserones,Miles TM,1961,0.0
Sierra Gorda,Miles TM,1961,0.0
Antucoya,Miles TM,1961,0.0
Andacollo,Miles TM,1961,0.0
Punta del Cobre,Miles TM,1961,0.0
Las Cenizas,Miles TM,1961,0.0
Chuquicamata,Miles TM,1962,275.8
Radomiro Tomic,Miles TM,1962,0.0
Ministro Hales,Miles TM,1962,0.0
Salvador,Miles TM,1962,82.4
Andina,Miles TM,1962,0.0
El Teniente,Miles TM,1962,152.0
Gaby,Miles TM,1962,0.0
Escondida,Miles TM,1962,0.0
Collahuasi,Miles TM,1962,0.0
Los Pelambres,Miles TM,1962,0.0
Anglo American Sur,Miles TM,1962,15.1
El Abra,Miles TM,1962,0.0
Candelaria,Miles TM,1962,0.0
Mantos Copper,Miles TM,1962,18.3
Zaldívar,Miles TM,1962,0.0
Cerro Colorado,Miles TM,1962,0.0
Centinela (Oxidos),Miles TM,1962,0.0
Quebrada Blanca,Miles TM,1962,0.0
Lomas Bayas,Miles TM,1962,0.0
Michilla,Miles TM,1962,0.0
Spence,Miles TM,1962,0.0
Centinela (Súlfuros),Miles TM,1962,0.0
Caserones,Miles TM,1962,0.0
Sierra Gorda,Miles TM,1962,0.0
Antucoya,Miles TM,1962,0.0
Andacollo,Miles TM,1962,0.0
Punta del Cobre,Miles TM,1962,0.0
Las Cenizas,Miles TM,1962,0.0
Chuquicamata,Miles TM,1963,274.8
Radomiro Tomic,Miles TM,1963,0.0
Ministro Hales,Miles TM,1963,0.0
Salvador,Miles TM,1963,88.2
Andina,Miles TM,1963,0.0
El Teniente,Miles TM,1963,144.4
Gaby,Miles TM,1963,0.0
