Date,Mine,Production,Match_Key,Capital_Stock,Inversión (MMU$),Cu_Price,Has_Desal,Has_Energy,Inv_Lag_48
2014-01-01,Altos de Punitaqui,1.0,altos de punitaqui,0.0,0.0,330.891,0,0,0.0
2014-02-01,Altos de Punitaqui,1.1,altos de punitaqui,0.0,0.0,324.416,0,0,0.0
2014-03-01,Altos de Punitaqui,1.1,altos de punitaqui,0.0,0.0,302.448,0,0,0.0
2014-04-01,Altos de Punitaqui,0.9,altos de punitaqui,0.0,0.0,302.584,0,0,0.0
2014-05-01,Altos de Punitaqui,0.9,altos de punitaqui,0.0,0.0,312.247,0,0,0.0
2014-06-01,Altos de Punitaqui,0.9,altos de punitaqui,0.0,0.0,308.719,0,0,0.0
2014-07-01,Altos de Punitaqui,1.0,altos de punitaqui,0.0,0.0,322.255,0,0,0.0
2014-08-01,Altos de Punitaqui,0.9,altos de punitaqui,0.0,0.0,317.54,0,0,0.0
2014-09-01,Altos de Punitaqui,0.7,altos de punitaqui,0.0,0.0,311.719,0,0,0.0
2014-10-01,Altos de Punitaqui,0.9,altos de punitaqui,0.0,0.0,305.685,0,0,0.0
2014-11-01,Altos de Punitaqui,1.0,altos de punitaqui,0.0,0.0,303.958,0,0,0.0
2014-12-01,Altos de Punitaqui,1.1,altos de punitaqui,0.0,0.0,291.34,0,0,0.0
2015-01-01,Altos de Punitaqui,0.9,altos de punitaqui,0.0,0.0,263.802,0,0,0.0
2015-02-01,Altos de Punitaqui,0.8,altos de punitaqui,0.0,0.0,258.642,0,0,0.0
2015-03-01,Altos de Punitaqui,1.0,altos de punitaqui,0.0,0.0,268.792,0,0,0.0
2015-04-01,Altos de Punitaqui,1.0,altos de punitaqui,0.0,0.0,273.447,0,0,0.0
2015-05-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,285.791,0,0,0.0
2015-06-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,264.608,0,0,0.0
2015-07-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,247.521,0,0,0.0
2015-08-01,Altos de Punitaqui,0.4,altos de punitaqui,0.0,0.0,230.83,0,0,0.0
2015-09-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,236.235,0,0,0.0
2015-10-01,Altos de Punitaqui,0.7,altos de punitaqui,0.0,0.0,236.894,0,0,0.0
2015-11-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,218.098,0,0,0.0
2015-12-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,209.968,0,0,0.0
2016-01-01,Altos de Punitaqui,0.7,altos de punitaqui,0.0,0.0,202.427,0,0,0.0
2016-02-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,208.447,0,0,0.0
2016-03-01,Altos de Punitaqui,0.7,altos de punitaqui,0.0,0.0,224.417,0,0,0.0
2016-04-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,220.043,0,0,0.0
2016-05-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,213.567,0,0,0.0
2016-06-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,210.042,0,0,0.0
2016-07-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,220.255,0,0,0.0
2016-08-01,Altos de Punitaqui,0.7,altos de punitaqui,0.0,0.0,215.829,0,0,0.0
2016-09-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,213.514,0,0,0.0
2016-10-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,214.646,0,0,0.0
2016-11-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,246.902,0,0,0.0
2016-12-01,Altos de Punitaqui,0.7,altos de punitaqui,0.0,0.0,257.017,0,0,0.0
2017-01-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,260.245,0,0,0.0
2017-02-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,269.504,0,0,0.0
2017-03-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,264.06,0,0,0.0
2017-04-01,Altos de Punitaqui,0.3,altos de punitaqui,0.0,0.0,258.442,0,0,0.0
2017-05-01,Altos de Punitaqui,0.3,altos de punitaqui,0.0,0.0,253.626,0,0,0.0
2017-06-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,258.524,0,0,0.0
2017-07-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,271.185,0,0,0.0
2017-08-01,Altos de Punitaqui,0.4,altos de punitaqui,0.0,0.0,293.845,0,0,0.0
2017-09-01,Altos de Punitaqui,0.6,altos de punitaqui,0.0,0.0,298.609,0,0,0.0
2017-10-01,Altos de Punitaqui,0.4,altos de punitaqui,0.0,0.0,308.324,0,0,0.0
2017-11-01,Altos de Punitaqui,0.3,altos de punitaqui,0.0,0.0,309.603,0,0,0.0
2017-12-01,Altos de Punitaqui,0.5,altos de punitaqui,0.0,0.0,308.495,0,0,0.0
2018-01-01,Altos de Punitaqui,0.4,altos de punitaqui,0.0,0.0,321.157,0,0,0.0
2018-02-01,Altos de Punitaqui,0.3,altos de punitaqui,0.0,0.0,317.596,0,0,0.0
2018-03-01,Altos de Punitaqui,0.3,altos de punitaqui,0.0,0.0,308.251,0,0,0.0
