Mine,Start_Year,Type,Owner,Holding
escondida,1990,Sulfuros,Private,BHP
spence,2006,Mixto,Private,BHP
cerro colorado,1994,Oxidos,Private,BHP
collahuasi,1999,Sulfuros,Private,Glencore
lomas bayas,1998,Oxidos,Private,Glencore
los bronces,1980,Sulfuros,Private,Anglo American
el soldado,1980,Sulfuros,Private,Anglo American
el abra,1996,Oxidos,Private,Freeport
los pelambres,2000,Sulfuros,Private,AMSA
centinela,2001,Mixto,Private,AMSA
antucoya,2015,Oxidos,Private,AMSA
zaldivar,1995,Oxidos,Private,AMSA
el teniente,1905,Sulfuros,Codelco,Codelco
chuquicamata,1915,Sulfuros,Codelco,Codelco
radomiro tomic,1997,Oxidos,Codelco,Codelco
andina,1970,Sulfuros,Codelco,Codelco
gabriela mistral,2008,Oxidos,Codelco,Codelco
ministro hales,2013,Sulfuros,Codelco,Codelco
salvador,1959,Sulfuros,Codelco,Codelco
quebrada blanca,1994,Mixto,Private,Teck
andacollo,1996,Mixto,Private,Teck
candelaria,1994,Sulfuros,Private,Lundin
caserones,2014,Sulfuros,Private,Lundin
sierra gorda,2014,Sulfuros,Private,KGHM
mantos blancos,1960,Mixto,Private,Capstone
mantoverde,1995,Mixto,Private,Capstone
atacama kozan,2003,Sulfuros,Private,Nittetsu
ojos del salado,2005,Sulfuros,Private,Lundin
punta del cobre,1990,Sulfuros,Private,Pucobre
altos de punitaqui,2010,Sulfuros,Private,Xiana
amalia,2000,Mixto,Private,Cemin
cerro negro,2000,Mixto,Private,Cemin
franke,2009,Oxidos,Private,Las Cenizas
las cenizas,1978,Sulfuros,Private,Las Cenizas
haldeman,2005,Mixto,Private,Haldeman
mantos de la luna,2005,Oxidos,Private,Private
michilla,1990,Oxidos,Private,Haldeman
pampa camarones,2019,Oxidos,Private,Private
san geronimo,1990,Sulfuros,Private,San Geronimo
tres valles,2010,Mixto,Private,Private
min. dpte. paipote (1),1951,Fundicion,Codelco,ENAMI
min. dpte. ventanas (1),1964,Fundicion,Codelco,Codelco
