ID,RUT_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_FAENA,NOMBRE_INSTALACION,TIPO_DEPOSITO,RECURSO,TIPO_MINERIA,CANTIDAD_MUROS__CONTENCION_,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,UTM_NORTE,UTM_ESTE,DATUM,HUSO,LATITUD,LONGITUD,ESTADO_INSTALACION,METODO_CONSTRUCTIVO_MURO,VOL_AUTORIZADO,VOL_ACTUAL,TONELAJE_AUTORIZADO,TONELAJE_ACTUAL,RES_APRUEBA,FECHA_RES_APRUEBA,RES_PDC_APRUEBA,FECHA_RES_PDC,Shape_Length,Shape_Area
0001-1N,89468900-5,CIA. MINERA DOÑA INES DE COLLAHUASI ,COLLAHUASI,PAMPA PABELLON,EMBALSE,COBRE-MOLIBDENO,METÁLICO,1,01,014,01405,Tarapacá,Tamarugal,Pica,7684083.902,541170.1216,WGS84,19S,-20.9432343,-68.60401418,ACTIVO,AGUAS ABAJO,1606000000,745260340,2329000000,1080627493,2234,2022-12-05,,,19867.05527,17895471.86
0002-1N,sin rut conocido,DESCONOCIDO,LA DIAMANTINA,DEPOSITO NORTE,TRANQUE DE RELAVE,COBRE,METÁLICO,4,01,014,01401,Tarapacá,Tamarugal,Pozo Almonte,7720959.132,428085.7282,WGS84,19S,-20.60911586,-69.69016352,ABANDONADO,,1590,,2385,,,,,,155.4899428,1499.600552
0003-1N,61703000-4,ENAMI,PIRQUINEROS DE CHOJA,RELAVE 1,EMBALSE,ORO,METÁLICO,1,01,014,01405,Tarapacá,Tamarugal,Pica,7670700.453,512673.2958,WGS84,19S,-21.06457807,-68.87800544,INACTIVO,,100,,150,,,,,,60.68926034,193.7341673
0004-1N,61703000-4,ENAMI,PIRQUINEROS DE CHOJA,RELAVE 3,TRANQUE DE RELAVE,ORO,METÁLICO,,01,014,01405,Tarapacá,Tamarugal,Pica,7670703.982,512688.2243,WGS84,19S,-21.06454609,-68.87786176,ELIMINADO,,100,,150,,,,,,38.05701096,109.0208736
0005-1N,61703000-4,ENAMI,PIRQUINEROS DE CHOJA,RELAVE 2,TRANQUE DE RELAVE,ORO,METÁLICO,,01,014,01405,Tarapacá,Tamarugal,Pica,7670701.019,512713.4743,WGS84,19S,-21.06457268,-68.87761868,ELIMINADO,,100,,150,,,,,,92.13102232,377.142505
0006-2N,61703000-4,ENAMI,PLANTA JOSE ANTONIO MORENO,PUNTA MORADO,TRANQUE DE RELAVE,COBRE,METÁLICO,1,02,021,02104,Antofagasta,Antofagasta,Taltal,7191287.793,353501.0335,WGS84,19S,-25.38802076,-70.45628997,INACTIVO,,1121664,,1682496,,1161,1992-09-29,1530,2015-06-04,1842.190241,179250.7845
0007-2N,61703000-4,ENAMI,PLANTA JOSE ANTONIO MORENO,EMBALSE DE RELAVE,EMBALSE,COBRE,METÁLICO,0,02,021,02104,Antofagasta,Antofagasta,Taltal,7191166.263,353696.8123,WGS84,19S,-25.38913714,-70.45435745,INACTIVO,EXCAVACION TERRENO,105000,108919,157500,163379,1483,2012-12-11,1530,2015-06-04,635.8589444,24063.309
0008-2N,61703000-4,ENAMI,PLANTA JOSE ANTONIO MORENO,JOSE MORENO 1,ACOPIO,COBRE,METÁLICO,,02,021,02104,Antofagasta,Antofagasta,Taltal,7190390.722,351563.7059,WGS84,19S,-25.39592727,-70.47564165,INACTIVO,NO APLICA,79200,,118800,,,,,,417.956816,6566.257809
0009-3N,61703000-4,ENAMI,PLANTA MATTA,TRANQUE DE RELAVE 3,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6968356.138,376086.9948,WGS84,19S,-27.40252642,-70.25336756,ACTIVO,EJE CENTRAL,18419769,17764894,28233659,27180288,1904,2019-07-24,2649,2015-10-22,4608.705425,907988.2906
0010-3N,61703000-4,ENAMI,PLANTA MATTA,RELAVES FILTRADOS,FILTRADO,COBRE,METÁLICO,0,03,031,03101,Atacama,Copiapó,Copiapó,6968095.587,375274.4678,WGS84,19S,-27.40480403,-70.26161128,EN CONSTRUCCION,NO APLICA,,,17475690,,1540,2022-09-06,,,4191.981442,691985.3448
