NOMBRE,PROPIEDAD,TIPO,COMBUSTIBL,POTENCIAMW,FECH_CREA,Longitude,Latitude,FUENTE
ACONCAGUA,ENAP REFINERIAS S.A. - ACONCAGUA,TERMOELECTRICA,GAS NATURAL,26.29,2018-12-31,-71.49183340399986,-32.92794379999998,Termoelectricas
AGUAS BLANCAS,ON-GROUP S.A.,TERMOELECTRICA,PETROLEO DIESEL,1.827,2014-12-10,-69.86456766099991,-24.13553225999993,Termoelectricas
ALMENDRADO,CENTRAL ELECTRICA ALMENDRADO SPA,TERMOELECTRICA,PETROLEO DIESEL,2.955,2018-08-14,-73.80605584099987,-42.62740890899994,Termoelectricas
AMENGUAL,EDELAYSEN,TERMOELECTRICA,S/I,0.09,2018-09-30,-72.21164473599993,-44.74644357099993,Termoelectricas
ANDES GENERACION,ANDES GENERACION SPA,TERMOELECTRICA,PETROLEO DIESEL,34.096,2014-12-10,-70.04403457299986,-26.40631619799996,Termoelectricas
ANTILHUE,GENERADORA ANTILHUE SPA,TERMOELECTRICA,PETROLEO DIESEL,94.403,2014-12-10,-73.1851765639999,-39.80087117499994,Termoelectricas
ATACAMA,ENEL GENERACION CHILE S.A.,TERMOELECTRICA,GAS NATURAL,716.386,2014-12-10,-70.41721770499987,-23.09138252699995,Termoelectricas
AYSEN TERMICO,EDELAYSEN,TERMOELECTRICA,PETROLEO DIESEL,2.8,2014-12-10,-72.70945543099992,-45.37500158499995,Termoelectricas
BIOCRUZ,TOMAVAL GENERACION S.A.,TERMOELECTRICA,GAS NATURAL-PETROLEO,5.2,2014-12-10,-71.22512426699996,-32.85237935499998,Termoelectricas
CALLE CALLE,SAGESA S.A.,TERMOELECTRICA,PETROLEO DIESEL,11.6,2014-12-10,-73.18877604599993,-39.79996657499999,Termoelectricas
CAMPICHE,EMPRESA ELECTRICA CAMPICHE S.A.,TERMOELECTRICA,CARBON,248.59,2014-12-10,-71.48329636999995,-32.748330944999964,Termoelectricas
CANDELARIA,COLBUN S.A.,TERMOELECTRICA,GAS NATURAL,237.61,2014-12-10,-70.61380946899988,-34.033898069999964,Termoelectricas
CANETE,SAGESA S.A.,TERMOELECTRICA,PETROLEO DIESEL,4.0,2014-12-10,-73.3827592209999,-37.73083897199996,Termoelectricas
CARDONES,CENTRAL CARDONES S.A.,TERMOELECTRICA,PETROLEO DIESEL,148.677,2014-12-10,-70.38551317399993,-27.48824770499993,Termoelectricas
CASABLANCA I,TECNORED S.A.,TERMOELECTRICA,PETROLEO DIESEL,1.6,2014-12-10,-71.39227411299987,-33.326259739999955,Termoelectricas
CBB-CENTRO,INACAL S.A.,TERMOELECTRICA,PETROLEO DIESEL,12.08,2014-12-10,-71.14318623299994,-34.866646884999966,Termoelectricas
CENIZAS,ELECTRICA CENIZAS S.A.,TERMOELECTRICA,PETROLEO DIESEL,14.0667,2014-12-10,-70.39176982899994,-27.484349040999973,Termoelectricas
AGNI,TACORA ENERGY SPA,TERMOELECTRICA,PETROLEO DIESEL,2.97,2018-08-14,-70.76096905299994,-33.38045736099997,Termoelectricas
CORTES,MOCHO ENERGY SPA,TERMOELECTRICA,PETROLEO DIESEL,2.97,2018-08-14,-70.78420204099996,-32.74436604299996,Termoelectricas
