name,longitude,latitude
Est ALAMEDA (Central),-70.67905204941582,-33.4518234692919
Est YUNGAY NORTE,-70.68126264748834,-33.42808225658169
Est RENCA,-70.690631420199,-33.40038263357774
Est QUILICURA,-70.70534848832276,-33.36419936550464
Est COLINA,-70.7694862859063,-33.29104667271637
Est BATUCO,-70.81430605319873,-33.23979867017617
Est POLPAICO,-70.88708963176317,-33.1695327865707
Est TILTIL,-70.92805576161768,-33.08477316078447
Est RUNGUE,-70.89166258210663,-33.00736218386504
Est MONTENEGRO,-70.83737665596426,-32.96657936944055
Est LA CUMBRE,-70.81519199901277,-32.93705788808629
Est ENRIQUE MEIGGS,-70.84925767906151,-32.86654283683422
Est LLAY-LLAY,-70.95168118470075,-32.84349836177446
Est CHAGRES,-70.95901958287533,-32.80709938328086
Est LO CAMPO,-70.90535012151756,-32.80625648019148
Est SAN ROQUE,-70.86667759557359,-32.79022689463438
Est PANQUEHUE,-70.83573679223088,-32.77206309799013
Est PALOMAR,-70.78536818689709,-32.74337999659515
Est SAN FELIPE,-70.73029498016307,-32.75864584735437
Est EL NARANJO,-70.73334365574235,-32.69456340203959
Ex Est PUTAENDO,-70.71400654553948,-32.63079999411918
Est CURIMÓN,-70.67277247386289,-32.78734732882273
Est LAS CUEVAS,-70.04844861488607,-32.81328339403598
Est POLVAREDAS,-69.652444419074,-32.79269928298097
Est PUNTA DE VACAS,-69.75514806305023,-32.85286288893168
Est PUENTE DEL INCA,-69.90909278060151,-32.82598693124423
Est GUIDO,-69.26429970714868,-32.84750335109641
Est USPALLATA,-69.3723314780128,-32.67492146954785
Est. CACHEUTA,-69.11767880372992,-33.0150202129298
Est. MENDOZA,-68.84814589380701,-32.88267616101483
Est. LOS ANDES (FFCC Trasandino),-70.59951529243313,-32.82685243924288
Est. de Transferencia,-70.6047705180192,-32.82316374033299
Est. LOS ANDES (FFCC Central),-70.60008442588115,-32.82639298468543
Est EL SAUCE,-70.53945705380748,-32.83769341928419
Est. LAS VIZCACHAS,-70.51262896061053,-32.85202271920279
Est. RIO COLORADO,-70.43630347413263,-32.86166354492227
Est RIECILLO,-70.35787360219683,-32.92075466071495
Est. RIO BLANCO,-70.304745,-32.909472
Est. SALADILLO,-70.28744256662848,-32.92663513386043
Est. HNOS CLARK,-70.14660310018358,-32.87278317416509
Est. PORTILLO,-70.128329,-32.836116
Est OCOA,-71.08429172711381,-32.84355603125066
Est PACHACAMA,-71.14806020421602,-32.83726816811488
Est CALERA (Red SURl),-71.19211420490382,-32.78995869236578
Est LA CRUZ,-71.2239495544622,-32.82672250433666
Est QUILLOTA (actual),-71.23541942293114,-32.87975692963258
Est SAN PEDRO,-71.27667802614967,-32.93776316053564
Est ACONCAGUA,-71.34274138351196,-32.91974893675308
Est MANZANAR,-71.37150260516239,-32.91727967861152
Est MAUCO,-71.4034433592695,-32.91684223555163
Est COLMO,-71.4421999307361,-32.91929264046551
Est CONCON,-71.49672171444966,-32.91639919328613
Est RITOQUE,-71.52769699576208,-32.82202638460061
