NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
LOS HIERROS II - TAP LOS HIERROS 110KV,EMPRESA ELÉCTRICA PORTEZUELO SPA,110.0,DEDICADO,2019-04-26,-35.83955424695051,-71.08126691162536
PUNTA SIERRA - LAS PALMAS 220KV,TRANSELEC S.A.,220.0,NACIONAL,2023-04-10,-31.212258348553227,-71.60339475274725
LAGUNA SECA - 418 69KV,MINERA ESCONDIDA LTDA.,66.0,DEDICADO,2019-04-25,-24.356935890661497,-69.10268007327171
TRES PINOS - LEBU 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-37.64586474833384,-73.52650478492379
HUASCO - MAITENCILLO 110KV L2,TRANSELEC S.A.,110.0,DEDICADO,2019-04-26,-28.50600935103266,-71.09159624622286
ZALDIVAR - ESCONDIDA 220KV,MINERA ESCONDIDA LTDA.,220.0,DEDICADO,2017-12-20,-24.21159438208331,-69.08024779627706
TOLPAN SUR – LOS OLMOS 220KV,TOLCHÉN TRANSMISIÓN SPA,220.0,ZONAL,2023-04-10,-37.677158889739175,-72.36811290376033
TAP SANTA CLARA - ITATA 66KV,ELÉCTRICA PUNTILLA S.A.,66.0,DEDICADO,2021-09-05,-37.01458417284341,-72.22091605741599
ANCOA - ALTO JAHUEL 500KV L2,TRANSELEC S.A.,500.0,NACIONAL,2019-04-26,-34.654515565911105,-71.0203872650635
LAS ARAÑAS - EL PEUMO 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2017-12-20,-33.93192246863856,-71.40939672086417
PUENTE ALTO - COSTANERA 110KV,TRANSMISORA ELÉCTRICA CORDILLERA SPA,110.0,ZONAL,2023-04-10,-33.617757061272975,-70.55268691686825
SAN PEDRO - LAS VEGAS 110KV,COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.,110.0,ZONAL,2019-04-26,-32.87688833325717,-71.14775817321828
LABERINTO - EL COBRE (ENGIE) 220KV,CODELCO CHILE - DIVISIÓN GABRIELA MISTRAL,220.0,NACIONAL,2019-04-26,-23.45132396395994,-69.39693774963644
RIO BONITO - CENTRAL CALLAO 23KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,23.0,DEDICADO,2021-09-05,-40.912973101465774,-72.36995473658588
COLBUN - CENTRAL MACHICURA 220KV,ALFA TRANSMISORA DE ENERGÍA S.A.,220.0,DEDICADO,2017-12-20,-35.71458500356133,-71.3772466370232
TAP LO VALLEDOR - LO VALLEDOR 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.480509432125025,-70.70974320688362
ALTO JAHUEL - FLORIDA 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.625058306768786,-70.62072679996236
FUTURO – ANDES (AES ANDES) 220KV,ANDES SOLAR II SPA,220.0,DEDICADO,2019-04-26,-24.015395698196976,-68.5753045281779
COCHRANE - ENCUENTRO 220 KV,EMPRESA ELÉCTRICA COCHRANE SPA,220.0,DEDICADO,2019-04-26,-22.812573173011813,-69.8659485039209
RIO AZUL - SANTA BARBARA,EDELAYSEN,23.0,S/I,2019-04-26,-42.92005275456312,-72.71290848851162
CENTRAL LAUTARO - LAUTARO 66KV,COMASA SPA,66.0,DEDICADO,2019-04-25,-38.54099485258767,-72.46456842544409
RUCUE - QUILECO 220KV,ALFA TRANSMISORA DE ENERGÍA S.A.,220.0,DEDICADO,2019-04-26,-37.35084568488804,-71.91245476861017
ALTO JAHUEL - CHENA 220KV,TRANSELEC S.A.,220.0,NACIONAL,2019-04-26,-33.64048146537764,-70.73135967117105
ANTILLANCA - CHIRRE 110KV,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,110.0,DEDICADO,2017-12-20,-40.62930498529409,-72.66910576536031
TAP PETROQUIMICAS - PETRODOW 154KV,OCCIDENTAL CHEMICAL CHILE LTDA.,154.0,DEDICADO,2017-12-20,-36.7621773986241,-73.11731103546525
BAJO MELIPILLA -MANDINGA 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-25,-33.74750270460757,-71.2314219027964
ALTO JAHUEL - BUIN 220KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,220.0,NACIONAL,2023-04-10,-33.71206835814146,-70.69262996289783
PUEBLO SECO - CHILLAN 154KV,TRANSELEC S.A.,154.0,ZONAL,2019-04-26,-36.74806715788939,-72.09097924952513
POLPAICO (TRANSELEC) - SECCIONADORA LO AGUIRRE 500KV,TRANSELEC S.A.,500.0,NACIONAL,2019-04-26,-33.31635134904109,-70.88143682176181
TAP SANTA RAQUEL - SANTA RAQUEL 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.56180506529444,-70.60002074647318
ESMERALDA - SUR 110KV,EMPRESA DE TRANSMISIÓN ELÉCTRICA TRANSEMEL S.A.,110.0,ZONAL,2019-04-26,-23.69707408877125,-70.39856913410199
TAP CLUB HIPICO - CLUB HIPICO 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.47459690100522,-70.66485847814914
CENTRAL NEHUENCO III - SAN LUIS 220KV,COLBÚN S.A.,220.0,DEDICADO,2023-04-10,-32.935280431022925,-71.31986442459346
DIEGO DE ALMAGRO - EL SALADO 110KV,TRANSELEC S.A.,110.0,DEDICADO,2019-04-26,-26.419332474824277,-70.17963515389917
CHUQUICAMATA - CHAMY 100KV,CODELCO CHILE - DIVISIÓN CHUQUICAMATA,110.0,DEDICADO,2019-04-26,-22.270388990773444,-68.91386623524939
COCHARCAS - SAN CARLOS 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2019-04-26,-36.47299057041644,-72.0030696320938
TAP RENGO - RENGO 66KV,CGE TRANSMISIÓN S.A.,66.0,ZONAL,2017-12-20,-34.41491109869214,-70.85757645730321
SAN BERNARDO - MALLOCO 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2019-04-26,-33.610899961963895,-70.78663958365496
MAITENCILLO - SARCO 220KV,AELA EÓLICA SARCO SPA,220.0,NACIONAL,2021-09-15,-28.742916866910857,-71.13839640830429
COPAYAPU -CERRILLOS 110KV,CGE TRANSMISIÓN S.A.,110.0,ZONAL,2019-04-26,-27.53113877291731,-70.32184019236608
ILLAPA - CUMBRES 220KV,DIEGO DE ALMAGRO TRANSMISORA DE ENERGÍA S.A.,220.0,NACIONAL,2021-09-15,-26.435307091075003,-70.04131393364725
PUENTE NEGRO – TINGUIRIRICA 220KV,LA HIGUERA TRANSMISIÓN S.A.,220.0,NACIONAL,2019-04-26,-34.64896636800551,-70.9412411243803
TAP SAN PABLO – LO AGUIRRE 110KV,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110.0,ZONAL,2021-09-10,-33.440768477946406,-70.8382766576605
CENTRAL CHAPIQUIÑA - ARICA 66KV,ENGIE ENERGÍA CHILE S.A.,66.0,DEDICADO,2019-04-25,-18.46430912029519,-69.9119150248287
