Spot and Futures Prices,,,,
,,,,
Period,Copper - LME - ¢US$/lb - Nominal Spot,Copper - LME - ¢US$/lb - Content,Copper - COMEX - ¢US$/lb - Nominal 1 Pos.,Copper - COMEX - ¢US$/lb - Content
Jan-2005,143.789,242.563,144.995,244.598
Feb-2005,147.585,247.818,146.639,246.230
Mar-2005,153.296,253.890,148.680,246.244
Apr-2005,153.971,252.869,149.340,245.265
May-2005,147.377,243.138,147.990,244.150
Jun-2005,159.849,263.714,162.186,267.570
Jul-2005,163.938,266.999,163.217,265.826
Aug-2005,172.263,278.244,171.639,277.236
Sep-2005,174.989,274.630,175.357,275.208
Oct-2005,184.148,282.049,190.302,291.476
Nov-2005,193.654,301.139,201.130,312.764
Dec-2005,207.599,324.210,217.245,339.275
Jan-2006,214.746,332.718,218.258,338.159
Feb-2006,225.998,355.562,225.079,354.116
Mar-2006,231.461,363.260,232.409,364.746
Apr-2006,289.745,448.918,296.853,459.931
May-2006,364.954,560.328,375.861,577.075
Jun-2006,326.478,500.350,339.648,520.533
Jul-2006,349.815,533.865,362.321,552.951
Aug-2006,349.069,529.237,353.061,535.289
Sep-2006,344.837,530.723,346.358,533.063
Oct-2006,340.212,533.934,339.400,532.660
Nov-2006,318.838,493.094,316.560,489.571
Dec-2006,302.778,465.428,301.413,463.330
Jan-2007,257.171,399.179,258.305,400.938
Feb-2007,257.479,392.949,259.661,396.277
Mar-2007,292.680,440.073,292.270,439.458
Apr-2007,352.281,523.200,350.840,521.060
May-2007,348.457,511.847,348.248,511.539
Jun-2007,339.100,496.670,338.764,496.177
Jul-2007,361.691,525.824,361.595,525.685
Aug-2007,340.807,503.222,336.783,497.281
Sep-2007,346.952,509.048,345.616,507.088
Oct-2007,363.256,529.309,358.887,522.943
Nov-2007,316.004,449.396,312.924,445.015
Dec-2007,298.812,425.898,302.170,430.684
Jan-2008,320.283,450.447,320.171,450.291
Feb-2008,357.780,498.501,358.955,500.139
Mar-2008,382.800,518.602,381.108,516.309
Apr-2008,393.942,525.310,393.939,525.305
May-2008,380.235,492.332,377.421,488.689
Jun-2008,374.694,475.721,368.974,468.458
Jul-2008,381.655,472.768,375.939,465.687
Aug-2008,346.304,442.990,343.640,439.583
Sep-2008,317.100,409.959,314.293,406.329
Oct-2008,223.426,305.124,218.565,298.486
Nov-2008,168.600,242.753,168.497,242.605
Dec-2008,139.343,207.554,138.798,206.742
Jan-2009,146.088,217.220,147.848,219.836
Feb-2009,150.353,226.071,150.639,226.501
Mar-2009,170.086,257.567,171.698,260.008
Apr-2009,199.878,300.891,204.614,308.022
May-2009,207.230,308.854,210.613,313.896
Jun-2009,227.429,332.534,228.339,333.864
Jul-2009,236.573,349.113,238.555,352.037
Aug-2009,279.653,406.791,281.060,408.836
Sep-2009,281.065,410.958,281.479,411.562
Oct-2009,285.218,414.412,287.857,418.246
Nov-2009,302.800,434.502,303.530,435.549
Dec-2009,316.685,452.640,318.773,455.624
Jan-2010,335.035,468.863,333.766,467.088
Feb-2010,310.628,436.869,311.918,438.684
Mar-2010,338.508,470.106,339.541,471.541
Apr-2010,351.311,484.975,351.919,485.815
May-2010,310.152,427.230,310.578,427.816
Jun-2010,294.803,408.964,293.707,407.443
Jul-2010,305.506,422.430,306.426,423.703
Aug-2010,330.395,454.868,331.982,457.053
Sep-2010,349.688,481.430,351.798,484.334
Oct-2010,376.137,513.126,377.312,514.728
Nov-2010,384.188,521.037,384.207,521.063
Dec-2010,414.913,556.774,416.973,559.538
Jan-2011,433.439,572.580,434.427,573.885
Feb-2011,447.587,581.907,449.166,583.960
Mar-2011,432.303,552.444,431.954,551.998
Apr-2011,430.153,539.141,430.438,539.497
May-2011,404.924,505.033,405.557,505.823
Jun-2011,410.294,512.232,410.914,513.006
Jul-2011,436.321,542.863,440.125,547.595
Aug-2011,410.106,513.762,407.857,510.943
Sep-2011,377.155,471.322,373.776,467.100
Oct-2011,333.277,421.874,334.360,423.244
Nov-2011,342.543,432.957,344.219,435.075
Dec-2011,343.258,437.336,343.207,437.270
Jan-2012,364.845,462.754,366.865,465.316
Feb-2012,382.047,482.409,384.582,485.611
Mar-2012,383.605,478.209,383.948,478.636
Apr-2012,374.651,468.193,371.918,464.777
May-2012,359.242,452.939,357.034,450.155
Jun-2012,336.570,428.815,334.760,426.507
Jul-2012,344.249,437.940,343.902,437.499
Aug-2012,339.852,426.801,341.802,429.250
Sep-2012,365.975,455.785,371.866,463.121
Oct-2012,366.027,457.866,367.993,460.325
Nov-2012,349.003,440.248,350.360,441.959
Dec-2012,361.177,456.282,362.362,457.781
Jan-2013,365.109,458.973,366.738,461.020
