I) POR  EMPRESAS / By Company,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
   CODELCO-CHILE Total (1),"1,914.10","1,863.50","1,883.30","1,831.60","1,742.30","1,757.00","1,761.70","1,596.40","1,484.70","1,428.70"
     División El Teniente,471.2,475.3,464.3,465,459.7,443.2,459.8,405.4,351.9,356.4
     División Chuquicamata,308.6,302,330.9,320.7,385.3,400.7,319.3,268.3,248.5,289
     División Radomiro Tomic,315.7,318.3,318.9,332.7,266.4,260.7,326.5,301.1,314.8,270.5
     División Andina,224.3,193.3,220,195.5,170.3,184.4,177.2,177,164.5,181.6
     División Ministro Hales,238.3,237,215.1,195.5,151.8,170.6,181.7,152.2,126,122.2
     División Gabriela Mistral,125,121.7,122.7,107.2,104.1,102.1,100.9,109.5,105.8,103.1
     División Salvador,48.6,59.8,61.9,60.8,50.6,56.3,52.9,32.1,13,5.7
     Escondida,1152.5,1002,925.4,1242.7,1187.8,1187.3,1011.3,1054.2,1101.4,1277.5
     Collahuasi,455.3,506.5,524,559.1,565.4,629.1,630,570.8,573.2,558.6
     Los Pelambres,375.8,367.8,356.3,370.5,375.9,372.1,336.3,284.1,310.6,331.2
     Spence,175.6,167.5,198.6,176.4,193.4,146.7,203,245.5,249,255.6
     Quebrada Blanca,39.1,34.7,23.4,25.5,21.1,13.4,11.5,9.6,64.3,207.8
     Los Bronces,401.7,307.2,308.3,369.5,335,324.7,327.7,270.9,215.5,172.4
     Sierra Gorda,87.9,98.1,101.7,102,114,156.1,198.2,172.7,150.2,154.6
     Candelaria,150.1,135.4,150.4,101.7,111.4,94.8,118.6,126.4,130.9,142.1
     Caserones,74.9,117.3,122.8,136.6,145.5,126.4,109.7,124.1,137.1,124.6
     Centinela (Súlfuros),145.2,180.4,163.9,155.4,195.5,153.5,185.4,149.4,162.7,121.8
     Centinela (Óxidos),75.9,55.8,64.5,92.6,81.1,93.3,88.8,98.2,79.3,102
     El Abra,147.2,99.9,78.4,91.3,81.9,71.9,72.7,91.6,98.4,99.1
     Zaldívar,103.5,103.4,103.3,94.6,116.1,96.5,88,88.9,80.9,82.8
     Antucoya,12.2,66.2,80.5,72.2,71.9,79.3,78.6,79.2,77.8,80.4
     Lomas Bayas,70.5,80.1,78,72.6,78.9,73.9,64.3,72.5,65.8,74.4
     Mantoverde,49.7,49.7,42.1,41.8,42.9,36.6,49,47.4,35.4,57.7
     El Soldado,36.1,47,40.5,52.7,54.2,45.8,42.3,40.2,39.5,48.2
     Mantos Blancos,56.6,49.4,45.7,41.7,43.3,42,45.7,50.7,50.1,44.6
     Andacollo,73,73.2,76,67.1,54,57.4,44.8,39.5,39.6,39.7
     Punta del Cobre,39.6,39.1,37.5,40.6,42.4,45,39.2,37.3,37,39.2
     Las Cenizas,9,7,9.6,5.6,2.7,3.4,8,10.8,11.9,32.1
     Michilla,29.4,0,0,0,12.6,19.4,21.2,16,19.1,19.9
     Ojos del Salado,24.7,25.4,27.1,28.3,29.9,27.6,27.8,20.4,15.8,14.7
     Franke,20.1,17.8,19.6,20.2,19,12.5,10.7,10.7,13.2,12.2
     Atacama Kozán,14.1,13.1,10.1,12.2,12.5,13.2,12.2,13.8,13.7,11.5
     Mantos de la Luna,9.5,6.5,7.4,8.8,8.8,7.3,7,9.3,11.9,10.2
     San Gerónimo,0.4,1.4,1.3,1.5,4.9,4.1,4.5,4.3,7.6,10.1
     Amalia,13.4,13.1,11.6,10.5,12.5,12.1,16.2,13,12,9.2
     Pampa Camarones,5.5,1.9,0.3,0,2.4,7.2,6.7,6.2,5,4.6
     Cerro Negro,5.5,5.2,3.6,4.6,5.2,4.8,4.6,4.1,4.3,4.2
     Tres Valles,5.8,5.4,6,5.9,7.1,4.9,4.2,2.6,1.6,1.5
     Cerro Colorado,74.5,74,66.2,66.3,71.7,68.9,57.4,51.3,35.4,0
     Haldeman,9.7,0.2,0,0,0,0,0,0,0,0
     OTROS / Other,96.3,93.3,85.8,83.7,98.1,84,80.8,69.4,75.7,33
,,,,,,,,,,
TOTAL,"5,772.10","5,552.60","5,503.50","5,831.60","5,787.40","5,733.10","5,624.90","5,330.50","5,250.40","5,506.00"
,,,,,,,,,,
II) POR PRODUCTOS / By Product Type,2015,2016,2017,2017,2019,2020,2021,2022,2023,2024
,,,,,,,,,,
   PRODUCCIÓN DE MINA / Mine Production,"5,772.10","5,552.60","5,503.50","5,831.60","5,787.40","5,733.10","5,624.90","5,330.50","5,250.40","5,506.00"
,,,,,,,,,,
   PRODUCCIÓN DE FUNDICIÓN / Smelter Production,"1,382.00","1,365.30","1,264.60","1,246.10","1,011.20","1,206.30","1,206.60","1,112.40","1,073.90",994.6
,,,,,,,,,,
   PRODUCCIÓN DE REFINADO / Refined Production,"2,688.40","2,612.50","2,429.50","2,461.20","2,269.10","2,329.30","2,274.00","2,149.10","2,075.90","1,940.30"
   Cátodos SX-EW / SX-EW cathodes,"1,778.40","1,660.30","1,586.20","1,575.30","1,580.20","1,467.50","1,414.40","1,414.60","1,334.50","1,223.30"
   Cátodos E.R. / ER cathodes,910,952.2,843.3,885.9,688.9,861.8,859.6,734.5,741.4,717
   Refinado a fuego / Fire refined,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
Fuente / Source: Comisión Chilena del Cobre / Chilean Copper Commission.,,,,,,,,,,
