portNumber,portName,latitude,longitude,harborSize
14660,Antofagasta,-23.65,-70.40866667,M
14110,Bahia Agua Fresca,-53.38333333,-70.95866667,V
14340,Bahia De Valdivia,-39.8,-73.242,S
14500,Bahia De Valparaiso,-33.03333333,-71.60866667,M
14140,Bahia Harris,-53.85,-70.442,V
14560,Bahia Herradura Guayacan,-29.96666667,-71.35866667,V
14510,Bahia Quintero (Ventanas),-32.76666667,-71.52533333,V
14415,Bahia San Vicente,-36.73333333,-73.15866667,V
14095,Caleta Clarencia,-52.9,-70.092,V
14175,Caleta Mina Elena,-52.68333333,-71.892,V
14671,Caleta Patillos,-20.73333333,-70.192,V
14570,Coquimbo,-29.95,-71.32533333,V
14400,Coronel,-37.03333333,-73.15866667,S
14610,Huasco,-28.46666667,-71.242,V
14760,Iquique,-20.2,-70.15866667,S
14425,Lirquen,-36.71666667,-72.97533333,V
14380,Lota,-37.1,-73.142,V
14670,Mejillones,-23.1,-70.45866667,S
14440,Penco,-36.71666667,-72.992,V
14130,Port San Juan De La Juan,-53.63333333,-70.90866667,V
14630,Puerto Caldera,-27.05,-70.82533333,V
14635,Puerto Calderilla,-27.08333333,-70.85866667,V
14220,Puerto Castro,-42.48333333,-73.75866667,V
14197,Puerto Chacabuco,-45.46666667,-72.82533333,V
14640,Puerto Chanaral,-26.35,-70.642,V
14330,Puerto De Corral,-39.86666667,-73.42533333,V
14270,Puerto Montt,-41.48333333,-72.95866667,S
14190,Puerto Natales,-51.71666667,-72.55866667,V
14250,Puerto Quemchi,-42.15,-73.47533333,V
14470,Puerto San Antonio,-33.58333333,-71.60866667,S
14090,Puerto Sara,-52.63333333,-70.192,V
14075,Puerto Williams,-54.93333333,-67.592,V
14150,Puerto Yartou,-53.88333333,-70.142,V
14080,Punta Delgada,-52.46666667,-69.542,V
14800,Rada De Arica,-18.46666667,-70.32533333,S
14100,Rada Punta Arenas,-53.16666667,-70.892,S
14420,Talcahuano,-36.7,-73.092,S
14650,Taltal,-25.4,-70.47533333,V
14720,Tocopilla,-22.08333333,-70.22533333,S
