ID_SUBEST,NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
2275,CENTRAL FUTALELFU,EDELAYSEN,23,NO APLICA,2014-12-04,-43.18332300099996,-71.86583299999995
380,S/E ARENAS BLANCAS,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-37.01178600099996,-73.17681299999998
877,S/E CEMENTO MELON,MELON S.A,66,ZONAL,2014-04-12,-32.78970600099996,-71.19855099999995
1908,S/E NORGENER,MINERA ESCONDIDA LTDA.,220,DEDICADO,2014-04-12,-22.096891340999942,-70.21075702999997
851,S/E PANIMAVIDA,CHILQUINTA TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-35.74941800099998,-71.42025799999993
2350,S/E BAJOS DE MENA,TRANSMISORA ELÉCTRICA CORDILLERA SPA,110,ZONAL,2014-04-12,-33.63267831199994,-70.60689977299995
357,S/E EL SAUCE,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-31.07449100099996,-71.13196899999997
1885,S/E KM6,CODELCO CHILE - DIVISIÓN CHUQUICAMATA,110,DEDICADO,2014-04-12,-22.323462120999977,-68.88376967999994
529,S/E PUERTO MONTT (STS),SISTEMA DE TRANSMISIÓN DEL SUR S.A.,220,ZONAL,2014-04-12,-41.45263122199998,-72.95352007499997
2223,S/E CENTRAL SAN JAVIER,PRIME ENERGÍA QUICKSTART SPA,<66,ZONAL,2014-04-12,-35.38973528799994,-72.37662893199996
303,S/E INTERCONEXION CHACAYES,PACIFIC HYDRO CHACAYES S.A.,220,S/I,2014-04-12,-34.19564200099995,-70.56163299999997
683,S/E CHACABUCO,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110,ZONAL,2014-04-12,-33.33434153099995,-70.71108186999999
803,S/E TUNEL EL MELON,CHILQUINTA TRANSMISIÓN S.A.,<66,ZONAL,2014-04-12,-32.62993500099998,-71.23038299999996
1783,S/E CONEJO,CONEJO SOLAR SPA,220,DEDICADO,2014-04-12,-25.51212200099997,-70.16835099999997
2310,S/E HADES,ENEL GREEN POWER CHILE S.A.,66,DEDICADO,2014-04-12,-24.060000110999965,-69.58000002599994
1861,S/E DOMEYKO,MINERA ESCONDIDA LTDA.,220,DEDICADO,2014-04-12,-24.243710000999958,-69.10231099999999
1676,S/E PICOLTUE,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,<66,ZONAL,2014-04-12,-37.682722000999945,-72.25641399999995
273,S/E CENTRAL CEMENTOS BIO BIO CENTRO,INACAL S.A.,<66,DEDICADO,2014-04-12,-36.74315944199998,-73.12027543099998
2105,S/E SECCIONADORA CONVENTO VIEJO,SOCIEDAD CONCESIONARIA EMBALSE CONVENTO VIEJO S.A.,154,S/I,2014-04-12,-34.76462000099997,-71.12912399999993
778,S/E CATEMU,CHILQUINTA TRANSMISIÓN S.A.,<66,ZONAL,2014-04-12,-32.77544500099998,-70.96060299999994
582,S/E PAPOSO,TRANSELEC S.A.,220,DEDICADO,2014-04-12,-24.98847700099998,-70.46478699999994
2250,S/E CENTINELA,RED ELÉCTRICA DEL NORTE 2 S.A.,220,NACIONAL,2014-04-12,-22.941717814999947,-69.12956840499999
1726,S/E CENTRAL LOS HIERROS II,EMPRESA ELÉCTRICA PORTEZUELO SPA,110,S/I,2014-04-12,-35.83980800099994,-71.07922299999996
2145,S/E CENTRAL COMBARBALA,PRIME ENERGÍA QUICKSTART SPA,<66,ZONAL,2014-04-12,-31.14253201899993,-71.08714334599995
620,S/E COPIAPO,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-27.379164840999977,-70.33526199999994
960,S/E MAPAL,SAGESA S.A.,<66,ZONAL,2014-04-12,-36.867457000999934,-73.14158099999997
645,S/E LIHUEIMO,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-34.54067800099995,-71.40942199999995
2181,S/E ALMEYDA,ALMEYDA SPA,220,ZONAL,2014-04-12,-26.19866381299994,-70.09562887199996
1758,S/E CACHIYUYAL,ENEL GREEN POWER CHILE S.A.,220,DEDICADO,2014-04-12,-25.54459246099998,-70.31325103999995
2216,S/E CENTRAL RUCATAYO,EMPRESA ELÉCTRICA RUCATAYO S.A.,220,DEDICADO,2014-04-12,-40.61970000099996,-72.70396599999998
934,S/E LONGAVI (FFCC),EMPRESA DE LOS FERROCARRILES DEL ESTADO,66,ZONAL,2014-04-12,-35.96216900099995,-71.69660499999998
677,S/E APOQUINDO,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110,ZONAL,2014-04-12,-33.40981100099998,-70.56466999999998
1649,S/E CASERONES,COMPAÑÍA SCM MINERA LUMINA COPPER CHILE,220,DEDICADO,2014-04-12,-28.18560600099994,-69.53987999999998
2298,HORNOPIREN,SAGESA,23,NO APLICA,2014-12-04,-41.96422000099994,-72.47940499999999
1689,S/E CENTRAL LAJA 1,EÓLICA MONTE REDONDO SPA,220,ZONAL,2014-04-12,-37.24462600099997,-72.53080599999998
2244,S/E BOCAMINA,ENEL GENERACIÓN CHILE S.A.,154,DEDICADO,2014-04-12,-37.021304148999945,-73.16763497299996
700,S/E LO VALLEDOR,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110,ZONAL,2014-04-12,-33.47522700099995,-70.68875999999995
908,S/E EL SALVADOR,CODELCO CHILE - DIVISIÓN EL SALVADOR,110,DEDICADO,2014-04-12,-26.28145400099993,-69.59615199999996
386,S/E CHIGUAYANTE,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-36.91005500099993,-73.03357699999998
374,S/E FATIMA,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-33.80866500099995,-70.75514899999996
2014,S/E NEPTUNO,TRANSELEC S.A.,220,NACIONAL,2014-04-12,-33.45422100099995,-70.72357399999999
723,S/E SANTA MARTA,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110,ZONAL,2014-04-12,-33.54134500099997,-70.76507199999998
884,S/E ALGARROBO,COMPAÑÍA MINERA DEL PACÍFICO S.A.,110,ZONAL,2014-04-12,-28.799688000999936,-70.97796199999993
1826,S/E CENTRAL CHAPIQUIÑA,ENGIE ENERGÍA CHILE S.A.,66,DEDICADO,2014-04-12,-18.372699000999944,-69.54878599999995
509,S/E BARRO BLANCO,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,220,ZONAL,2014-04-12,-40.57812795099994,-73.08806826999995
