Match_Key,Lat_Mina,Lon_Mina,Match_Key_Clean,Cluster_ID_Asignado,Tier_Asignado,Accum_Growth_4Y
altos de punitaqui,-30.86,-71.23,altos de punitaqui,IV-2 (BRONCE),BRONCE,1735.0196838378906
amalia,-32.72,-70.97,amalia,V-1 (ORO),ORO,-51.17639458896136
andacollo,-30.23,-71.08,andacollo,IV-4 (PLATA),PLATA,-59.830879705109005
andina,-32.85,-70.59,andina,RM-1 (ORO),ORO,-2.1936585804659776
antucoya,-22.63,-69.84,antucoya,II-4 (BRONCE),BRONCE,-20.62501308256266
atacama kozan,-27.5,-70.26,atacama kozan,III-2 (ORO),ORO,-8.825862320851344
candelaria,-27.51,-70.29,candelaria,III-2 (ORO),ORO,-4.439322754272775
caserones,-28.16,-69.79,caserones,III-2 (ORO),ORO,-7.198156457966699
centinela,-23.01,-69.1,centinela,II-5 (ORO),ORO,14.568162934804388
cerro colorado,-20.21,-70.15,cerro colorado,I-0 (BRONCE),BRONCE,0.0
cerro negro,-32.58,-70.88,cerro negro,V-1 (ORO),ORO,-11.789055398072993
chuquicamata,-22.29,-68.9,chuquicamata,II-6 (ORO),ORO,-7.064636808037439
collahuasi,-20.98,-68.64,collahuasi,I-1 (PLATA),PLATA,-0.0175451810881562
el abra,-22.45,-68.92,el abra,II-6 (ORO),ORO,-9.086745241487826
el soldado,-32.65,-71.16,el soldado,V-1 (ORO),ORO,18.63312476858006
el teniente,-34.23,-70.35,el teniente,VI-1 (ORO),ORO,-28.24812520712291
escondida,-24.27,-69.07,escondida,II-3 (PLATA),PLATA,-50.87119499267535
franke,-25.83,-69.87,franke,II-0 (BRONCE),BRONCE,16.734020237733763
gabriela mistral,-23.4,-68.82,gabriela mistral,II-5 (ORO),ORO,20.31147967104451
haldeman,-20.2,-70.1,haldeman,I-0 (BRONCE),BRONCE,0.0
las cenizas,-32.48,-71.2,las cenizas,V-1 (ORO),ORO,-2.6170426001414286
lomas bayas,-23.42,-69.15,lomas bayas,II-5 (ORO),ORO,-8.848703294696946
los bronces,-33.15,-70.28,los bronces,RM-0 (PLATA),PLATA,-38.56664342273289
los pelambres,-31.71,-70.45,los pelambres,IV-1 (BRONCE),BRONCE,10.317688369933675
mantos blancos,-23.43,-70.05,mantos blancos,II-1 (PLATA),PLATA,-19.46218348647733
mantos de la luna,-22.2,-70.2,mantos de la luna,II-4 (BRONCE),BRONCE,30.8993918096389
mantoverde,-26.55,-70.62,mantoverde,III-0 (PLATA),PLATA,11.227921832800158
michilla,-22.71,-70.25,michilla,II-4 (BRONCE),BRONCE,9.4350799336878
ministro hales,-22.37,-68.92,ministro hales,II-6 (ORO),ORO,28.23679810109518
ojos del salado,-27.52,-70.3,ojos del salado,III-2 (ORO),ORO,-13.32214893978854
pampa camarones,-18.88,-70.12,pampa camarones,XV-0 (BRONCE),BRONCE,29.61729648289647
punta del cobre,-27.48,-70.28,punta del cobre,III-2 (ORO),ORO,-2.1449577243562934
quebrada blanca,-20.99,-68.81,quebrada blanca,I-1 (PLATA),PLATA,54.78473860128792
radomiro tomic,-22.21,-68.93,radomiro tomic,II-6 (ORO),ORO,12.12266741472579
salvador,-26.31,-70.01,salvador,III-0 (PLATA),PLATA,16.07212195792339
san geronimo,-29.98,-70.95,san geronimo,IV-3 (BRONCE),BRONCE,-22.38089002229372
sierra gorda,-22.88,-69.03,sierra gorda,II-5 (ORO),ORO,53.25012682784337
spence,-22.92,-69.25,spence,II-5 (ORO),ORO,-0.5375431299334119
tres valles,-31.65,-71.02,tres valles,IV-1 (BRONCE),BRONCE,3634.2436721724303
zaldivar,-24.21,-69.11,zaldivar,II-3 (PLATA),PLATA,43.97473114008911
