RutEmpresa,NombreEmpresa,RegionFaena,ProvinciaFaena,ComunaFaena,NombreFaena,CategoriaFaena,IdFaena,RegionInstalacion,ProvinciaInstalacion,ComunaInstalacion,NombreInstalacion,IdTipoInstalacion,TipoInstalacion,RecursoMineroInstalacion,TipoRecursoInstalacion,RecursoPrimarioInstalacion,IdInstalacion,Norte,Este,Cota,Huso,Datum,IdEstado,Estado,Latitud,Longitud,dist_Santiago_km,time_Santiago_min,dist_Valparaíso_km,time_Valparaíso_min,dist_Viña_del_Mar_km,time_Viña_del_Mar_min,dist_Antofagasta_km,time_Antofagasta_min,dist_La_Serena_km,time_La_Serena_min,dist_Coquimbo_km,time_Coquimbo_min,dist_Rancagua_km,time_Rancagua_min,dist_Talca_km,time_Talca_min,dist_Iquique_km,time_Iquique_min,dist_Arica_km,time_Arica_min,dist_Calama_km,time_Calama_min,dist_Copiapó_km,time_Copiapó_min,dist_San_Bernardo_km,time_San_Bernardo_min,dist_Curicó_km,time_Curicó_min,dist_Ovalle_km,time_Ovalle_min,Tiempo_Prt_Antofagasta,Tiempo_Prt_Bahia Agua Fresca,Tiempo_Prt_Bahia De Valdivia,Tiempo_Prt_Bahia De Valparaiso,Tiempo_Prt_Bahia Harris,Tiempo_Prt_Bahia Herradura Guayacan,Tiempo_Prt_Bahia Quintero (Ventanas),Tiempo_Prt_Bahia San Vicente,Tiempo_Prt_Caleta Clarencia,Tiempo_Prt_Caleta Mina Elena,Tiempo_Prt_Caleta Patillos,Tiempo_Prt_Coquimbo,Tiempo_Prt_Coronel,Tiempo_Prt_Huasco,Tiempo_Prt_Iquique,Tiempo_Prt_Lirquen,Tiempo_Prt_Lota,Tiempo_Prt_Mejillones,Tiempo_Prt_Penco,Tiempo_Prt_Port San Juan De La Juan,Tiempo_Prt_Puerto Caldera,Tiempo_Prt_Puerto Calderilla,Tiempo_Prt_Puerto Castro,Tiempo_Prt_Puerto Chacabuco,Tiempo_Prt_Puerto Chanaral,Tiempo_Prt_Puerto De Corral,Tiempo_Prt_Puerto Montt,Tiempo_Prt_Puerto Natales,Tiempo_Prt_Puerto Quemchi,Tiempo_Prt_Puerto San Antonio,Tiempo_Prt_Puerto Sara,Tiempo_Prt_Puerto Williams,Tiempo_Prt_Puerto Yartou,Tiempo_Prt_Punta Delgada,Tiempo_Prt_Rada De Arica,Tiempo_Prt_Rada Punta Arenas,Tiempo_Prt_Talcahuano,Tiempo_Prt_Taltal,Tiempo_Prt_Tocopilla,Es_Estrategica,Region_Norm
61703000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),III,HUASCO,VALLENAR,PLANTA DE BENEFICIO DE MINERALES - VALLENAR,CATEGORIA B,153576,ATACAMA,HUASCO,VALLENAR,TALLER DE MANTENCION,1350,TALLERES Y MAESTRANZA,OXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000016078,6839116.0,330003.0,538,19,PSAD-56,8,ACTIVA,-28.5667252352795,-70.7400643878607,668.0,497.635,624.57,475.85833333333335,618.6281,467.9133333333333,670.7849,548.9016666666666,198.1931,172.02666666666667,209.7595,183.80166666666668,750.0052,557.1116666666666,920.3066,666.4699999999999,1157.0277,901.6716666666669,1367.3808,1077.45,868.172,672.4916666666667,143.7188,114.56666666666666,683.3893,508.5583333333333,857.8613,625.1566666666666,285.0582,249.805,549.2633333333334,2651.0216666666665,1067.23,477.755,2780.0733333333333,190.76166666666668,453.9683333333333,848.9766666666667,2642.7566666666667,2706.673333333333,870.1466666666668,183.09333333333333,874.3566666666667,57.06666666666667,910.0466666666669,833.4316666666667,881.1466666666668,602.7966666666667,833.67,2684.4066666666668,165.22666666666666,174.375,1354.9333333333334,1971.125,227.98,1139.8633333333337,1186.0449999999998,2683.893333333333,1303.885,531.9133333333333,2546.31,4420.97,2789.1933333333336,2529.75,1081.6916666666666,2627.7433333333333,849.9283333333333,354.99666666666667,707.1183333333333,False,III
6891906-1,GARY NELSON MERCADO MALBRAN,III,CHAÑARAL,CHAÑARAL,DIEGO DAKAR 1/10,CATEGORIA D,20013237,ATACAMA,CHAÑARAL,CHAÑARAL,MINA DIEGO DAKAR 1/10,1291,MINA SUBTERRANEA,OXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000018057,7078335.0,359170.0,531,19,PSAD-56,8,ACTIVA,-26.4112923990083,-70.4141039780573,986.5761,745.1,943.1461,723.3233333333334,937.2042,715.3783333333333,371.1999,315.755,516.7692,419.4916666666667,528.3355,431.26666666666665,1068.5812,804.5766666666666,1238.8826,913.935,857.4427,668.525,1067.7958,844.3033333333333,568.587,439.345,181.1044,155.64166666666668,1001.9654,756.0233333333333,1176.4373999999998,872.6216666666667,603.6343,497.27,316.12,2898.4866666666667,1314.695,725.2199999999999,3027.538333333333,438.2266666666666,701.4333333333333,1096.4416666666666,2890.2216666666664,2954.1383333333333,637.0033333333333,430.5583333333333,1121.8216666666667,279.22166666666664,676.9033333333333,1080.8966666666668,1128.611666666667,369.65333333333336,1081.135,2931.8716666666664,104.29,116.74833333333332,1602.3983333333333,2218.59,29.05333333333333,1387.3283333333334,1433.51,2931.358333333333,1551.35,779.3783333333333,2793.775,4668.435,3036.6583333333333,2777.215,848.5483333333334,2875.208333333333,1097.3933333333334,121.85333333333332,473.975,False,III
61703000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),II,ANTOFAGASTA,SIERRA GORDA,ENAMI MANTOS BLANCOS,CATEGORIA C,1535725,ANTOFAGASTA,ANTOFAGASTA,SIERRA GORDA,ADMINISTRACIÓN OFICINAS,1348,ADMINISTRACIÓN - OFICINA,OXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000026029,7408446.0,396249.0,796,19,PSAD-56,8,ACTIVA,-23.4337501913313,-70.0176195038348,1366.6293999999998,1053.9233333333334,1323.1994,1032.1466666666668,1317.2575,1024.2016666666666,51.3836,44.79666666666667,896.8225,728.315,908.3888,740.09,1448.6345,1113.4,1618.9359,1222.7583333333334,452.5534,338.1433333333333,662.9065,513.9216666666666,163.6976,108.96333333333334,570.5802,465.4616666666667,1382.0187,1064.8466666666668,1556.4907,1181.445,983.6876,806.0933333333334,45.85333333333333,3207.31,1623.5183333333334,1034.0433333333333,3336.3616666666667,747.05,1010.2566666666668,1405.265,3199.045,3262.961666666667,321.4166666666667,739.3816666666667,1430.645,588.045,346.52166666666665,1389.72,1437.4350000000002,77.70166666666667,1389.9583333333333,3240.695,413.1133333333333,425.57166666666666,1911.2216666666668,2527.413333333333,337.87666666666667,1696.1516666666669,1742.3333333333333,3240.1816666666664,1860.1733333333327,1088.2016666666666,3102.5983333333334,4977.258333333333,3345.4816666666666,3086.038333333333,518.1666666666666,3184.0316666666668,1406.2166666666667,212.75833333333333,172.53833333333333,False,II
61703000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),III,CHAÑARAL,CHAÑARAL,ENAMI-PTA O.MARTINEZ- SALADO,CATEGORIA B,153577,ATACAMA,CHAÑARAL,CHAÑARAL,LABORATORIO QUIMICO,1348,ADMINISTRACIÓN - OFICINA,OXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000027058,7077524.0,368770.0,433,19,PSAD-56,8,ACTIVA,-26.4195320925178,-70.3179535378514,971.179,744.35,927.7491,722.5733333333334,921.8072,714.6283333333333,375.7487,328.2966666666667,501.3722,418.7416666666667,512.9385,430.51666666666665,1053.1842,803.8266666666666,1223.4856000000002,913.185,861.9915,681.0666666666667,1072.3446,856.8449999999999,573.1358,451.88666666666666,172.08120000000002,150.39833333333334,986.5683,755.2733333333333,1161.0404,871.8716666666667,588.2371999999999,496.52,328.6616666666667,2897.7366666666667,1313.945,724.4699999999999,3026.788333333333,437.4766666666666,700.6833333333333,1095.6916666666666,2889.4716666666664,2953.3883333333333,649.545,429.8083333333333,1121.0716666666667,292.0466666666667,689.4449999999999,1080.1466666666668,1127.861666666667,382.195,1080.385,2931.1216666666664,117.115,129.57333333333332,1601.6483333333333,2217.84,41.87833333333333,1386.5783333333334,1432.76,2930.608333333333,1550.6,778.6283333333333,2793.025,4667.685,3035.9083333333333,2776.465,861.09,2874.458333333333,1096.6433333333334,134.395,486.51666666666665,False,III
61703000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),III,CHAÑARAL,CHAÑARAL,ENAMI-PTA O.MARTINEZ- SALADO,CATEGORIA B,153577,ATACAMA,CHAÑARAL,CHAÑARAL,TALLER MANTENCION,1350,TALLERES Y MAESTRANZA,OXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000027059,7077589.0,368805.0,435,19,PSAD-56,8,ACTIVA,-26.4189485898446,-70.3175959876208,971.1249,744.0233333333333,927.6949,722.2466666666667,921.753,714.3016666666666,375.6945,327.97,501.318,418.415,512.8842999999999,430.19,1053.13,803.5,1223.4314,912.8583333333332,861.9373,680.74,1072.2904,856.5183333333333,573.0816,451.56,172.027,150.07166666666666,986.5142,754.9466666666667,1160.9862,871.545,588.1831,496.1933333333333,328.335,2897.4100000000003,1313.618333333333,724.1433333333333,3026.461666666667,437.15,700.3566666666667,1095.365,2889.145,2953.061666666667,649.2183333333334,429.4816666666667,1120.745,291.72,689.1183333333333,1079.82,1127.535,381.8683333333333,1080.0583333333334,2930.795,116.78833333333334,129.24666666666667,1601.3216666666667,2217.5133333333333,41.55166666666666,1386.2516666666668,1432.4333333333334,2930.2816666666668,1550.2733333333333,778.3016666666666,2792.6983333333333,4667.358333333334,3035.5816666666665,2776.1383333333333,860.7633333333334,2874.1316666666667,1096.3166666666666,134.06833333333333,486.19,False,III
61703000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),III,CHAÑARAL,CHAÑARAL,ENAMI-PTA O.MARTINEZ- SALADO,CATEGORIA B,153577,ATACAMA,CHAÑARAL,CHAÑARAL,ADMINISTRACION PLANTA,1348,ADMINISTRACIÓN - OFICINA,OXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000027060,7077389.0,368786.0,423,19,PSAD-56,8,ACTIVA,-26.4207521758952,-70.3178069858701,971.7223,747.4883333333333,928.2923,725.7116666666666,922.3505,717.7666666666667,376.292,331.435,501.9155,421.88,513.4818,433.655,1053.7275,806.965,1224.0288999999998,916.3233333333334,862.5348,684.205,1072.8879,859.9833333333333,573.679,455.025,172.6245,153.5366666666667,987.1116,758.4116666666666,1161.5837,875.01,588.7805,499.65833333333336,331.8,2900.875,1317.0833333333333,727.6083333333333,3029.9266666666667,440.615,703.8216666666667,1098.8300000000002,2892.61,2956.526666666666,652.6833333333333,432.94666666666666,1124.21,295.185,692.5833333333334,1083.285,1131.0,385.3333333333333,1083.5233333333333,2934.26,120.25333333333332,132.71166666666667,1604.7866666666666,2220.978333333333,45.016666666666666,1389.7166666666667,1435.8983333333333,2933.7466666666664,1553.7383333333337,781.7666666666667,2796.163333333333,4670.823333333334,3039.0466666666666,2779.603333333333,864.2283333333332,2877.5966666666664,1099.7816666666663,137.53333333333333,489.655,False,III
96561560-1,SOCIEDAD PUNTA DEL COBRE S.A.,III,COPIAPO,TIERRA AMARILLA,PLANTA SAN JOSE,CATEGORIA A,20008102,ATACAMA,COPIAPO,TIERRA AMARILLA,PLANTA DE CHANCADO BESALCO LÍNEA B,1342,PLANTA CHANCADO,SULFUROS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000028031,6959816.0,373381.0,536,19,PSAD-56,8,ACTIVA,-27.4824027740479,-70.2837103866595,808.4789000000001,617.1800000000001,765.0489,595.4033333333333,759.1071,587.4583333333334,556.28,477.7583333333333,338.672,291.57166666666666,350.2384,303.34666666666664,890.4841,676.6566666666666,1060.7855,786.015,1042.5228,830.5283333333333,1252.8759,1006.3066666666668,753.6671,601.3483333333334,18.9545,30.33,823.8682,628.1033333333332,998.3402,744.7016666666666,425.5371,369.35,478.1233333333333,2770.5666666666666,1186.775,597.3,2899.6183333333333,310.3066666666667,573.5133333333334,968.5216666666668,2762.3016666666667,2826.218333333333,799.0066666666667,302.6383333333333,993.9016666666666,176.61166666666668,838.9066666666666,952.9766666666668,1000.6916666666668,531.6566666666666,953.215,2803.951666666667,94.08666666666666,103.235,1474.4783333333332,2090.67,156.84,1259.4083333333333,1305.59,2803.438333333333,1423.43,651.4583333333334,2665.855,4540.515,2908.738333333333,2649.295,1010.5516666666666,2747.288333333333,969.4733333333334,283.8566666666667,635.9783333333332,True,III
96790240-3,MINERA LOS PELAMBRES,IV,CHOAPA,SALAMANCA,FAENA LOS PELAMBRES,CATEGORIA A,127720,COQUIMBO,CHOAPA,SALAMANCA,POLVORINES,6999,POLVORIN,COBRE - MOLIBDENO,RECURSOS MINERALES METÁLICOS,COBRE,2000013028,6490308.0,359002.0,2973,19,PSAD-56,8,ACTIVA,-31.7168587848861,-70.4902460182791,509.3564,602.2516666666667,565.4375,641.5916666666667,559.4956,633.6466666666668,1719.2967,1541.9733333333331,858.4038,834.6183333333333,848.4091,824.8733333333333,591.3615,661.7283333333332,761.6629,771.0866666666666,2205.5395,1894.743333333333,2415.8926,2070.5216666666665,1916.6838,1665.5633333333333,1192.2306,1107.638333333333,524.7456999999999,613.175,699.2176999999999,729.7733333333333,792.9389,790.0983333333334,1542.3366666666666,2581.9966666666664,1171.8466666666668,643.4883333333333,2711.048333333333,823.7133333333334,630.9566666666667,953.5933333333334,2573.7316666666666,2637.648333333333,1863.22,824.6433333333333,978.9733333333334,1041.1883333333333,1903.12,938.0483333333334,985.7633333333334,1595.87,938.2866666666666,2615.3866666666668,1158.3,1167.4483333333333,1459.55,2017.97,1221.0533333333333,1244.48,1290.6616666666666,2614.873333333333,1408.5016666666668,675.5283333333333,2477.29,4351.95,2720.173333333333,2460.7233333333334,2074.76,2558.7166666666667,954.5383333333334,1348.0649999999998,1700.1866666666667,True,IV
96790240-3,MINERA LOS PELAMBRES,IV,CHOAPA,SALAMANCA,FAENA LOS PELAMBRES,CATEGORIA A,127720,COQUIMBO,CHOAPA,SALAMANCA,PLANTA DE CHANCADO,1342,PLANTA CHANCADO,COBRE - MOLIBDENO,RECURSOS MINERALES METÁLICOS,COBRE,2000013029,6490315.0,359010.0,2973,19,PSAD-56,8,ACTIVA,-31.7167966394471,-70.4901606019123,509.3564,602.2516666666667,565.4375,641.5916666666667,559.4956,633.6466666666668,1719.2967,1541.9733333333331,858.4038,834.6183333333333,848.4091,824.8733333333333,591.3615,661.7283333333332,761.6629,771.0866666666666,2205.5395,1894.743333333333,2415.8926,2070.5216666666665,1916.6838,1665.5633333333333,1192.2306,1107.638333333333,524.7456999999999,613.175,699.2176999999999,729.7733333333333,792.9389,790.0983333333334,1542.3366666666666,2581.9966666666664,1171.8466666666668,643.4883333333333,2711.048333333333,823.7133333333334,630.9566666666667,953.5933333333334,2573.7316666666666,2637.648333333333,1863.22,824.6433333333333,978.9733333333334,1041.1883333333333,1903.12,938.0483333333334,985.7633333333334,1595.87,938.2866666666666,2615.3866666666668,1158.3,1167.4483333333333,1459.55,2017.97,1221.0533333333333,1244.48,1290.6616666666666,2614.873333333333,1408.5016666666668,675.5283333333333,2477.29,4351.95,2720.173333333333,2460.7233333333334,2074.76,2558.7166666666667,954.5383333333334,1348.0649999999998,1700.1866666666667,True,IV
78200830-7,MINERA CEMIN-PULLALLI SPA,V,SAN FELIPE,CATEMU,PLANTA CATEMU,CATEGORIA B,138026,VALPARAISO,SAN FELIPE,CATEMU,PILAS DE LIXIVIACION,3019,LIXIVIACION,SULFUROS Y ÓXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000018036,6372500.0,313400.0,475,19,PSAD-56,8,ACTIVA,-32.7724564655771,-70.9943901291386,101.5346,80.82,101.5278,88.34833333333333,95.5859,80.40333333333334,1255.3869,988.73,394.494,281.375,384.4994,271.63,183.5398,140.29666666666665,353.8412,249.655,1741.6297,1341.5,1951.9828,1517.2783333333332,1452.774,1112.32,728.3208000000001,554.395,116.9239,91.74333333333334,291.396,208.34166666666667,329.0292,236.855,989.0933333333334,2234.2066666666665,650.4150000000001,90.245,2363.258333333333,270.47,77.71333333333334,432.1616666666667,2225.9416666666666,2289.858333333333,1309.9766666666667,271.4,457.5416666666667,487.945,1349.8766666666668,416.6166666666667,464.3316666666667,1042.6266666666666,416.855,2267.5916666666667,605.0566666666667,614.205,938.1183333333332,1554.3100000000002,667.81,723.0483333333334,769.23,2267.0783333333334,887.0699999999999,144.40333333333334,2129.495,4004.155,2372.3783333333336,2112.9283333333333,1521.5166666666669,2210.9216666666666,433.1066666666667,794.8216666666667,1146.9433333333334,False,V
