RutEmpresa,NombreEmpresa,RegionFaena,ProvinciaFaena,ComunaFaena,NombreFaena,CategoriaFaena,IdFaena,RegionInstalacion,ProvinciaInstalacion,ComunaInstalacion,NombreInstalacion,IdTipoInstalacion,TipoInstalacion,RecursoMineroInstalacion,TipoRecursoInstalacion,RecursoPrimarioInstalacion,IdInstalacion,Norte,Este,Cota,Huso,Datum,IdEstado,Estado,Latitud,Longitud,dist_Santiago_km,time_Santiago_min,dist_Valparaíso_km,time_Valparaíso_min,dist_Viña_del_Mar_km,time_Viña_del_Mar_min,dist_Antofagasta_km,time_Antofagasta_min,dist_La_Serena_km,time_La_Serena_min,dist_Coquimbo_km,time_Coquimbo_min,dist_Rancagua_km,time_Rancagua_min,dist_Talca_km,time_Talca_min,dist_Iquique_km,time_Iquique_min,dist_Arica_km,time_Arica_min,dist_Calama_km,time_Calama_min,dist_Copiapó_km,time_Copiapó_min,dist_San_Bernardo_km,time_San_Bernardo_min,dist_Curicó_km,time_Curicó_min,dist_Ovalle_km,time_Ovalle_min,Tiempo_Prt_Antofagasta,Tiempo_Prt_Bahia Agua Fresca,Tiempo_Prt_Bahia De Valdivia,Tiempo_Prt_Bahia De Valparaiso,Tiempo_Prt_Bahia Harris,Tiempo_Prt_Bahia Herradura Guayacan,Tiempo_Prt_Bahia Quintero (Ventanas),Tiempo_Prt_Bahia San Vicente,Tiempo_Prt_Caleta Clarencia,Tiempo_Prt_Caleta Mina Elena,Tiempo_Prt_Caleta Patillos,Tiempo_Prt_Coquimbo,Tiempo_Prt_Coronel,Tiempo_Prt_Huasco,Tiempo_Prt_Iquique,Tiempo_Prt_Lirquen,Tiempo_Prt_Lota,Tiempo_Prt_Mejillones,Tiempo_Prt_Penco,Tiempo_Prt_Port San Juan De La Juan,Tiempo_Prt_Puerto Caldera,Tiempo_Prt_Puerto Calderilla,Tiempo_Prt_Puerto Castro,Tiempo_Prt_Puerto Chacabuco,Tiempo_Prt_Puerto Chanaral,Tiempo_Prt_Puerto De Corral,Tiempo_Prt_Puerto Montt,Tiempo_Prt_Puerto Natales,Tiempo_Prt_Puerto Quemchi,Tiempo_Prt_Puerto San Antonio,Tiempo_Prt_Puerto Sara,Tiempo_Prt_Puerto Williams,Tiempo_Prt_Puerto Yartou,Tiempo_Prt_Punta Delgada,Tiempo_Prt_Rada De Arica,Tiempo_Prt_Rada Punta Arenas,Tiempo_Prt_Talcahuano,Tiempo_Prt_Taltal,Tiempo_Prt_Tocopilla
61703000-4,EMPRESA NACIONAL DE MINERIA (ENAMI),III,HUASCO,VALLENAR,PLANTA DE BENEFICIO DE MINERALES - VALLENAR,CATEGORIA B,153576,ATACAMA,HUASCO,VALLENAR,TALLER DE MANTENCION,1350,TALLERES Y MAESTRANZA,OXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000016078,6839116.0,330003.0,538,19,PSAD-56,8,ACTIVA,-28.5667252352795,-70.7400643878607,668.0,497.635,624.57,475.85833333333335,618.6281,467.9133333333333,670.7849,548.9016666666666,198.1931,172.02666666666667,209.7595,183.80166666666668,750.0052,557.1116666666666,920.3066,666.4699999999999,1157.0277,901.6716666666669,1367.3808,1077.45,868.172,672.4916666666667,143.7188,114.56666666666666,683.3893,508.5583333333333,857.8613,625.1566666666666,285.0582,249.805,549.2633333333334,2651.0216666666665,1067.23,477.755,2780.0733333333333,190.76166666666668,453.9683333333333,848.9766666666667,2642.7566666666667,2706.673333333333,870.1466666666668,183.09333333333333,874.3566666666667,57.06666666666667,910.0466666666667,833.4316666666667,881.1466666666668,602.7966666666667,833.67,2684.4066666666668,165.22666666666666,174.375,1354.9333333333334,1971.125,227.98,1139.8633333333335,1186.0449999999998,2683.8933333333334,1303.885,531.9133333333333,2546.31,4420.97,2789.1933333333336,2529.75,1081.6916666666666,2627.7433333333333,849.9283333333333,354.99666666666667,707.1183333333333
76125921-0,CUPRUM RESOURCES CHILE SPA,IV,ELQUI,LA HIGUERA,LA VERDE,CATEGORIA D,20012162,COQUIMBO,ELQUI,LA HIGUERA,EXPLORACION LA VERDE,1297,EXPLORACION DE SUPERFICIE,COBRE - ORO - PLATA,RECURSOS MINERALES METÁLICOS,COBRE,2000016187,6743203.0,336885.0,1200,19,PSAD-56,169,INACTIVA,-29.4329200799516,-70.6836991271442,595.6908000000001,461.70166666666665,552.2608,439.925,546.319,431.98,816.2312,697.2266666666667,125.884,136.09333333333333,137.4503,147.86833333333334,677.696,521.1783333333334,847.9974,630.5366666666666,1302.474,1049.996666666667,1512.8271000000002,1225.775,1013.6183,820.8166666666667,289.1651,262.89166666666665,611.0801,472.625,785.5522,589.2233333333334,212.749,213.87166666666664,697.5916666666667,2615.088333333333,1031.2966666666666,441.82166666666666,2744.14,154.82833333333335,418.03499999999997,813.0433333333333,2606.8233333333333,2670.74,1018.475,147.16,838.4233333333334,196.44333333333333,1058.375,797.4983333333333,845.2133333333334,751.125,797.7366666666666,2648.4733333333334,313.555,322.7033333333333,1319.0,1935.1916666666666,376.30833333333334,1103.93,1150.1116666666667,2647.96,1267.9516666666668,495.97999999999996,2510.3766666666666,4385.036666666667,2753.26,2493.8183333333336,1230.02,2591.811666666667,813.9966666666667,503.325,855.4466666666667
94638000-8,CIA. MRA. DEL PACIFICO S.A.,III,COPIAPO,TIERRA AMARILLA,PLANTA MAGNETITA,CATEGORIA A,33981,ATACAMA,COPIAPO,TIERRA AMARILLA,TALLER DE MANTENIMIENTO,1350,TALLERES Y MAESTRANZA,MAGNETITA,RECURSOS MINERALES METÁLICOS,HIERRO,2000017216,6955524.0,369781.0,766,19,PSAD-56,8,ACTIVA,-27.52079864352,-70.3206037835792,800.9041,613.9316666666667,757.4742,592.1550000000001,751.5323000000001,584.2099999999999,562.4985,486.1833333333333,331.0973,288.3233333333334,342.6636,300.09833333333336,882.9093,673.4083333333333,1053.2107,782.7666666666667,1048.7413,838.9533333333333,1259.0944,1014.7316666666668,759.8855,609.7733333333333,26.0898,38.45166666666667,816.2934,624.855,990.7655,741.4533333333333,417.9624,366.1016666666666,486.54833333333335,2767.3183333333336,1183.5266666666669,594.0516666666666,2896.3700000000003,307.05833333333334,570.265,965.2733333333333,2759.0533333333337,2822.9700000000003,807.4316666666667,299.39000000000004,990.6533333333333,173.36333333333332,847.3316666666667,949.7283333333332,997.4433333333333,540.0816666666667,949.9666666666667,2800.7033333333334,102.51166666666667,111.66000000000001,1471.23,2087.4216666666666,165.265,1256.16,1302.3416666666667,2800.19,1420.1816666666666,648.2099999999999,2662.6066666666666,4537.266666666666,2905.49,2646.0466666666666,1018.9766666666667,2744.04,966.225,292.2816666666667,644.4033333333333
6891906-1,GARY NELSON MERCADO MALBRAN,III,CHAÑARAL,CHAÑARAL,DIEGO DAKAR 1/10,CATEGORIA D,20013237,ATACAMA,CHAÑARAL,CHAÑARAL,MINA DIEGO DAKAR 1/10,1291,MINA SUBTERRANEA,OXIDOS DE COBRE,RECURSOS MINERALES METÁLICOS,COBRE,2000018057,7078335.0,359170.0,531,19,PSAD-56,8,ACTIVA,-26.4112923990083,-70.4141039780573,986.5761,745.1,943.1461,723.3233333333334,937.2042,715.3783333333333,371.1999,315.755,516.7692,419.4916666666667,528.3355,431.26666666666665,1068.5812,804.5766666666666,1238.8826,913.935,857.4427,668.525,1067.7958,844.3033333333333,568.587,439.345,181.1044,155.64166666666668,1001.9654,756.0233333333333,1176.4373999999998,872.6216666666667,603.6343,497.27,316.12,2898.4866666666667,1314.695,725.2199999999999,3027.538333333333,438.22666666666663,701.4333333333333,1096.4416666666666,2890.2216666666664,2954.1383333333333,637.0033333333333,430.55833333333334,1121.8216666666667,279.22166666666664,676.9033333333333,1080.8966666666668,1128.6116666666667,369.65333333333336,1081.135,2931.8716666666664,104.28999999999999,116.74833333333332,1602.3983333333333,2218.5899999999997,29.053333333333335,1387.3283333333334,1433.51,2931.358333333333,1551.35,779.3783333333333,2793.775,4668.4349999999995,3036.6583333333333,2777.2149999999997,848.5483333333334,2875.2083333333335,1097.3933333333334,121.85333333333332,473.975
91337000-7,CEMENTO POLPAICO S.A.,RM,CHACABUCO,TILTIL,CANTERA CERRO BLANCO,CATEGORIA C,23440,METROPOLITANA DE SANTIAGO,CHACABUCO,TILTIL,MINA LOMA ORIENTAL,1292,MINA RAJO ABIERTO,CARBONATO DE CALCIO BLANCO,ROCAS Y MINERALES INDUSTRIALES,CARBONATOS DE CALCIO,2000018066,6330872.0,331364.0,570,19,PSAD-56,8,ACTIVA,-33.1506654516402,-70.8103275212,46.697,55.255,151.1191,127.08166666666666,147.81070000000005,128.48833333333334,1307.6118,1036.815,446.7189,329.46,436.7242,319.71500000000003,128.7021,114.73166666666664,299.0035,224.09,1793.8546,1389.585,2004.2077,1565.3633333333337,1504.9988,1160.405,780.5456999999999,602.48,62.0863,66.17833333333333,236.5583,182.77666666666667,381.254,284.94,1037.1783333333333,2208.641666666667,624.85,130.05833333333334,2337.6933333333336,318.555,125.79833333333333,406.59666666666664,2200.3766666666666,2264.2933333333335,1358.0616666666667,319.48499999999996,431.97666666666663,536.03,1397.9616666666666,391.0516666666666,438.76666666666665,1090.7116666666666,391.29,2242.0266666666666,653.1416666666667,662.2900000000001,912.5533333333333,1528.745,715.895,697.4833333333333,743.6650000000001,2241.5133333333333,861.505,129.77666666666667,2103.93,3978.5899999999997,2346.813333333333,2087.3633333333332,1569.6016666666667,2185.3566666666666,407.5416666666667,842.9066666666666,1195.0283333333332
96508670-6,MINERA MERIDIAN LIMITADA,II,ANTOFAGASTA,ANTOFAGASTA,PROYECTO PAMPA AUGUSTA VICTORIA,CATEGORIA B,129958,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,BOTADERO ESTERILES,1337,DEPÓSITO RMM - ESTÉRILES,ORO - PLATA,RECURSOS MINERALES METÁLICOS,ORO,2000019030,7323431.0,456248.0,1797,19,PSAD-56,8,ACTIVA,-24.2043317760899,-69.4328592385415,1396.583,1133.35,1353.153,1111.5733333333333,1347.2111,1103.628333333333,134.42239999999998,206.1133333333333,926.7761,807.7416666666667,938.3424,819.5166666666667,1478.5881000000002,1192.8266666666668,1648.8895,1302.1850000000002,619.7142,558.435,830.0673,734.2133333333334,330.8585,329.255,600.5337,544.8883333333333,1411.9723,1144.2733333333333,1586.4443,1260.871666666667,1013.6412,885.52,206.47833333333335,3286.7366666666667,1702.945,1113.47,3415.788333333333,826.4766666666667,1089.6833333333334,1484.6916666666666,3278.4716666666664,3342.3883333333333,526.9133333333333,818.8083333333333,1510.0716666666667,667.4716666666667,566.8133333333334,1469.1466666666668,1516.8616666666667,259.56333333333333,1469.385,3320.1216666666664,492.54,504.99833333333333,1990.6483333333333,2606.8399999999997,417.30333333333334,1775.5783333333334,1821.76,3319.608333333333,1939.6,1167.6283333333333,3182.025,5056.6849999999995,3424.9083333333333,3165.4649999999997,738.4583333333334,3263.4583333333335,1485.6433333333334,301.2033333333333,363.885
96508670-6,MINERA MERIDIAN LIMITADA,II,ANTOFAGASTA,ANTOFAGASTA,PROYECTO PAMPA AUGUSTA VICTORIA,CATEGORIA B,129958,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,TALLER MECÁNICO,1350,TALLERES Y MAESTRANZA,ORO - PLATA,RECURSOS MINERALES METÁLICOS,ORO,2000019033,7325141.0,456187.0,1721,19,PSAD-56,8,ACTIVA,-24.1888860537357,-69.4334076986273,1394.6259,1129.8333333333333,1351.196,1108.0566666666666,1345.2541,1100.111666666667,132.46529999999998,202.59666666666664,924.8191,804.225,936.3854,816.0,1476.6311,1189.3100000000002,1646.9325,1298.6683333333335,617.7571999999999,554.9183333333333,828.1103,730.6966666666667,328.9014,325.73833333333334,598.5767,541.3716666666667,1410.0152,1140.756666666667,1584.4873,1257.355,1011.6841,882.0033333333333,202.96166666666667,3283.2200000000003,1699.4283333333333,1109.9533333333334,3412.2716666666665,822.9599999999999,1086.1666666666667,1481.175,3274.955,3338.8716666666664,523.3966666666666,815.2916666666666,1506.555,663.955,563.2966666666667,1465.63,1513.345,256.0466666666667,1465.8683333333333,3316.605,489.02333333333337,501.4816666666667,1987.1316666666667,2603.3233333333333,413.7866666666667,1772.0616666666667,1818.2433333333333,3316.0916666666667,1936.0833333333333,1164.1116666666667,3178.508333333333,5053.168333333333,3421.391666666667,3161.9483333333333,734.9416666666667,3259.9416666666666,1482.1266666666668,297.68666666666667,360.3683333333333
96508670-6,MINERA MERIDIAN LIMITADA,II,ANTOFAGASTA,ANTOFAGASTA,PROYECTO PAMPA AUGUSTA VICTORIA,CATEGORIA B,129958,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,BODEGA,5019,BODEGA,ORO - PLATA,RECURSOS MINERALES METÁLICOS,ORO,2000019034,7325192.0,456188.0,1721,19,PSAD-56,8,ACTIVA,-24.1884254702676,-69.4333962968334,1394.6259,1129.8333333333333,1351.196,1108.0566666666666,1345.2541,1100.111666666667,132.46529999999998,202.59666666666664,924.8191,804.225,936.3854,816.0,1476.6311,1189.3100000000002,1646.9325,1298.6683333333335,617.7571999999999,554.9183333333333,828.1103,730.6966666666667,328.9014,325.73833333333334,598.5767,541.3716666666667,1410.0152,1140.756666666667,1584.4873,1257.355,1011.6841,882.0033333333333,202.96166666666667,3283.2200000000003,1699.4283333333333,1109.9533333333334,3412.2716666666665,822.9599999999999,1086.1666666666667,1481.175,3274.955,3338.8716666666664,523.3966666666666,815.2916666666666,1506.555,663.955,563.2966666666667,1465.63,1513.345,256.0466666666667,1465.8683333333333,3316.605,489.02333333333337,501.4816666666667,1987.1316666666667,2603.3233333333333,413.7866666666667,1772.0616666666667,1818.2433333333333,3316.0916666666667,1936.0833333333333,1164.1116666666667,3178.508333333333,5053.168333333333,3421.391666666667,3161.9483333333333,734.9416666666667,3259.9416666666666,1482.1266666666668,297.68666666666667,360.3683333333333
76448510-6,SLM CASUALIDAD PRIMERA DE EL MANZANO,IV,ELQUI,ANDACOLLO,CASUALIDAD UNO,CATEGORIA D,20015093,COQUIMBO,ELQUI,ANDACOLLO,MINA CASUALIDAD UNO,1291,MINA SUBTERRANEA,COBRE - ORO,RECURSOS MINERALES METÁLICOS,COBRE,2000019076,6657100.0,299764.0,917,19,PSAD-56,2169,IRREGULAR OPERATIVA,-30.2040688034175,-71.0822316307775,480.6884,351.21,437.2584000000001,329.43333333333334,431.3165,321.48833333333334,915.1268,764.205,51.7072,56.12833333333333,48.7837,53.11666666666667,562.6936,410.68666666666667,732.995,520.045,1401.3696,1116.975,1611.7227,1292.753333333333,1112.5139,887.795,388.0607,329.87,496.0777,362.1333333333333,670.5496999999999,478.7316666666667,82.5685,82.32166666666667,764.5683333333333,2504.5966666666664,920.8050000000001,331.33,2633.648333333333,60.285,307.5433333333333,702.5516666666666,2496.3316666666665,2560.2483333333334,1085.4516666666666,52.40833333333333,727.9316666666667,263.42,1125.3516666666667,687.0066666666667,734.7216666666667,818.1016666666667,687.245,2537.9816666666666,380.5316666666667,389.68,1208.5083333333334,1824.7,443.28499999999997,993.4383333333334,1039.62,2537.4683333333332,1157.46,385.48833333333334,2399.885,4274.545,2642.7683333333334,2383.326666666667,1296.9966666666667,2481.32,703.505,570.3016666666666,922.4233333333334
94638000-8,CIA. MRA. DEL PACIFICO S.A.,III,HUASCO,VALLENAR,EL ALGARROBO,CATEGORIA D,130685,ATACAMA,HUASCO,VALLENAR,TALLER MANTENIMIENTO MECANICO (IMOPPAC),1350,TALLERES Y MAESTRANZA,MAGNETITA,RECURSOS MINERALES METÁLICOS,HIERRO,2000020074,6812924.0,306895.0,1072,19,PSAD-56,10,CIERRE TEMPORAL,-28.7997630069698,-70.9806410263515,652.6148000000001,510.985,609.1848,489.2083333333333,603.2429000000001,481.2633333333333,714.429,609.5816666666667,182.8079,185.3766666666667,194.3742,197.15166666666667,734.6199,570.4616666666666,904.9213,679.8199999999999,1200.6718,962.3516666666668,1411.0249,1138.13,911.816,733.1716666666667,187.3629,175.24666666666664,668.0041,521.9083333333333,842.4761,638.5066666666667,269.673,263.155,609.9516666666666,2664.3716666666664,1080.5800000000002,491.10499999999996,2793.423333333333,204.11166666666668,467.3183333333333,862.3266666666666,2656.1066666666666,2720.023333333333,930.8349999999999,196.44333333333333,887.7066666666667,89.13166666666666,970.735,846.7816666666666,894.4966666666667,663.485,847.02,2697.7566666666667,225.915,235.06333333333333,1368.2833333333333,1984.475,288.6683333333333,1153.2133333333334,1199.395,2697.2433333333333,1317.2350000000001,545.2633333333333,2559.6600000000003,4434.320000000001,2802.5433333333335,2543.101666666667,1142.38,2641.0950000000003,863.2800000000001,415.685,767.8066666666667
