Nombre_Pro,Entidad_In,RUT_clean,Recurso_Pr,Recurso_Grupo,Región,Region_Norm,Estado,lat,lon,Cluster,Prob
Punta Espora,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.477783202999944,-69.46130371099997,0,1.0
Retamos-4,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.81091308599997,-69.71459960899995,1,1.0
Retamos-5,ENAP,92604000-6,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-52.81909179699994,-69.70892333999996,1,1.0
Salvadora,Compañía Minera San Lorenzo Limitada,76645913-3,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto en Evaluación,-26.374084472999982,-69.76379394499997,2,1.0
Turi,Terence Walker,14651619-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.222290038999972,-68.30621337899998,-1,1.0
María,SLM Marcela,76042429-3,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto en Evaluación,-27.49951171899994,-70.38238525399998,3,1.0
Gloria,Cía. Minera Cerro Negro S.A.,91614000-2,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.61309814499998,-70.84637451199995,4,1.0
Portales,Cía. Minera Cerro Negro S.A.,91614000-2,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.61511230499997,-70.85308837899998,4,1.0
Toro,ANTOFAGASTA MINERALS S.A,93920000-2,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.156005858999947,-68.97802734399994,-1,1.0
Pórfido Norte Bloque 4,ANTOFAGASTA MINERALS S.A,93920000-2,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.456115722999982,-69.09008789099994,-1,1.0
Sierra La Cruz,ANTOFAGASTA MINERALS S.A,93920000-2,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.304626464999956,-69.87969970699999,-1,1.0
Sierra Overa,ANTOFAGASTA MINERALS S.A,93920000-2,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.802917479999962,-70.00238037099996,5,1.0
Exploración Proyecto Atlántida,NEW GOLDEN EXPLORATIONS CHILE SpA,76920597-7,Cu-Au-Mo,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.977600097999982,-69.98950195299994,6,1.0
Linares Antu,BHP CHILE INC,86160300-8,Cu,Cobre,Región del Maule,MAULE,Proyecto Aprobado,-35.95190429699994,-71.21398925799997,-1,1.0
Arqueros I,Compañía Minera San Gerónimo,78801520-8,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.75201415999993,-70.92108154299996,7,1.0
Arqueros II,Compañía Minera San Gerónimo,78801520-8,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.770202636999954,-70.92749023399995,7,1.0
Lidia,Compañía Minera San Gerónimo,78801520-8,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.867187499999943,-70.91149902299998,8,1.0
Veta Libertad,Compañía Minera San Gerónimo,78801520-8,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.695983886999954,-70.84600830099998,7,1.0
Veta Macarena,Compañía Minera San Gerónimo,78801520-8,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.692810058999953,-70.84997558599997,7,1.0
Veta Pedro Montt,Compañía Minera San Gerónimo,78801520-8,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.689208983999947,-70.85540771499996,7,1.0
Tres Puntas,ENAMI,61703000-4,Au-Cu,Oro,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.147094726999967,-68.77990722699997,9,1.0
Santa Nicole,Minera Peñoles de Chile Limitada,76670380-1,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.42687988299997,-71.29779052699996,-1,1.0
Alto Pajonales,ANTOFAGASTA MINERALS S.A,93920000-2,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.139404296999942,-70.90332031299994,10,1.0
Alturas,Compañía Minera Salitrales Limitada,76033303-4,Au-Ag,Oro,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.01940917999997,-69.92602539099994,-1,1.0
Azufrera,Compañía Minera Salitrales Limitada,76033303-4,Au-Ag,Oro,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.82012939499998,-69.97802734399994,11,1.0
Diamanate,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-33.08880615199996,-70.31719970699999,12,1.0
Leiva Sur Sur,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.58618164099994,-70.17279052699996,13,1.0
Pimenton,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.532104491999974,-70.19171142599998,13,1.0
Tigre Leiva Norte,CODELCO,61704000-K,Cu,Cobre,Región de Valparaíso,VALPARAÍSO,Proyecto Aprobado,-32.55151367199994,-70.15240478499999,13,1.0
Proyecto Distrital Florida,MINERA MERIDIAN LTDA,96508670-6,Au,Oro,Región Metropolitana,REGIÓN METROPOLITANA,Proyecto Aprobado,-33.99279785199997,-70.97540283199999,14,1.0
El Laco,Laco SPA,76216083-8,Fe,Hierro,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.865905761999954,-67.36199951199995,-1,1.0
Mina Juana,Diomedes Cruz Solarzano,14627660-1,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.67742919899996,-71.21038818399995,15,1.0
Mina Mirador,Dicave Limitada,77990270-6,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.663391112999932,-71.20410156299994,15,1.0
Salitrales,Compañía Minera Barrick Chile Limitada,59000710-2,Au-Ag,Oro,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.878112792999957,-69.98791503899997,11,1.0
Yuma,Rio Tinto,59032420-5,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.143127440999933,-68.64691162099996,16,1.0
Argomedo,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-24.790405272999976,-69.41680908199999,-1,1.0
Domeyko,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-24.646606444999975,-69.24407958999996,17,1.0
F17,QUANTUM PACIFIC EXPLORATION SPA,76320311-5,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.82427978499993,-69.27490234399994,-1,1.0
Sierra Candeleros,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.440002440999933,-69.47998046899994,-1,1.0
Flor del Desierto,Teck Resources Chile Ltda.,78127000-8,Au-Zn,Oro,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.058776854999962,-69.12701415999999,18,1.0
Lasarterias,Teck Resources Chile Ltda.,78127000-8,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-21.11419677699996,-68.81530761699997,-1,1.0
Yogen,Teck Resources Chile Ltda.,78127000-8,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.83349609399994,-68.79388427699996,-1,1.0
Virginia,Teck Resources Chile Ltda.,78127000-8,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.391906737999932,-69.25567626999998,-1,1.0
Campamento,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.576904296999942,-69.23577880899995,19,1.0
Chitigua Norte,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.55297851599994,-68.78930664099994,20,1.0
Chitigua Sur,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.742797851999967,-68.86639404299996,21,1.0
Iglesia,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.65539550799997,-68.83819580099998,20,1.0
Imperial,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.284606933999953,-69.37799072299998,22,1.0
Pinchal,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.472412108999947,-68.88378906299994,-1,1.0
Pomelo,Anglo American Chile Inversiones S.A.,76457675-6,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.671325683999953,-69.06909179699994,-1,1.0
Salvadora,Compañía Minera Kairos Chile Limitada,76375367-0,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.374206542999957,-69.76361083999996,2,1.0
Chilpes,CODELCO,61704000-K,Cu,Cobre,Región de Arica y Parinacota,ARICA Y PARINACOTA,Proyecto Aprobado,-18.932678222999982,-69.61450195299994,-1,1.0
Los Azules,Minera Celeste Chile Limitada,76929290-k,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto en Evaluación,-27.391479491999974,-69.84759521499996,-1,1.0
Nino,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-24.585205077999944,-69.18280029299996,17,1.0
Pampa Luna,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.257202147999976,-69.10949706999997,23,1.0
Raste,CODELCO,61704000-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.575195312999938,-69.07781982399996,24,1.0
Yabricoya Antena,CODELCO,61704000-K,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.144714354999962,-69.03491210899995,-1,1.0
Olimpo,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-21.060302733999947,-68.60369872999996,16,1.0
Palestina,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.81060790999993,-69.54168701199995,-1,1.0
Quinchamale,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.640624999999943,-68.90570068399995,25,1.0
Real,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-21.00201415999993,-69.09802246099997,26,1.0
Tama,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.221374511999954,-69.37048339799998,22,1.0
Tres Marias,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.51068115199996,-69.22058105499997,27,1.0
Victoria,FQM Exploration Chile S.A.,96709010-7,Cu-Ag,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.63659667999997,-69.48541259799998,28,1.0
Caya,VALE EXPLORACIONES CHILE LTDA,76031013-1,Cu,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.543823241999974,-68.94470214799998,-1,1.0
La Cobaltera,BALTUM MINERIA SPA,76827453-3,Co,Otro,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.70001220699993,-71.21099853499999,-1,1.0
Ángela,MINERA CENTRAL ANDES SPA,76074812-9,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-24.94677734399994,-70.27209472699997,-1,1.0
Chincol,YPF Chile S.A.,76162492-K,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-53.32061767599998,-68.71008300799997,29,1.0
Cisne Oeste,YPF Chile S.A.,76162492-K,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-53.20068359399994,-68.84332275399998,30,1.0
Cisne Sur,YPF Chile S.A.,76162492-K,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-53.21118164099994,-68.78320312499994,30,1.0
Maihuen,YPF Chile S.A.,76162492-K,Hidrocarburos,Hidrocarburos,Región de Magallanes,MAGALLANES,Proyecto Aprobado,-53.17999267599998,-68.86370849599996,30,1.0
6D,Far West Exploration S.A.,76069159-3,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.424011229999962,-70.53369140599995,-1,1.0
Almagro,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.465698241999974,-69.78558349599996,-1,1.0
Veronica,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.12872314499998,-69.72760009799998,-1,1.0
Mantos Cobrizos,Compañía Minera Carmen Bajo,81556700-5,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.36761474599996,-70.17651367199994,31,1.0
María Luisa,Compañía Minera Carmen Bajo,81556700-5,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.357910155999946,-70.17358398399995,31,1.0
Resguardo,Compañía Minera Carmen Bajo,81556700-5,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.564208983999947,-70.32598876999998,3,1.0
Arena Sur,ANTOFAGASTA MINERALS S.A,93920000-2,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.070312499999943,-70.17248535199997,32,1.0
Argos,ANTOFAGASTA MINERALS S.A,93920000-2,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.246582030999946,-70.83581542999997,33,1.0
Azul Profundo,ANTOFAGASTA MINERALS S.A,93920000-2,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.078796386999954,-69.30517578099995,34,1.0
Jotabeche,Norte Abierto SpA,77116500-1,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.725280761999954,-69.26879882799994,35,1.0
La Cantera,CODELCO,61704000-K,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.29852294899996,-69.58288574199997,2,1.0
Llanta,CODELCO,61704000-K,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.348327636999954,-69.68829345699999,2,1.0
