Cluster,N,lat_centroid,lon_centroid,Empresas,Empresa_top,Recursos,Region_top,spread_km
0,2,-52.47738647449995,-69.43795776349995,1,ENAP,Hidrocarburos,MAGALLANES,3.2
1,23,-52.82118571599995,-69.66637840013038,1,ENAP,Hidrocarburos,MAGALLANES,28.4
2,17,-26.340123234176424,-69.65373810564702,8,CODELCO,Cobre,ATACAMA,33.8
3,7,-27.514132950999958,-70.33120855399996,6,CIA. MINERA CARMEN BAJO,Cobre,ATACAMA,13.5
4,2,-32.614105224999975,-70.84973144549997,1,Cía. Minera Cerro Negro S.A.,Cobre,VALPARAÍSO,0.7
5,2,-25.815612792499962,-69.96014404299996,2,ANTOFAGASTA MINERALS S.A,Cobre,ANTOFAGASTA,8.9
6,2,-26.977355956999958,-69.98849487299995,2,NEW GOLDEN EXPLORATIONS CHILE SpA,Cobre,ATACAMA,0.2
7,19,-29.70109701884206,-70.86047170499997,3,Compañía Minera San Gerónimo,Cobre,COQUIMBO,21.6
8,2,-29.86828613299994,-70.91839599599996,1,Compañía Minera San Gerónimo,Cobre,COQUIMBO,1.4
9,2,-26.17874145549996,-68.79986572299995,2,ENAMI,Oro,ATACAMA,8.1
10,8,-29.116552467749955,-70.98269796487496,4,Compañía Minera del Pacífico S.A.,Hierro,ATACAMA,11.2
11,4,-29.82078552249996,-69.98283386249996,3,Compañía Minera Salitrales Limitada,Oro,COQUIMBO,11.3
12,9,-33.09194607199995,-70.23471408422218,1,CODELCO,Cobre,VALPARAÍSO,17.3
13,4,-32.546401977499954,-70.16510009749997,1,CODELCO,Cobre,VALPARAÍSO,8.3
14,4,-33.99925174024996,-70.98681216424995,3,Minera Florida Ltda.,Oro,REGIÓN METROPOLITANA,2.1
15,6,-30.69039916999996,-71.21063232449995,4,Diomedes Cruz Solarzano,Cobre,COQUIMBO,7.4
16,3,-21.091145832999945,-68.62353515599996,2,Rio Tinto,Cobre,TARAPACÁ,10.2
17,4,-24.65542602524995,-69.19117736824997,3,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,Cobre,ANTOFAGASTA,12.5
18,2,-20.05429077149995,-69.13040161149996,2,Teck Resources Chile Ltda.,Oro,TARAPACÁ,1.2
19,3,-25.597900781333276,-69.23995751966662,3,Anglo American Chile Inversiones S.A.,Cobre,ANTOFAGASTA,6.6
20,3,-21.59916178399995,-68.81203206399995,1,Anglo American Chile Inversiones S.A.,Cobre,ANTOFAGASTA,12.5
21,4,-21.79565429699997,-68.84294128424996,3,Anglo American Chile Inversiones S.A.,Cobre,ANTOFAGASTA,13.2
22,4,-22.222564648499954,-69.37771594224998,4,Anglo American Chile Inversiones S.A.,Cobre,ANTOFAGASTA,11.7
23,3,-22.26184942699996,-69.12592389433331,2,CODELCO,Cobre,ANTOFAGASTA,5.4
24,2,-22.562047656499942,-69.08655991199996,1,CODELCO,Cobre,ANTOFAGASTA,3.4
25,2,-20.649566650499935,-68.90484619149996,1,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,Cobre,TARAPACÁ,2.0
26,2,-21.03805541999995,-69.09710693349996,1,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,Cobre,TARAPACÁ,8.0
27,5,-22.546533203199953,-69.26002197279996,3,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,Cobre,ANTOFAGASTA,11.1
28,3,-25.65347532566663,-69.45017050799997,3,FQM Exploration Chile S.A.,Cobre,ANTOFAGASTA,6.5
29,4,-53.301513671999956,-68.73976135274997,1,YPF Chile S.A.,Hidrocarburos,MAGALLANES,14.1
30,4,-53.19953918474995,-68.82318115224996,1,YPF Chile S.A.,Hidrocarburos,MAGALLANES,6.4
31,9,-27.361299748777736,-70.18250840944441,7,Compañía Minera Carmen Bajo,Cobre,ATACAMA,20.7
32,3,-27.037963867333303,-70.13208007799994,2,MINERA NITTETSU CHILE LIMITADA,Cobre,ATACAMA,8.1
