Mine,LGB_Optuna_Seg,LightGBM,RandomForest,"ARIMA(1,1,1)",Holt,Naive_ref
ministro hales,80.95238095238095,80.95238095238095,78.57142857142857,66.66666666666666,28.57142857142857,50.0
zaldivar,80.35714285714286,53.06122448979592,67.3469387755102,60.317460317460316,53.96825396825397,50.0
antucoya,75.0,53.57142857142857,35.714285714285715,0.0,0.0,50.0
sierra gorda,74.28571428571429,62.857142857142854,40.0,42.857142857142854,78.57142857142857,50.0
cerro colorado,73.58490566037736,60.86956521739131,60.86956521739131,68.33333333333333,60.0,50.0
radomiro tomic,73.21428571428571,18.367346938775512,34.69387755102041,36.507936507936506,20.634920634920633,50.0
andacollo,71.42857142857143,63.26530612244898,59.183673469387756,33.92857142857143,7.142857142857142,50.0
andina,71.42857142857143,18.367346938775512,38.775510204081634,53.96825396825397,17.46031746031746,50.0
caserones,69.04761904761905,57.14285714285714,64.28571428571429,9.523809523809524,14.285714285714285,50.0
los pelambres,67.85714285714286,36.734693877551024,32.6530612244898,34.92063492063492,33.33333333333333,50.0
el abra,64.28571428571429,61.224489795918366,67.3469387755102,44.44444444444444,36.507936507936506,50.0
candelaria,62.5,79.59183673469387,67.3469387755102,68.25396825396825,57.14285714285714,50.0
gabriela mistral,58.92857142857143,65.3061224489796,55.10204081632652,39.285714285714285,1.7857142857142856,50.0
los bronces,57.14285714285714,61.224489795918366,67.3469387755102,44.44444444444444,39.682539682539684,50.0
capstone copper (4),55.35714285714286,40.816326530612244,46.93877551020408,79.36507936507937,15.873015873015872,50.0
salvador,50.0,55.10204081632652,55.10204081632652,68.25396825396825,63.49206349206349,50.0
chuquicamata,48.214285714285715,34.69387755102041,32.6530612244898,30.158730158730158,25.396825396825395,50.0
cerro negro,42.857142857142854,17.142857142857142,31.428571428571427,28.57142857142857,0.0,50.0
el soldado,42.857142857142854,60.0,37.142857142857146,42.857142857142854,35.714285714285715,50.0
centinela_centinela_óxidos_,41.07142857142857,42.857142857142854,46.93877551020408,30.158730158730158,39.682539682539684,50.0
lomas bayas,41.07142857142857,40.816326530612244,34.69387755102041,34.92063492063492,60.317460317460316,50.0
tres valles,40.0,40.0,45.714285714285715,78.57142857142857,71.42857142857143,50.0
escondida,39.285714285714285,34.69387755102041,34.69387755102041,58.730158730158735,60.317460317460316,50.0
el teniente,37.5,32.6530612244898,61.224489795918366,57.14285714285714,47.61904761904761,50.0
centinela_centinela_sulfuros_,35.714285714285715,36.734693877551024,32.6530612244898,45.714285714285715,25.71428571428571,50.0
mantoverde,34.285714285714285,34.285714285714285,17.142857142857142,42.857142857142854,14.285714285714285,50.0
pampa camarones,26.666666666666668,26.666666666666668,66.66666666666666,,,50.0
altos de punitaqui,26.666666666666668,26.666666666666668,33.33333333333333,33.33333333333333,33.33333333333333,50.0
mantos blancos,25.71428571428571,34.285714285714285,20.0,14.285714285714285,21.428571428571427,50.0
franke,17.142857142857142,48.57142857142857,42.857142857142854,92.85714285714286,64.28571428571429,50.0
collahuasi,16.071428571428573,26.53061224489796,38.775510204081634,20.634920634920633,49.2063492063492,50.0
atacama kozan,8.571428571428571,2.857142857142857,11.428571428571429,28.57142857142857,0.0,50.0
michilla,8.333333333333332,31.25,56.25,36.0,52.0,50.0
haldeman,0.0,0.0,0.0,,,50.0
