,MAPE_%,MAE_kt,n
Naive,22.99,34.91,1547.0
HistMean_5y,27.55,39.69,1547.0
LinTrend,44.34,76.15,1452.0
ExpSmooth,20.92,36.59,1359.0
Holt,26.43,44.46,1253.0
"ARIMA(1,1,1)",23.53,43.02,1253.0
AutoARIMA,26.39,52.57,1153.0
HoltWinters,26.43,44.46,1253.0
LinearReg,28.28,37.57,1302.0
Ridge,28.29,36.86,1302.0
RandomForest,33.51,34.96,1302.0
LightGBM,29.48,34.28,1302.0
XGBoost,37.31,38.63,1302.0
RF_Seg,32.48,40.34,1400.0
LGB_Seg,25.35,36.95,1400.0
XGB_Seg,35.66,41.03,1400.0
LGB_Optuna_Seg,32.99,37.16,1400.0
