Model,H+1,H+2,H+3,H+4,H+5,H+6,H+7,Avg_WR,MASE,Skill_%
LGB_Optuna_Seg,44.39252336448598,46.666666666666664,50.0,49.282296650717704,54.761904761904766,58.3732057416268,59.61538461538461,51.87028311439808,1.1195321492872607,-15.684520581703065
Naive,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,0.0
ExpSmooth,45.23809523809524,46.63461538461539,52.17391304347826,52.9126213592233,52.9126213592233,48.292682926829265,51.707317073170735,49.981695197805074,1.0220765027431566,-0.5505273038477476
XGBoost,41.5,43.87755102040816,47.42268041237113,46.90721649484536,47.69230769230769,53.09278350515464,53.09278350515464,47.65504609003452,1.2292744745149202,-19.88561300260765
"ARIMA(1,1,1)",43.07692307692308,42.487046632124354,46.596858638743456,46.07329842931937,49.73821989528796,51.05263157894737,50.526315789473685,47.07875629154561,1.1445810128529026,-22.851446689932242
RandomForest,39.0,44.38775510204081,46.391752577319586,44.329896907216494,48.717948717948715,53.09278350515464,50.0,46.560019544240035,1.1146330248881506,-12.716650923621842
LGB_Seg,34.57943925233645,37.61904761904762,46.15384615384615,46.411483253588514,47.14285714285714,51.196172248803826,55.28846153846154,45.48447245842017,1.0966952343671932,-7.163076329013762
RF_Seg,41.1214953271028,44.761904761904766,43.75,46.411483253588514,44.761904761904766,46.411483253588514,47.11538461538461,44.90480799621057,1.2013318052699862,-17.127310773535154
LightGBM,35.0,44.89795918367347,43.29896907216495,44.84536082474227,47.69230769230769,47.93814432989691,50.0,44.81039158611218,1.0941030713661142,-10.649458550914126
XGB_Seg,36.44859813084112,43.80952380952381,43.75,43.0622009569378,43.333333333333336,48.803827751196174,49.03846153846153,44.035135074327684,1.2040911254565272,-20.756476756683263
LinearReg,27.500000000000004,31.122448979591837,35.56701030927835,40.20618556701031,41.02564102564102,44.84536082474227,45.876288659793815,38.02041933800823,1.19964640032988,-11.664142002827283
Holt,34.87179487179487,37.30569948186528,38.7434554973822,37.17277486910995,40.31413612565445,35.78947368421053,38.94736842105263,37.592100421581414,1.1791658283166826,-46.15033027132485
HoltWinters,34.87179487179487,37.30569948186528,38.7434554973822,37.17277486910995,40.31413612565445,35.78947368421053,38.94736842105263,37.592100421581414,1.1791658283166826,-46.15033027132485
HistMean_5y,30.543933054393307,33.61702127659574,38.62660944206009,40.772532188841204,40.343347639484975,37.22943722943723,41.55844155844156,37.52733176989344,1.1328838934133287,-19.03264758596226
Ridge,28.000000000000004,30.102040816326532,34.5360824742268,38.659793814432994,39.48717948717949,45.876288659793815,45.36082474226804,37.43174428488967,1.1773520300742941,-11.34132029910253
LinTrend,30.357142857142854,28.50678733031674,32.27272727272727,29.09090909090909,29.22374429223744,25.229357798165136,27.981651376146786,28.95176000252076,2.180002346619898,-104.67394879082646
AutoARIMA,12.222222222222221,12.921348314606742,12.429378531073446,10.734463276836157,8.47457627118644,9.090909090909092,6.8181818181818175,10.384439932145131,1.3200569985770347,-38.481055526030225
