Mine,Bias_kt,Bias_pct,WR,N
collahuasi,-81.59212394473879,-13.032942869309258,0.2028985507246377,69
sierra gorda,-48.4352577825299,-30.369438961970168,0.36585365853658536,41
escondida,-33.31122217472585,-1.9704459631174418,0.5797101449275363,69
mantoverde,-25.616645368059363,-40.42468842303285,0.16666666666666666,6
mantos blancos,-14.346225298229555,-27.63492263199852,0.0,6
ministro hales,-9.379560310585454,-1.6584366902575258,0.8958333333333334,48
caserones,-7.857083969330219,-6.220738477720517,0.4583333333333333,48
el soldado,-6.777622216359536,-15.183037795402408,0.8333333333333334,6
centinela_centinela_sulfuros_,-4.511958514820475,-1.399785425329507,0.5806451612903226,62
antucoya,-4.472115248502982,-5.845252251981855,0.38235294117647056,34
atacama kozan,-2.2265531127432747,-17.370211123738695,0.0,6
cerro negro,-0.2469155485507343,-5.63493371512406,1.0,6
candelaria,0.9398915182201265,3.369820851677705,0.5652173913043478,69
capstone copper (4),2.135363226526582,3.6239312770846857,0.7101449275362319,69
tres valles,2.3355358300731024,124.66248904129354,1.0,6
lomas bayas,3.1403033500188102,4.832286034748642,0.5652173913043478,69
franke,3.996130294633732,35.09915223131818,1.0,6
michilla,4.049042745883548,30.15004410552763,0.6129032258064516,31
centinela_centinela_óxidos_,4.469597804381031,9.282078800772823,0.5652173913043478,69
zaldivar,5.683407607248262,5.900973780504581,0.7246376811594203,69
gabriela mistral,6.057437252211826,5.77472031997771,0.6612903225806451,62
el teniente,7.064302230841464,2.9031423642195913,0.5942028985507246,69
salvador,9.13302146297093,69.28314397565111,0.5362318840579711,69
cerro colorado,9.28505812209083,18.272957037517546,0.5,64
andacollo,9.500372443915184,22.295032070017623,0.6935483870967742,62
los bronces,17.487903886543485,9.317023999010676,0.4927536231884058,69
andina,18.193924410569437,10.403673587817668,0.5072463768115942,69
el abra,28.370486887830932,36.051830332592296,0.4057971014492754,69
radomiro tomic,39.09381956095906,12.879415954776288,0.3333333333333333,69
los pelambres,43.00597466626545,12.664385792889057,0.3188405797101449,69
chuquicamata,55.30164552704555,18.592451879342438,0.34782608695652173,69
