Mine,n_origins,mean_d,DM_stat,p_value,Sig,WR,Skill,MASE,Size_Label
el teniente,9,2.7824728113829416,2.639,0.0149,**,0.8148148148148148,8.2,0.918,Colossal
candelaria,9,2.181368959220107,2.519,0.0179,**,0.7407407407407407,11.5,0.885,Large
capstone copper (4),9,1.7643162936234704,1.627,0.0712,*,0.7407407407407407,8.4,0.916,Large
andacollo,8,1.4603185797835057,1.313,0.1152,,0.5833333333333334,14.4,0.856,Medium
ministro hales,6,2.5874184222938625,1.313,0.123,,0.5555555555555556,3.1,0.969,Small
salvador,9,1.0708855976947755,1.072,0.1575,,0.5925925925925926,4.5,0.955,Medium
centinela_centinela_sulfuros_,8,0.8725960138755905,0.949,0.187,,0.5,1.1,0.989,Small
sierra gorda,5,0.9183414110962872,0.493,0.3239,,0.3333333333333333,-0.1,1.001,Small
zaldivar,9,1.3226780328798091,0.456,0.3302,,0.7407407407407407,18.5,0.815,Large
cerro colorado,9,0.3578962365356398,0.376,0.3585,,0.5925925925925926,5.2,0.948,Medium
antucoya,4,0.5252545808810407,0.388,0.3619,,0.4166666666666667,6.8,0.932,Small
escondida,9,0.632925217526087,0.161,0.438,,0.4814814814814814,0.6,0.994,Colossal
gabriela mistral,8,-0.19453527513923735,-0.131,0.5504,,0.6666666666666666,2.1,0.979,Large
andina,9,-0.22981491175811014,-0.217,0.5831,,0.5555555555555556,-1.3,1.013,Colossal
michilla,6,-0.29461273529629023,-0.259,0.597,,0.6111111111111112,1.1,0.989,Medium
los bronces,9,-1.128494535286331,-0.391,0.6471,,0.4074074074074074,-5.6,1.056,Colossal
caserones,6,-5.645603171283287,-0.677,0.7358,,0.2777777777777778,-25.5,1.255,Small
el abra,9,-0.3003137098705982,-0.913,0.8061,,0.2962962962962963,-3.3,1.033,Colossal
lomas bayas,9,-1.2834506801547905,-1.117,0.8519,,0.4444444444444444,-23.3,1.233,Medium
radomiro tomic,9,-8.52365555565816,-1.322,0.8887,,0.2962962962962963,-20.4,1.204,Colossal
centinela_centinela_óxidos_,9,-8.439403444794143,-1.682,0.9344,,0.3333333333333333,-55.8,1.558,Large
chuquicamata,9,-14.05955626786102,-1.9,0.953,,0.2962962962962963,-23.0,1.23,Colossal
los pelambres,9,-14.144218640683597,-2.257,0.973,,0.2592592592592592,-42.8,1.428,Colossal
collahuasi,9,-19.501134702851072,-3.356,0.995,,0.3333333333333333,-19.9,1.199,Colossal
