Mine,ForecastYear,Pred,Naive_Pred
altos de punitaqui,2026,1.566,4.723
altos de punitaqui,2027,1.178,4.723
altos de punitaqui,2028,0.789,4.723
altos de punitaqui,2029,0.401,4.723
altos de punitaqui,2030,0.012,4.723
altos de punitaqui,2031,0.0,4.723
altos de punitaqui,2032,0.0,4.723
cerro colorado,2026,0.0,0.0
cerro colorado,2027,0.0,0.0
cerro colorado,2028,0.0,0.0
cerro colorado,2029,0.0,0.0
cerro colorado,2030,0.0,0.0
cerro colorado,2031,0.0,0.0
cerro colorado,2032,0.0,0.0
haldeman,2026,6.4,9.7
haldeman,2027,6.1,9.7
haldeman,2028,5.8,9.7
haldeman,2029,5.5,9.7
haldeman,2030,5.2,9.7
haldeman,2031,4.9,9.7
haldeman,2032,4.6,9.7
quebrada blanca,2026,263.208,190.027
quebrada blanca,2027,318.73,190.027
quebrada blanca,2028,320.0,190.027
quebrada blanca,2029,320.0,190.027
quebrada blanca,2030,320.0,190.027
quebrada blanca,2031,320.0,190.027
quebrada blanca,2032,320.0,190.027
spence,2026,275.677,254.795
spence,2027,280.0,254.795
spence,2028,280.0,254.795
spence,2029,280.0,254.795
spence,2030,280.0,254.795
spence,2031,280.0,254.795
spence,2032,280.0,254.795
