Mine,MAPE_all_%,Excluded
michilla,64.88,True
salvador,56.53,True
el abra,41.23,False
ministro hales,38.64,False
sierra gorda,38.59,False
caserones,37.49,False
centinela_centinela_óxidos_,35.21,False
andacollo,27.95,False
los bronces,24.54,False
antucoya,24.3,False
chuquicamata,23.41,False
collahuasi,21.82,False
radomiro tomic,21.29,False
candelaria,18.43,False
cerro colorado,17.28,False
andina,16.91,False
capstone copper (4),16.43,False
zaldivar,15.4,False
centinela_centinela_sulfuros_,14.02,False
los pelambres,13.71,False
escondida,13.45,False
gabriela mistral,11.57,False
lomas bayas,9.07,False
el teniente,8.76,False
