Mine,ForecastYear,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
andacollo,2026,1,48.756627556084815,50.481,29.616627556084815,45.71862755608482,50.481,1,Medium,1,SmallMed
andacollo,2027,2,46.076627556084816,50.481,24.472627556084817,45.405627556084816,50.481,1,Medium,1,SmallMed
andacollo,2028,3,48.38362755608482,50.481,25.091627556084816,44.24962755608482,50.481,1,Medium,1,SmallMed
andacollo,2029,4,41.89262755608482,50.481,18.339627556084814,46.945627556084816,50.481,1,Medium,1,SmallMed
andacollo,2030,5,33.787627556084814,50.481,18.139627556084818,43.84062755608482,50.481,1,Medium,1,SmallMed
andacollo,2031,6,34.61162755608482,50.481,22.281627556084814,41.20262755608482,50.481,1,Medium,1,SmallMed
andacollo,2032,7,35.305627556084815,50.481,21.756627556084815,42.308627556084815,50.481,1,Medium,1,SmallMed
andina,2026,1,162.22907558943058,181.62,153.5460755894306,169.66007558943056,181.62,3,Colossal,2,LargeColossal
andina,2027,2,164.20507558943058,181.62,152.00807558943058,169.66507558943056,181.62,3,Colossal,2,LargeColossal
andina,2028,3,163.51007558943058,181.62,150.5170755894306,169.76207558943054,181.62,3,Colossal,2,LargeColossal
andina,2029,4,158.75607558943057,181.62,142.7790755894306,168.00807558943058,181.62,3,Colossal,2,LargeColossal
andina,2030,5,153.17207558943056,181.62,142.30507558943054,163.71107558943055,181.62,3,Colossal,2,LargeColossal
andina,2031,6,148.12407558943056,181.62,141.22407558943058,162.7960755894306,181.62,3,Colossal,2,LargeColossal
andina,2032,7,142.72907558943058,181.62,138.17607558943058,162.63507558943058,181.62,3,Colossal,2,LargeColossal
antucoya,2026,1,86.51411524850299,81.159,89.30611524850299,88.94111524850298,81.159,1,Medium,1,SmallMed
antucoya,2027,2,85.79011524850299,81.159,88.69211524850299,89.49011524850299,81.159,1,Medium,1,SmallMed
antucoya,2028,3,85.53811524850299,81.159,84.59111524850299,88.26111524850299,81.159,1,Medium,1,SmallMed
antucoya,2029,4,82.05311524850299,81.159,80.54911524850299,86.00411524850298,81.159,1,Medium,1,SmallMed
antucoya,2030,5,80.30011524850299,81.159,79.70011524850298,82.405115248503,81.159,1,Medium,1,SmallMed
antucoya,2031,6,69.92811524850299,81.159,69.45211524850299,81.38911524850299,81.159,1,Medium,1,SmallMed
antucoya,2032,7,59.51311524850298,81.159,47.82411524850298,81.19211524850299,81.159,1,Medium,1,SmallMed
