Mine,ForecastYear,Horizonte,Scenario,Pred,Origin_Prod,Mine_Size,Size_Label,Segment
andacollo,2026,1,bear,34.1,50.5,1,Medium,SM
andacollo,2026,1,base,34.1,50.5,1,Medium,SM
andacollo,2026,1,bull,34.7,50.5,1,Medium,SM
andacollo,2027,2,bear,28.7,50.5,1,Medium,SM
andacollo,2027,2,base,28.7,50.5,1,Medium,SM
andacollo,2027,2,bull,29.6,50.5,1,Medium,SM
andacollo,2028,3,bear,27.3,50.5,1,Medium,SM
andacollo,2028,3,base,27.3,50.5,1,Medium,SM
andacollo,2028,3,bull,28.7,50.5,1,Medium,SM
andacollo,2029,4,bear,22.9,50.5,1,Medium,SM
andacollo,2029,4,base,22.9,50.5,1,Medium,SM
andacollo,2029,4,bull,22.9,50.5,1,Medium,SM
andacollo,2030,5,bear,15.3,50.5,1,Medium,SM
andacollo,2030,5,base,15.3,50.5,1,Medium,SM
andacollo,2030,5,bull,15.8,50.5,1,Medium,SM
andacollo,2031,6,bear,13.2,50.5,1,Medium,SM
andacollo,2031,6,base,13.2,50.5,1,Medium,SM
andacollo,2031,6,bull,13.9,50.5,1,Medium,SM
andacollo,2032,7,bear,13.0,50.5,1,Medium,SM
andacollo,2032,7,base,13.0,50.5,1,Medium,SM
andacollo,2032,7,bull,13.8,50.5,1,Medium,SM
andina,2026,1,bear,171.8,181.6,3,Colossal,LC
andina,2026,1,base,171.8,181.6,3,Colossal,LC
andina,2026,1,bull,172.2,181.6,3,Colossal,LC
andina,2027,2,bear,167.3,181.6,3,Colossal,LC
andina,2027,2,base,167.3,181.6,3,Colossal,LC
andina,2027,2,bull,167.6,181.6,3,Colossal,LC
andina,2028,3,bear,178.6,181.6,3,Colossal,LC
andina,2028,3,base,178.6,181.6,3,Colossal,LC
andina,2028,3,bull,178.0,181.6,3,Colossal,LC
andina,2029,4,bear,174.0,181.6,3,Colossal,LC
andina,2029,4,base,174.0,181.6,3,Colossal,LC
andina,2029,4,bull,171.8,181.6,3,Colossal,LC
andina,2030,5,bear,164.9,181.6,3,Colossal,LC
andina,2030,5,base,164.9,181.6,3,Colossal,LC
andina,2030,5,bull,163.5,181.6,3,Colossal,LC
andina,2031,6,bear,155.9,181.6,3,Colossal,LC
andina,2031,6,base,155.9,181.6,3,Colossal,LC
andina,2031,6,bull,155.5,181.6,3,Colossal,LC
andina,2032,7,bear,148.8,181.6,3,Colossal,LC
andina,2032,7,base,148.8,181.6,3,Colossal,LC
andina,2032,7,bull,150.2,181.6,3,Colossal,LC
antucoya,2026,1,bear,75.8,81.2,1,Medium,SM
antucoya,2026,1,base,75.8,81.2,1,Medium,SM
antucoya,2026,1,bull,73.4,81.2,1,Medium,SM
antucoya,2027,2,bear,73.2,81.2,1,Medium,SM
antucoya,2027,2,base,73.2,81.2,1,Medium,SM
antucoya,2027,2,bull,71.3,81.2,1,Medium,SM
antucoya,2028,3,bear,74.5,81.2,1,Medium,SM
antucoya,2028,3,base,74.5,81.2,1,Medium,SM
antucoya,2028,3,bull,72.9,81.2,1,Medium,SM
antucoya,2029,4,bear,72.9,81.2,1,Medium,SM
antucoya,2029,4,base,72.9,81.2,1,Medium,SM
antucoya,2029,4,bull,70.0,81.2,1,Medium,SM
antucoya,2030,5,bear,68.8,81.2,1,Medium,SM
antucoya,2030,5,base,68.8,81.2,1,Medium,SM
antucoya,2030,5,bull,67.1,81.2,1,Medium,SM
antucoya,2031,6,bear,59.1,81.2,1,Medium,SM
antucoya,2031,6,base,59.1,81.2,1,Medium,SM
antucoya,2031,6,bull,58.4,81.2,1,Medium,SM
antucoya,2032,7,bear,59.3,81.2,1,Medium,SM
antucoya,2032,7,base,59.3,81.2,1,Medium,SM
antucoya,2032,7,bull,59.3,81.2,1,Medium,SM
atacama kozan,2026,1,bear,11.9,11.6,0,Small,SM
atacama kozan,2026,1,base,11.9,11.6,0,Small,SM
atacama kozan,2026,1,bull,11.2,11.6,0,Small,SM
atacama kozan,2027,2,bear,11.5,11.6,0,Small,SM
atacama kozan,2027,2,base,11.5,11.6,0,Small,SM
atacama kozan,2027,2,bull,10.7,11.6,0,Small,SM
atacama kozan,2028,3,bear,12.2,11.6,0,Small,SM
atacama kozan,2028,3,base,12.2,11.6,0,Small,SM
atacama kozan,2028,3,bull,11.0,11.6,0,Small,SM
atacama kozan,2029,4,bear,11.9,11.6,0,Small,SM
atacama kozan,2029,4,base,11.9,11.6,0,Small,SM
atacama kozan,2029,4,bull,10.2,11.6,0,Small,SM
atacama kozan,2030,5,bear,10.7,11.6,0,Small,SM
atacama kozan,2030,5,base,10.7,11.6,0,Small,SM
atacama kozan,2030,5,bull,9.5,11.6,0,Small,SM
atacama kozan,2031,6,bear,9.5,11.6,0,Small,SM
atacama kozan,2031,6,base,9.5,11.6,0,Small,SM
atacama kozan,2031,6,bull,8.8,11.6,0,Small,SM
atacama kozan,2032,7,bear,8.1,11.6,0,Small,SM
atacama kozan,2032,7,base,8.1,11.6,0,Small,SM
atacama kozan,2032,7,bull,7.8,11.6,0,Small,SM
candelaria,2026,1,bear,123.8,125.2,2,Large,LC
candelaria,2026,1,base,123.8,125.2,2,Large,LC
candelaria,2026,1,bull,119.3,125.2,2,Large,LC
candelaria,2027,2,bear,113.2,125.2,2,Large,LC
candelaria,2027,2,base,113.2,125.2,2,Large,LC
candelaria,2027,2,bull,108.5,125.2,2,Large,LC
candelaria,2028,3,bear,110.7,125.2,2,Large,LC
candelaria,2028,3,base,110.7,125.2,2,Large,LC
candelaria,2028,3,bull,106.4,125.2,2,Large,LC
candelaria,2029,4,bear,109.2,125.2,2,Large,LC
candelaria,2029,4,base,109.2,125.2,2,Large,LC
candelaria,2029,4,bull,103.9,125.2,2,Large,LC
candelaria,2030,5,bear,109.7,125.2,2,Large,LC
candelaria,2030,5,base,109.7,125.2,2,Large,LC
candelaria,2030,5,bull,105.3,125.2,2,Large,LC
candelaria,2031,6,bear,104.4,125.2,2,Large,LC
candelaria,2031,6,base,104.4,125.2,2,Large,LC
