Mine,ForecastYear,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
andacollo,2026,1,34.1,50.5,10.2,55.7,50.5,1,Medium,1,SM
andacollo,2027,2,28.7,50.5,9.9,55.4,50.5,1,Medium,1,SM
andacollo,2028,3,27.3,50.5,10.2,57.0,50.5,1,Medium,1,SM
andacollo,2029,4,22.9,50.5,9.9,55.3,50.5,1,Medium,1,SM
andacollo,2030,5,15.3,50.5,8.8,53.1,50.5,1,Medium,1,SM
andacollo,2031,6,13.2,50.5,9.0,53.7,50.5,1,Medium,1,SM
andacollo,2032,7,13.0,50.5,8.7,53.5,50.5,1,Medium,1,SM
andina,2026,1,171.8,181.6,161.4,184.1,181.6,3,Colossal,2,LC
andina,2027,2,167.3,181.6,159.0,180.3,181.6,3,Colossal,2,LC
andina,2028,3,178.6,181.6,154.4,178.8,181.6,3,Colossal,2,LC
andina,2029,4,174.0,181.6,146.1,173.5,181.6,3,Colossal,2,LC
andina,2030,5,164.9,181.6,138.5,167.2,181.6,3,Colossal,2,LC
andina,2031,6,155.9,181.6,134.2,164.4,181.6,3,Colossal,2,LC
andina,2032,7,148.8,181.6,130.8,164.2,181.6,3,Colossal,2,LC
antucoya,2026,1,75.8,81.2,73.3,83.1,81.2,1,Medium,1,SM
antucoya,2027,2,73.2,81.2,69.6,81.5,81.2,1,Medium,1,SM
antucoya,2028,3,74.5,81.2,68.5,79.0,81.2,1,Medium,1,SM
antucoya,2029,4,72.9,81.2,64.8,77.1,81.2,1,Medium,1,SM
antucoya,2030,5,68.8,81.2,58.9,74.2,81.2,1,Medium,1,SM
antucoya,2031,6,59.1,81.2,56.7,72.7,81.2,1,Medium,1,SM
antucoya,2032,7,59.3,81.2,53.0,71.7,81.2,1,Medium,1,SM
atacama kozan,2026,1,11.9,11.6,12.0,12.7,11.6,0,Small,1,SM
atacama kozan,2027,2,11.5,11.6,11.9,12.4,11.6,0,Small,1,SM
atacama kozan,2028,3,12.2,11.6,11.4,12.2,11.6,0,Small,1,SM
atacama kozan,2029,4,11.9,11.6,10.9,11.2,11.6,0,Small,1,SM
atacama kozan,2030,5,10.7,11.6,10.1,10.2,11.6,0,Small,1,SM
atacama kozan,2031,6,9.5,11.6,9.4,9.9,11.6,0,Small,1,SM
atacama kozan,2032,7,8.1,11.6,8.8,9.9,11.6,0,Small,1,SM
candelaria,2026,1,123.8,125.2,115.1,131.4,125.2,2,Large,1,LC
candelaria,2027,2,113.2,125.2,109.8,130.3,125.2,2,Large,1,LC
candelaria,2028,3,110.7,125.2,106.8,125.6,125.2,2,Large,1,LC
candelaria,2029,4,109.2,125.2,101.4,125.3,125.2,2,Large,1,LC
candelaria,2030,5,109.7,125.2,100.4,123.3,125.2,2,Large,1,LC
candelaria,2031,6,104.4,125.2,100.0,122.4,125.2,2,Large,1,LC
candelaria,2032,7,103.4,125.2,97.2,119.7,125.2,2,Large,1,LC
capstone copper (4),2026,1,173.0,157.0,132.7,230.7,157.0,2,Large,0,LC
capstone copper (4),2027,2,174.3,157.0,131.1,228.9,157.0,2,Large,0,LC
