Region,Region_Name,ForecastYear,Horizonte,Direct_MAE,Direct_MAPE,Direct_Ens,Naive_Pred,Origin_Prod,Region_Size,BU_Pred,BU_Naive,BU_Lower,BU_Upper,Best_Source_MAPE,MAPE_Best_Model,Final_Pred,Final_Lower,Final_Upper,Source
I,Tarapacá,2026,1,811.6,322.1,511.3,596.0,596.0,3,596.043,596.043,594.012,719.507,Naive,Ens,596.0,714.208,908.992,Naive
I,Tarapacá,2027,2,819.9,328.5,518.9,596.0,596.0,3,596.043,596.043,569.066,705.147,Naive,Ens,596.0,721.512,918.288,Naive
I,Tarapacá,2028,3,825.7,334.3,525.4,596.0,596.0,3,596.043,596.043,567.701,688.205,Naive,Ens,596.0,726.616,924.784,Naive
I,Tarapacá,2029,4,841.6,353.2,545.2,596.0,596.0,3,596.043,596.043,555.913,704.483,Naive,Ens,596.0,740.608,942.592,Naive
I,Tarapacá,2030,5,841.6,379.7,565.3,596.0,596.0,3,596.043,596.043,549.165,702.997,Naive,Ens,596.0,740.608,942.592,Naive
I,Tarapacá,2031,6,833.7,380.1,562.9,596.0,596.0,3,596.043,596.043,535.917,714.158,Naive,Ens,596.0,733.656,933.744,Naive
I,Tarapacá,2032,7,833.7,380.2,563.0,596.0,596.0,3,596.043,596.043,538.572,721.692,Naive,Ens,596.0,733.656,933.744,Naive
II,Antofagasta,2026,1,3411.5,1896.7,2543.7,3356.5,3356.5,3,3357.793,3356.494,3053.577,3592.269,Direct,LGB_MAE,3411.5,3002.12,3820.88,Direct
II,Antofagasta,2027,2,3427.1,1901.7,2553.0,3356.5,3356.5,3,3306.892,3356.494,2994.662,3604.136,Direct,LGB_MAE,3427.1,3015.848,3838.352,Direct
II,Antofagasta,2028,3,3429.7,2293.3,2804.5,3356.5,3356.5,3,3217.446,3356.494,2912.885,3593.988,Direct,LGB_MAE,3429.7,3018.136,3841.264,Direct
II,Antofagasta,2029,4,3429.7,2621.1,2998.2,3356.5,3356.5,3,3139.186,3356.494,2819.692,3529.175,Direct,LGB_MAE,3429.7,3018.136,3841.264,Direct
II,Antofagasta,2030,5,3429.7,2974.4,3194.0,3356.5,3356.5,3,3127.52,3356.494,2790.232,3502.586,Direct,LGB_MAE,3429.7,3018.136,3841.264,Direct
II,Antofagasta,2031,6,3424.6,2924.9,3164.9,3356.5,3356.5,3,3057.176,3356.494,2724.627,3484.743,Direct,LGB_MAE,3424.6,3013.648,3835.552,Direct
II,Antofagasta,2032,7,3424.6,2918.3,3161.3,3356.5,3356.5,3,2982.261,3356.494,2588.852,3456.976,Direct,LGB_MAE,3424.6,3013.648,3835.552,Direct
III,Atacama,2026,1,416.5,384.9,400.4,415.9,415.9,3,427.816,415.891,389.771,474.517,Direct,LGB_MAE,416.5,366.52,466.48,Direct
III,Atacama,2027,2,416.5,388.1,402.0,415.9,415.9,3,420.991,415.891,376.913,477.228,Direct,LGB_MAE,416.5,366.52,466.48,Direct
III,Atacama,2028,3,411.6,370.2,390.4,415.9,415.9,3,418.834,415.891,352.624,476.658,Direct,LGB_MAE,411.6,362.208,460.992,Direct
III,Atacama,2029,4,396.7,362.7,379.3,415.9,415.9,3,411.768,415.891,347.142,470.355,Direct,LGB_MAE,396.7,349.096,444.304,Direct
III,Atacama,2030,5,391.3,347.3,368.6,415.9,415.9,3,407.751,415.891,343.332,465.691,Direct,LGB_MAE,391.3,344.344,438.256,Direct
III,Atacama,2031,6,384.6,340.2,361.7,415.9,415.9,3,395.384,415.891,343.731,461.778,Direct,LGB_MAE,384.6,338.448,430.752,Direct
III,Atacama,2032,7,384.6,337.7,360.4,415.9,415.9,3,404.149,415.891,337.782,458.779,Direct,LGB_MAE,384.6,338.448,430.752,Direct
IV,Coquimbo,2026,1,356.9,525.3,433.0,358.2,358.2,3,344.705,358.165,308.715,429.738,BU,LGB_MAPE,344.705,308.715,429.738,BU
IV,Coquimbo,2027,2,356.9,526.6,433.5,358.2,358.2,3,331.067,358.165,295.131,433.716,BU,LGB_MAPE,331.067,295.131,433.716,BU
