WR,MAE_Model,MAE_Naive,Skill,MASE,N,Region,Region_Name,Model,WR_pct
0.5179,0.1174,0.1297,9.52,0.9048,56,I,Tarapacá,XGB,51.8
0.5,0.1336,0.1297,-2.97,1.0297,56,I,Tarapacá,LGB,50.0
0.4821,0.1205,0.1297,7.07,0.9293,56,I,Tarapacá,Ens,48.2
0.4464,0.0668,0.0486,-37.5,1.375,56,II,Antofagasta,XGB,44.6
0.3571,0.0735,0.0486,-51.26,1.5126,56,II,Antofagasta,LGB,35.7
0.4107,0.0672,0.0486,-38.36,1.3836,56,II,Antofagasta,Ens,41.1
0.7143,0.147,0.2315,36.51,0.6349,56,III,Atacama,XGB,71.4
0.7143,0.1418,0.2315,38.76,0.6124,56,III,Atacama,LGB,71.4
0.7321,0.1388,0.2315,40.06,0.5994,56,III,Atacama,Ens,73.2
0.3393,0.1751,0.1132,-54.73,1.5473,56,IV,Coquimbo,XGB,33.9
0.3036,0.2036,0.1132,-79.94,1.7994,56,IV,Coquimbo,LGB,30.4
0.3036,0.1872,0.1132,-65.41,1.6541,56,IV,Coquimbo,Ens,30.4
0.4821,0.2288,0.2102,-8.83,1.0883,56,RM,Metropolitana,XGB,48.2
0.5536,0.2365,0.2102,-12.49,1.1249,56,RM,Metropolitana,LGB,55.4
0.5179,0.2323,0.2102,-10.5,1.105,56,RM,Metropolitana,Ens,51.8
0.2321,0.1474,0.092,-60.32,1.6032,56,V,Valparaíso,XGB,23.2
0.5357,0.0966,0.092,-5.04,1.0504,56,V,Valparaíso,LGB,53.6
0.375,0.1153,0.092,-25.38,1.2538,56,V,Valparaíso,Ens,37.5
0.3214,0.1159,0.0869,-33.47,1.3347,56,VI,O'Higgins,XGB,32.1
0.6786,0.0693,0.0869,20.17,0.7983,56,VI,O'Higgins,LGB,67.9
0.5357,0.0863,0.0869,0.66,0.9934,56,VI,O'Higgins,Ens,53.6
0.4,0.675,0.7306,7.61,0.9239,15,XV,Arica y Parinacota,XGB,40.0
0.4667,0.5772,0.7306,20.99,0.7901,15,XV,Arica y Parinacota,LGB,46.7
0.4667,0.6222,0.7306,14.83,0.8517,15,XV,Arica y Parinacota,Ens,46.7
0.4349,0.1623,0.1524,-6.45,1.0645,407,NAC,Nacional,XGB,43.5
0.5184,0.1527,0.1524,-0.16,1.0016,407,NAC,Nacional,LGB,51.8
0.4791,0.1533,0.1524,-0.59,1.0059,407,NAC,Nacional,Ens,47.9
