Exp,Segment,Skill_%,WR_%,Minas_50,H57_avg,H1,H2,H3,H4,H5,H6,H7
LGB_LogRatio,SM,0.1,51.0,4,50.8,50.0,50.0,47.6,57.1,52.4,54.8,45.2
XGB_LogRatio,SM,1.2,48.3,4,49.2,47.6,45.2,45.2,52.4,50.0,52.4,45.2
LGB_MultiH,SM,9.4,53.7,7,60.3,45.2,47.6,50.0,52.4,57.1,59.5,64.3
RF_MultiH,SM,11.4,55.1,7,63.5,42.9,45.2,50.0,57.1,61.9,61.9,66.7
Ens_5050,SM,6.4,56.5,7,67.5,38.1,50.0,52.4,52.4,66.7,64.3,71.4
Ens_7030,SM,9.1,54.1,5,63.5,38.1,42.9,52.4,54.8,61.9,59.5,69.0
Ens_3070,SM,3.1,58.8,7,63.5,47.6,54.8,59.5,59.5,66.7,64.3,59.5
Ens_Super_Annual,SM,3.1,58.8,7,63.5,45.2,54.8,61.9,59.5,66.7,61.9,61.9
LGB_LargeCol,LC,-12.3,47.1,10,45.3,47.1,47.7,49.7,49.0,49.0,43.1,43.8
LGB_MultiH_LC,LC,-25.2,45.8,10,47.7,35.9,47.7,48.4,45.8,52.3,47.1,43.8
Ens_LC_5050,LC,-9.7,47.1,10,46.0,47.1,49.0,48.4,47.1,46.4,43.8,47.7
Ens_LC_7030,LC,-10.6,47.4,11,45.7,48.4,49.0,52.3,45.1,46.4,43.1,47.7
Ens_LC_3070,LC,-9.7,50.3,10,48.4,53.6,49.7,52.3,51.6,49.7,45.8,49.7
SARIMAX,ALL,-12.1,48.5,10,51.3,46.7,42.5,49.7,46.7,49.1,53.3,51.5
Ens_Segmentado,ALL,-7.8,53.3,14,55.7,50.8,48.2,53.3,53.3,54.4,56.4,56.4
Ens_Adaptive,ALL,1.9,35.2,12,34.5,35.1,33.3,36.3,38.1,35.7,33.5,34.3
