Mine,WR,MAE_M,MAE_N,MAPE,MS,MASE,Skill,MdAPE_N,MdAPE_M,MdAPE_Skill,WSkill,Size_Label,DM_stat,p_value,sig,verdict
michilla,0.5555555555555556,28.9379786585561,28.98525861111111,123.12132709323576,1,0.998,0.2,223.33333333333337,117.905751119778,47.2,-0.0,Medium,0.066,0.9474,,TIE
zaldivar,0.7407407407407407,17.694747338527904,22.10422504612516,17.81813742330946,2,0.801,19.9,24.39478021925434,13.276523643529735,45.6,22.5,Large,-0.365,0.7148,,TIE
antucoya,0.5833333333333334,20.089184308883887,22.032416666666663,25.06519779380253,0,0.912,8.8,12.834812995169187,8.587322449068115,33.1,10.1,Small,-2.212,0.027,**,MODEL★
cerro colorado,0.8518518518518519,19.583360657078995,22.13474074074074,27.11820435498845,1,0.885,11.5,28.582909188320365,20.03897419576375,29.9,12.4,Medium,-3.961,0.0001,***,MODEL★
candelaria,0.7777777777777778,22.74710544995636,26.345888888888894,19.98765663787813,2,0.863,13.7,18.60962736364933,13.34396554795374,28.3,14.0,Large,-3.63,0.0003,***,MODEL★
capstone copper (4),0.7407407407407407,22.252964901113614,24.50704507528417,23.05134315304268,2,0.908,9.2,30.630630630630613,22.01831249212428,28.1,12.2,Large,-0.944,0.3452,,TIE
andacollo,0.6666666666666666,19.28705132898082,22.07708333333333,42.300976591237486,1,0.874,12.6,48.09090909090906,37.054024153822255,23.0,13.8,Medium,-2.285,0.0223,**,MODEL★
lomas bayas,0.4444444444444444,7.053131195693506,5.862925925925925,9.988664113503267,1,1.203,-20.3,7.008760951188997,5.468492398746031,22.0,-16.2,Medium,1.922,0.0546,*,NAIVE★
salvador,0.6296296296296297,16.122620870255815,17.70933333333333,111.3519166730371,1,0.91,9.0,15.131578947368403,13.076917284476645,13.6,10.2,Medium,-1.838,0.066,*,MODEL★
sierra gorda,0.5333333333333333,78.95926406676514,83.80926666666667,47.74354899653114,0,0.942,5.8,42.94202656563971,38.18534886164328,11.1,6.0,Small,-1.877,0.0605,*,MODEL★
centinela_centinela_sulfuros_,0.6666666666666666,22.07334653948725,24.721459181428692,14.127987194737186,0,0.893,10.7,11.086969580064714,10.004692270312711,9.8,10.6,Small,-1.784,0.0745,*,MODEL★
gabriela mistral,0.625,16.258711596273667,16.80766666666667,15.645521813606974,2,0.967,3.3,17.205820330921277,15.630211410296909,9.2,5.7,Large,-0.388,0.698,,TIE
ministro hales,1.0,70.51698415282573,77.2088888888889,46.53443574058693,0,0.913,8.7,55.04908933280234,50.50200058103676,8.3,8.5,Small,-4.901,0.0,***,MODEL★
el abra,0.2962962962962963,46.34196544001681,45.554514000000005,55.67981885530707,3,1.017,-1.7,56.67506297229219,55.51113651030728,2.1,-1.8,Colossal,1.606,0.1082,,TIE
andina,0.5555555555555556,39.42764579125316,38.76240740740741,21.86349276754127,3,1.017,-1.7,21.023607817796503,21.07377646947111,-0.2,-1.4,Colossal,1.331,0.1832,,TIE
el teniente,0.5555555555555556,58.025960698547216,57.895111111111135,14.231792811843324,3,1.002,-0.2,13.754566946056308,14.42937168481051,-4.9,-0.2,Colossal,0.258,0.7967,,TIE
los bronces,0.4074074074074074,97.69992939972256,91.32396296296297,32.38298761262594,3,1.07,-7.0,24.2207606519874,25.485085841859807,-5.2,-6.9,Colossal,1.785,0.0743,*,NAIVE★
collahuasi,0.2592592592592592,137.4193560568617,109.38737037037036,22.928028505650687,3,1.256,-25.6,18.90396287040341,19.892647551329677,-5.2,-27.0,Colossal,3.963,0.0001,***,NAIVE★
escondida,0.5925925925925926,111.10301483880558,114.38576377777778,11.142418074480066,3,0.971,2.9,9.308414615771689,9.959707588007385,-7.0,3.1,Colossal,-0.227,0.8201,,TIE
radomiro tomic,0.3333333333333333,70.0894764121074,62.35533333333334,26.15577446456822,3,1.124,-12.4,17.851550266207326,19.844574618778204,-11.2,-12.8,Colossal,1.087,0.2772,,TIE
chuquicamata,0.4444444444444444,90.28503154421742,72.43196296296296,27.737570307530664,3,1.246,-24.6,15.01120238984317,17.222888001173608,-14.7,-24.9,Colossal,2.658,0.0079,***,NAIVE★
los pelambres,0.5185185185185185,68.62139287891078,48.54700000000004,20.548021383381936,3,1.414,-41.4,12.705248990578747,19.47987400731909,-53.3,-39.5,Colossal,3.008,0.0026,***,NAIVE★
caserones,0.3888888888888889,60.92107042113422,45.05705555555556,41.72641065221324,0,1.352,-35.2,22.894013569377307,42.82723185528722,-87.1,-41.2,Small,1.246,0.2128,,TIE
centinela_centinela_óxidos_,0.3333333333333333,33.715516208858745,21.87475507407407,42.39888781543905,2,1.541,-54.1,25.227568270481115,49.3267856203444,-95.5,-51.7,Large,3.469,0.0005,***,NAIVE★
