Mine,WR,WR%,Skill,MAPE,MASE,H57_WR%,Size_Label
capstone copper (4),0.8413,84.1,43.14,11.26,0.569,88.9,Large
sierra gorda,0.8286,82.9,51.56,20.96,0.484,100.0,Small
ministro hales,0.8095,81.0,33.85,26.62,0.661,83.3,Medium
caserones,0.7619,76.2,36.68,22.93,0.633,66.7,Medium
zaldivar,0.7143,71.4,42.74,9.5,0.573,85.2,Large
centinela_centinela_óxidos_,0.6825,68.3,18.46,21.85,0.815,63.0,Large
gabriela mistral,0.6429,64.3,39.65,6.55,0.604,87.5,Large
los bronces,0.6032,60.3,18.64,18.44,0.814,81.5,Colossal
andina,0.5873,58.7,14.78,12.99,0.852,70.4,Colossal
candelaria,0.5714,57.1,9.67,17.26,0.903,59.3,Large
el abra,0.5714,57.1,21.15,31.4,0.788,81.5,Colossal
escondida,0.5714,57.1,23.66,10.07,0.763,44.4,Colossal
radomiro tomic,0.5238,52.4,-1.28,17.62,1.013,59.3,Colossal
chuquicamata,0.5238,52.4,-54.44,25.66,1.544,48.1,Colossal
los pelambres,0.5079,50.8,8.82,8.42,0.912,63.0,Colossal
centinela_centinela_sulfuros_,0.5,50.0,6.91,13.55,0.931,54.2,Large
el teniente,0.4762,47.6,-10.98,10.07,1.11,51.9,Colossal
antucoya,0.4643,46.4,-5.02,29.06,1.05,50.0,Small
andacollo,0.3929,39.3,-50.97,38.82,1.51,50.0,Medium
collahuasi,0.3651,36.5,-38.13,23.75,1.381,25.9,Colossal
michilla,0.28,28.0,-73.17,66.98,1.732,40.0,Medium
salvador,0.2698,27.0,-40.5,36.41,1.405,33.3,Medium
cerro colorado,0.2333,23.3,-41.31,25.46,1.413,16.7,Large
lomas bayas,0.2222,22.2,-122.37,16.61,2.224,18.5,Large
