Modelo,Seg,Skill%,WR_%,H57%,H+1,H+2,H+3,H+4,H+5,H+6,H+7
HistMean_5y,All,-22.6,38.8,40.4,31.7,36.0,41.7,41.1,38.6,39.4,43.5
LinTrend,All,-130.1,29.2,29.5,26.7,28.1,32.6,28.2,29.9,29.9,28.7
ExpSmooth,All,-21.6,40.4,41.7,34.6,37.2,43.4,43.2,40.7,39.8,45.0
HoltWinters_Opt,All,-113.5,30.1,28.7,31.7,32.2,30.2,30.7,29.5,28.2,28.2
SARIMAX,All,-12.4,47.4,49.9,46.2,41.1,47.7,47.2,47.2,51.3,51.5
LGB_LogRatio,SM,-7.3,45.8,48.7,44.6,44.6,33.9,51.8,48.2,48.2,50.0
XGB_LogRatio,SM,-6.5,46.8,50.0,51.8,39.3,33.9,53.6,46.4,53.6,50.0
LGB_MultiH,SM,9.3,48.9,57.8,35.7,44.6,42.9,48.2,53.6,55.4,66.7
RF_MultiH,SM,11.5,61.4,70.1,42.9,51.8,58.9,67.9,66.1,66.1,81.0
LGB_LargeCol,LC,-5.5,46.6,47.9,45.3,44.1,48.8,44.7,48.2,48.2,47.1
XGB_LargeCol,LC,-0.3,51.4,51.3,45.9,54.7,54.7,50.6,52.4,49.4,52.3
LGB_MultiH_LC,LC,-11.2,47.7,49.3,42.9,39.4,55.3,48.8,46.5,50.0,51.6
RF_MultiH_LC,LC,-3.1,52.1,52.9,50.0,54.7,50.0,51.2,50.0,53.5,55.6
