Modelo,H+1,H+6,H+12,H+24,H+36,H+48,H+60,WR_avg,Hfoc,ΔHfoc,Skill
Naive,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
SeasonalNaive,0.3441295546558704,0.43373493975903615,0.0,0.6055776892430279,0.5737051792828686,0.549800796812749,0.5742971887550201,0.47755227552275525,0.5659121171770972,0.06591211717709722,0.05602600645788769
HistMean_12m,0.4302788844621514,0.5816733067729084,0.5697211155378487,0.601593625498008,0.549800796812749,0.5418326693227091,0.5341365461847389,0.5605642440969028,0.5419440745672437,0.041944074567243694,0.0962215843169425
LinTrend,0.4262948207171315,0.50199203187251,0.4302788844621514,0.33067729083665337,0.32669322709163345,0.2549800796812749,0.21686746987951808,0.3676786261882858,0.2663115845539281,-0.23368841544607188,-0.6255977632931389
ExpSmooth,0.47808764940239046,0.5577689243027888,0.5657370517928287,0.5856573705179283,0.5657370517928287,0.5418326693227091,0.5582329317269076,0.5642440969027905,0.5552596537949401,0.05525965379494013,0.1548621082961784
Holt,0.4701195219123506,0.5537848605577689,0.4541832669322709,0.4302788844621514,0.43824701195219123,0.41434262948207173,0.39357429718875503,0.46243483593989576,0.41544607190412786,-0.08455392809587214,-0.17703864813874048
ARIMA_111,0.4701195219123506,0.5697211155378487,0.549800796812749,0.5657370517928287,0.5856573705179283,0.5537848605577689,0.5542168674698795,0.5663906777062251,0.5645805592543276,0.0645805592543276,0.11119261048896045
LinearReg,0.3811659192825112,0.4170403587443946,0.4170403587443946,0.4439461883408072,0.38565022421524664,0.38565022421524664,0.38009049773755654,0.412150500517777,0.383808095952024,-0.11619190404797602,-0.28134955694231834
Ridge,0.3811659192825112,0.4125560538116592,0.4080717488789238,0.4439461883408072,0.38565022421524664,0.39461883408071746,0.38009049773755654,0.41318605453917845,0.3868065967016492,-0.11319340329835081,-0.29110035251045674
Lasso,0.34977578475336324,0.4260089686098655,0.4080717488789238,0.39461883408071746,0.40358744394618834,0.3901345291479821,0.38009049773755654,0.4083534691059717,0.391304347826087,-0.10869565217391303,-0.2953624059691742
RandomForest,0.43946188340807174,0.5112107623318386,0.49327354260089684,0.515695067264574,0.47085201793721976,0.45739910313901344,0.5203619909502263,0.49913703831549877,0.4827586206896552,-0.017241379310344807,0.04276170227856213
LightGBM,0.40358744394618834,0.5022421524663677,0.4618834080717489,0.47085201793721976,0.452914798206278,0.4618834080717489,0.45248868778280543,0.4680704176734553,0.45577211394302847,-0.04422788605697153,-0.008027857590417353
XGBoost,0.39461883408071746,0.45739910313901344,0.4304932735426009,0.47533632286995514,0.43946188340807174,0.4260089686098655,0.4434389140271493,0.44943044528822923,0.4362818590704648,-0.0637181409295352,-0.05186069108364144
AutoARIMA,0.3147410358565737,0.4262948207171315,0.3426294820717131,0.3466135458167331,0.3466135458167331,0.2948207171314741,0.3373493975903614,0.35479914136767865,0.3262316910785619,-0.17376830892143807,-0.0782025103109687
HoltWinters,0.4292929292929293,0.4696969696969697,0.41414141414141414,0.3686868686868687,0.35858585858585856,0.3181818181818182,0.29591836734693877,0.3938569206842924,0.32432432432432434,-0.17567567567567566,-0.5697214142671583
RF_Seg,0.4618834080717489,0.5112107623318386,0.48878923766816146,0.5650224215246636,0.47533632286995514,0.4977578475336323,0.5113122171945701,0.5053503624439075,0.4947526236881559,-0.005247376311844076,0.07555335684219466
LGB_Seg,0.4080717488789238,0.42152466367713004,0.42152466367713004,0.4304932735426009,0.43946188340807174,0.4170403587443946,0.4479638009049774,0.4352778736624094,0.43478260869565216,-0.06521739130434784,-0.06237525581250636
XGB_Seg,0.4260089686098655,0.4260089686098655,0.47533632286995514,0.4349775784753363,0.43946188340807174,0.4349775784753363,0.4434389140271493,0.4445978598550224,0.43928035982008995,-0.06071964017991005,-0.04421807905455144
LGB_Optuna_Seg,0.4260089686098655,0.4484304932735426,0.484304932735426,0.515695067264574,0.452914798206278,0.4439461883408072,0.47058823529411764,0.4725578184328616,0.45577211394302847,-0.04422788605697153,0.016875126604855906
