Mine,Bias_kt,Bias_pct,WR,N
escondida,-6.695510348577832,-4.648518773778773,0.8,15
sierra gorda,-1.8214890942339086,-11.186910915580576,0.45714285714285713,35
candelaria,-1.748641661937868,-15.413920087805815,0.36363636363636365,22
radomiro tomic,-1.5818941024448365,-4.805191737523489,0.7333333333333333,15
el abra,-1.3144130550888453,-13.249504335474038,0.6136363636363636,44
mantoverde,-1.244337184509494,-16.281639227638347,0.6136363636363636,44
antucoya,-0.6707130372169169,-9.750113469250312,0.7435897435897436,39
mantos blancos,-0.28162497660597674,-3.770740196123156,0.6590909090909091,44
atacama kozan,-0.04721450147249187,-2.168159445498347,0.75,44
el soldado,0.038517679332965966,5.419777983562717,0.6363636363636364,44
lomas bayas,0.26489655062531386,6.087201973689254,0.6136363636363636,44
caserones,0.3022906131265549,10.035881970171522,0.6666666666666666,15
franke,0.44021587254197647,48.35153839031845,0.6363636363636364,44
gabriela mistral,0.46531213575547303,8.844263003787962,0.4583333333333333,24
centinela,0.858412311826175,15.283074897386435,0.7333333333333333,30
ojos del salado,0.8663705569825542,71.90178007083216,0.45454545454545453,44
andina,1.1172743518817876,8.518853614860115,0.6666666666666666,15
zaldivar,1.5143953392355993,25.919414107149763,0.4594594594594595,37
otros,1.5720665432966667,18.15055143348043,0.4666666666666667,15
cerro colorado,1.7555004527130986,46.678874568505385,0.24,25
andacollo,1.8149281153292025,65.51408044621785,0.5454545454545454,44
salvador,2.3255088364744942,179.4613489791793,0.20588235294117646,34
los pelambres,4.683444503470951,20.128474542465497,0.13333333333333333,15
ministro hales,5.319679063207678,111.46280062624288,0.4666666666666667,15
chuquicamata,9.389819477572724,57.42004821625808,0.4,15
el teniente,10.207150306371448,36.81231807767883,0.26666666666666666,15
los bronces,11.61874989075027,80.65504001056304,0.06666666666666667,15
collahuasi,12.202133558348192,36.403717025473455,0.8,15
