Mine,Size_Label,WR_Annual_%,WR_Monthly_%,Skill_Annual_%,Skill_Monthly_%,MASE_Annual,MASE_Monthly
lomas bayas,Large,22.220000000000002,63.0,-122.37,20.53,2.224,
collahuasi,Colossal,36.51,59.699999999999996,-38.13,9.15,1.381,
andacollo,Medium,39.290000000000006,64.3,-49.67,30.399999999999995,1.497,
el teniente,Colossal,47.620000000000005,55.2,-10.98,4.92,1.11,
los pelambres,Colossal,50.79,55.8,8.82,16.01,0.912,
radomiro tomic,Colossal,52.38,62.3,-1.28,24.26,1.013,
chuquicamata,Colossal,52.38,48.7,-54.44,8.53,1.544,
centinela_centinela_sulfuros_,Large,53.56999999999999,70.1,7.39,25.59,0.926,
escondida,Colossal,57.14,51.9,23.66,10.0,0.763,
el abra,Colossal,57.14,50.0,21.15,-3.75,0.788,
candelaria,Large,57.14,49.36753246753248,9.67,-5.087272727272726,0.903,
andina,Colossal,58.730000000000004,70.1,14.78,28.259999999999998,0.852,
los bronces,Colossal,60.31999999999999,53.900000000000006,18.64,7.670000000000001,0.814,
antucoya,Small,60.709999999999994,52.6,4.35,0.62,0.957,
gabriela mistral,Large,64.29,58.400000000000006,39.65,17.109999999999996,0.604,
zaldivar,Large,71.43,53.923376623376626,42.74,-1.7112987012987018,0.573,
caserones,Medium,73.81,59.099999999999994,35.45,20.61,0.646,
ministro hales,Medium,80.95,59.699999999999996,33.93,22.09,0.661,
sierra gorda,Small,82.86,54.52337662337663,50.5,15.659285714285712,0.495,
