ML,Stat,α_sm_s,α_sm_l,α_sm_mid,α_lc,MAPE,Skill,WR,WR_Focus,M50,Label
LGB,ARIMA,0.3,0.5,0.4,0.2,21.0,21.43,63.7,65.0,25,LGB+ARIMA SM=0.3/0.5 LC=0.2
LGB,ARIMA,0.3,0.5,0.4,0.3,20.88,22.02,63.3,64.8,24,LGB+ARIMA SM=0.3/0.5 LC=0.3
LGB,ARIMA,0.3,0.5,0.4,0.4,20.83,22.14,63.4,65.4,24,LGB+ARIMA SM=0.3/0.5 LC=0.4
LGB,ARIMA,0.3,0.5,0.4,0.5,20.86,21.54,63.3,65.6,24,LGB+ARIMA SM=0.3/0.5 LC=0.5
LGB,ARIMA,0.3,0.5,0.4,0.6,20.96,20.49,62.5,64.2,23,LGB+ARIMA SM=0.3/0.5 LC=0.6
LGB,ARIMA,0.3,0.5,0.4,0.7,21.08,19.13,61.7,63.6,23,LGB+ARIMA SM=0.3/0.5 LC=0.7
LGB,ARIMA,0.3,0.6,0.45,0.2,20.86,21.48,63.7,64.6,25,LGB+ARIMA SM=0.3/0.6 LC=0.2
LGB,ARIMA,0.3,0.6,0.45,0.3,20.74,22.07,63.3,64.4,24,LGB+ARIMA SM=0.3/0.6 LC=0.3
LGB,ARIMA,0.3,0.6,0.45,0.4,20.69,22.2,63.4,65.0,24,LGB+ARIMA SM=0.3/0.6 LC=0.4
LGB,ARIMA,0.3,0.6,0.45,0.5,20.72,21.6,63.3,65.2,24,LGB+ARIMA SM=0.3/0.6 LC=0.5
LGB,ARIMA,0.3,0.6,0.45,0.6,20.82,20.54,62.5,63.8,23,LGB+ARIMA SM=0.3/0.6 LC=0.6
LGB,ARIMA,0.3,0.6,0.45,0.7,20.94,19.18,61.7,63.2,23,LGB+ARIMA SM=0.3/0.6 LC=0.7
LGB,ARIMA,0.3,0.7,0.5,0.2,20.77,21.43,63.2,63.4,25,LGB+ARIMA SM=0.3/0.7 LC=0.2
LGB,ARIMA,0.3,0.7,0.5,0.3,20.65,22.02,62.8,63.2,24,LGB+ARIMA SM=0.3/0.7 LC=0.3
LGB,ARIMA,0.3,0.7,0.5,0.4,20.6,22.15,62.9,63.8,24,LGB+ARIMA SM=0.3/0.7 LC=0.4
LGB,ARIMA,0.3,0.7,0.5,0.5,20.63,21.55,62.8,64.0,24,LGB+ARIMA SM=0.3/0.7 LC=0.5
LGB,ARIMA,0.3,0.7,0.5,0.6,20.73,20.49,62.0,62.6,23,LGB+ARIMA SM=0.3/0.7 LC=0.6
LGB,ARIMA,0.3,0.7,0.5,0.7,20.86,19.13,61.2,61.9,23,LGB+ARIMA SM=0.3/0.7 LC=0.7
LGB,ARIMA,0.3,0.8,0.55,0.2,20.74,21.27,63.2,63.4,25,LGB+ARIMA SM=0.3/0.8 LC=0.2
LGB,ARIMA,0.3,0.8,0.55,0.3,20.62,21.86,62.8,63.2,24,LGB+ARIMA SM=0.3/0.8 LC=0.3
LGB,ARIMA,0.3,0.8,0.55,0.4,20.57,21.98,62.9,63.8,24,LGB+ARIMA SM=0.3/0.8 LC=0.4
LGB,ARIMA,0.3,0.8,0.55,0.5,20.6,21.38,62.8,64.0,24,LGB+ARIMA SM=0.3/0.8 LC=0.5
LGB,ARIMA,0.3,0.8,0.55,0.6,20.7,20.33,62.0,62.6,23,LGB+ARIMA SM=0.3/0.8 LC=0.6
LGB,ARIMA,0.3,0.8,0.55,0.7,20.83,18.96,61.2,61.9,23,LGB+ARIMA SM=0.3/0.8 LC=0.7
LGB,ARIMA,0.3,0.9,0.6,0.2,20.81,20.96,63.1,63.0,24,LGB+ARIMA SM=0.3/0.9 LC=0.2
