Origin,Horizonte,Mine,Segment,Actual,Pred,Naive
2018-01-01,6,andacollo,SM,5.4,3.575453532799131,8.4
2018-01-01,6,andina,LC,16.1,15.680640828556633,19.5
2018-01-01,6,antucoya,SM,5.0,6.372538307178207,6.7
2018-01-01,6,atacama kozan,SM,1.1,1.1489363259012126,1.0
2018-01-01,6,candelaria,LC,7.4,8.733703029240736,9.4
2018-01-01,6,caserones,LC,11.0,11.521458029342728,13.0
2018-01-01,6,centinela_oxidos,SM,7.1,7.77847102710358,5.3
2018-01-01,6,centinela_sulfuros,LC,8.6,13.049032801055986,16.4
2018-01-01,6,cerro colorado,SM,5.1,5.8465733549616585,5.4
2018-01-01,6,chuquicamata,LC,16.621,24.17166045658753,15.228
2018-01-01,6,collahuasi,LC,43.2,54.04698026118497,44.4
2018-01-01,6,el abra,SM,7.7,5.962143155241244,6.9
2018-01-01,6,el soldado,SM,5.218,3.8040794141505154,3.6
2018-01-01,6,el teniente,LC,42.6,36.10809986987751,36.6
2018-01-01,6,escondida,LC,110.9,84.15292390936742,77.1
2018-01-01,6,franke,SM,1.8,1.0344140265708568,1.7
2018-01-01,6,gabriela mistral,LC,9.3,9.089555948204051,7.2
2018-01-01,6,lomas bayas,SM,6.3,5.831196866711664,7.2
2018-01-01,6,los bronces,LC,33.943,24.59639194586766,20.858
2018-01-01,6,los pelambres,LC,35.2,26.155045373648925,28.1
2018-01-01,6,mantos blancos,SM,3.926,2.968477293035374,3.569
2018-01-01,6,mantoverde,SM,3.601,3.31480743682898,3.065
2018-01-01,6,ministro hales,LC,15.6,14.362376745088916,23.8
2018-01-01,6,ojos del salado,SM,2.8,2.303234150708967,2.1
2018-01-01,6,otros,LC,10.832,11.722542915254845,11.749
2018-01-01,6,radomiro tomic,LC,28.301,20.860976023710023,25.704
2018-01-01,6,salvador,SM,4.0,4.9630706529501625,4.3
2018-01-01,6,sierra gorda,SM,7.9,13.28490455084913,7.8
2018-01-01,6,zaldivar,SM,8.0,7.142702705245748,8.7
2018-01-01,9,andacollo,SM,5.7,3.598214572063449,8.4
2018-01-01,9,andina,LC,17.3,15.631949268140671,19.5
2018-01-01,9,antucoya,SM,6.7,6.44983033000265,6.7
2018-01-01,9,atacama kozan,SM,1.1,1.1481423209377257,1.0
2018-01-01,9,candelaria,LC,8.7,8.827699382339585,9.4
2018-01-01,9,caserones,LC,11.9,11.492846493639565,13.0
2018-01-01,9,centinela_oxidos,SM,8.1,7.765501231363111,5.3
2018-01-01,9,centinela_sulfuros,LC,16.7,12.677497857285934,16.4
2018-01-01,9,cerro colorado,SM,6.8,5.840614867677123,5.4
2018-01-01,9,chuquicamata,LC,25.448,25.17620330733113,15.228
2018-01-01,9,collahuasi,LC,49.1,53.3603749869149,44.4
2018-01-01,9,el abra,SM,7.6,5.89754403216145,6.9
2018-01-01,9,el soldado,SM,5.442,3.8192446145347674,3.6
2018-01-01,9,el teniente,LC,39.0,36.18670255564357,36.6
2018-01-01,9,escondida,LC,95.9,85.84373717779198,77.1
2018-01-01,9,franke,SM,1.9,1.0326344718869347,1.7
2018-01-01,9,gabriela mistral,LC,10.2,8.998029769459169,7.2
2018-01-01,9,lomas bayas,SM,6.5,5.829677551372505,7.2
2018-01-01,9,los bronces,LC,33.259,24.209484223332673,20.858
2018-01-01,9,los pelambres,LC,32.6,26.20345765262037,28.1
2018-01-01,9,mantos blancos,SM,3.558,2.9801713864459027,3.569
2018-01-01,9,mantoverde,SM,4.147,3.3410644634733546,3.065
2018-01-01,9,ministro hales,LC,16.7,14.087828648759565,23.8
2018-01-01,9,ojos del salado,SM,2.5,2.2562136448268495,2.1
2018-01-01,9,otros,LC,12.572,11.58600744585698,11.749
