Mine,ForecastDate,Horizonte,Scenario,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment,Cu_Regime
andacollo,2026-01-01,1,bear,2.8680718846707975,5.487,1.4190718846707975,3.9350718846707977,5.487,0,Small,1,SmallMed,0.2
andacollo,2026-03-01,3,bear,2.6970718846707973,5.487,1.9090718846707977,3.875071884670798,5.487,0,Small,1,SmallMed,0.2
andacollo,2026-06-01,6,bear,6.156071884670798,5.487,3.678071884670798,4.765071884670798,5.487,0,Small,1,SmallMed,0.2
andacollo,2026-09-01,9,bear,2.2380718846707977,5.487,1.2170718846707975,3.8570718846707974,5.487,0,Small,1,SmallMed,0.2
andacollo,2026-12-01,12,bear,12.813071884670798,5.487,3.398071884670798,3.9660718846707974,5.487,0,Small,1,SmallMed,0.2
andacollo,2027-06-01,18,bear,12.536071884670799,5.487,3.0280718846707977,4.282071884670798,5.487,0,Small,1,SmallMed,0.2
andacollo,2027-12-01,24,bear,17.658071884670797,5.487,4.688071884670798,3.824071884670798,5.487,0,Small,1,SmallMed,0.2
andacollo,2028-06-01,30,bear,11.608071884670798,5.487,3.1870718846707975,3.470071884670798,5.487,0,Small,1,SmallMed,0.2
andacollo,2028-12-01,36,bear,26.7500718846708,5.487,5.322071884670797,3.3710718846707977,5.487,0,Small,1,SmallMed,0.2
andacollo,2029-06-01,42,bear,27.483071884670796,5.487,4.980071884670798,3.7510718846707976,5.487,0,Small,1,SmallMed,0.2
andacollo,2029-12-01,48,bear,20.920071884670797,5.487,4.459071884670798,3.0650718846707976,5.487,0,Small,1,SmallMed,0.2
andacollo,2030-06-01,54,bear,22.970071884670798,5.487,5.060071884670798,3.186071884670798,5.487,0,Small,1,SmallMed,0.2
andacollo,2030-12-01,60,bear,21.405071884670797,5.487,6.136071884670797,3.3490718846707974,5.487,0,Small,1,SmallMed,0.2
andacollo,2031-12-01,72,bear,22.545071884670797,5.487,5.011071884670797,3.018071884670798,5.487,0,Small,1,SmallMed,0.2
andacollo,2032-12-01,84,bear,18.699071884670797,5.487,5.012071884670798,3.1260718846707976,5.487,0,Small,1,SmallMed,0.2
andina,2026-01-01,1,bear,16.289725648118214,24.069,10.335725648118212,22.952725648118214,24.069,3,Colossal,2,LargeColossal,0.2
andina,2026-03-01,3,bear,12.324725648118212,24.069,6.651725648118212,24.506725648118213,24.069,3,Colossal,2,LargeColossal,0.2
andina,2026-06-01,6,bear,60.12672564811821,24.069,34.50172564811821,25.366725648118216,24.069,3,Colossal,2,LargeColossal,0.2
andina,2026-09-01,9,bear,11.711725648118213,24.069,8.386725648118212,24.734725648118214,24.069,3,Colossal,2,LargeColossal,0.2
andina,2026-12-01,12,bear,54.100725648118214,24.069,36.16372564811821,24.412725648118215,24.069,3,Colossal,2,LargeColossal,0.2
andina,2027-06-01,18,bear,58.48672564811821,24.069,28.623725648118214,25.642725648118216,24.069,3,Colossal,2,LargeColossal,0.2
andina,2027-12-01,24,bear,56.04172564811821,24.069,32.13172564811821,24.371725648118215,24.069,3,Colossal,2,LargeColossal,0.2
andina,2028-06-01,30,bear,58.92972564811821,24.069,26.889725648118215,24.401725648118212,24.069,3,Colossal,2,LargeColossal,0.2
andina,2028-12-01,36,bear,76.53472564811821,24.069,35.57172564811821,24.872725648118212,24.069,3,Colossal,2,LargeColossal,0.2
andina,2029-06-01,42,bear,112.38672564811822,24.069,47.51572564811821,26.807725648118215,24.069,3,Colossal,2,LargeColossal,0.2
