Mine,ForecastDate,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
andacollo,2026-01-01,1,2.8700718846707973,5.487,1.4190718846707975,3.883071884670798,5.487,0,Small,1,SmallMed
andacollo,2026-03-01,3,2.699071884670798,5.487,1.8430718846707974,3.712071884670798,5.487,0,Small,1,SmallMed
andacollo,2026-06-01,6,5.721071884670797,5.487,3.909071884670798,4.789071884670798,5.487,0,Small,1,SmallMed
andacollo,2026-09-01,9,2.1950718846707975,5.487,0.9650718846707973,3.8100718846707977,5.487,0,Small,1,SmallMed
andacollo,2026-12-01,12,10.353071884670797,5.487,3.829071884670798,3.9590718846707977,5.487,0,Small,1,SmallMed
andacollo,2027-06-01,18,10.400071884670798,5.487,2.726071884670798,3.928071884670798,5.487,0,Small,1,SmallMed
andacollo,2027-12-01,24,14.337071884670799,5.487,3.0570718846707976,3.5510718846707974,5.487,0,Small,1,SmallMed
andacollo,2028-06-01,30,10.004071884670799,5.487,2.0410718846707976,3.5760718846707977,5.487,0,Small,1,SmallMed
andacollo,2028-12-01,36,19.310071884670798,5.487,2.936071884670798,3.0650718846707976,5.487,0,Small,1,SmallMed
andacollo,2029-06-01,42,22.254071884670797,5.487,3.978071884670798,3.680071884670798,5.487,0,Small,1,SmallMed
andacollo,2029-12-01,48,17.940071884670797,5.487,4.7720718846707975,4.012071884670798,5.487,0,Small,1,SmallMed
andacollo,2030-06-01,54,19.409071884670798,5.487,3.8390718846707976,4.431071884670798,5.487,0,Small,1,SmallMed
andacollo,2030-12-01,60,18.069071884670798,5.487,5.096071884670797,3.5960718846707973,5.487,0,Small,1,SmallMed
andacollo,2031-12-01,72,16.923071884670797,5.487,2.872071884670798,3.2030718846707975,5.487,0,Small,1,SmallMed
andacollo,2032-12-01,84,15.464071884670798,5.487,4.430071884670798,2.915071884670798,5.487,0,Small,1,SmallMed
andina,2026-01-01,1,16.264725648118215,24.069,10.252725648118211,23.059725648118214,24.069,3,Colossal,2,LargeColossal
andina,2026-03-01,3,12.208725648118213,24.069,6.749725648118212,24.066725648118215,24.069,3,Colossal,2,LargeColossal
andina,2026-06-01,6,61.93472564811821,24.069,34.18772564811821,25.159725648118215,24.069,3,Colossal,2,LargeColossal
andina,2026-09-01,9,11.659725648118211,24.069,8.305725648118212,24.676725648118214,24.069,3,Colossal,2,LargeColossal
andina,2026-12-01,12,54.79572564811821,24.069,38.12672564811821,24.183725648118212,24.069,3,Colossal,2,LargeColossal
andina,2027-06-01,18,59.05472564811821,24.069,34.66372564811821,25.895725648118216,24.069,3,Colossal,2,LargeColossal
andina,2027-12-01,24,57.222725648118214,24.069,40.11872564811821,24.641725648118214,24.069,3,Colossal,2,LargeColossal
andina,2028-06-01,30,59.35372564811821,24.069,34.68872564811821,24.657725648118213,24.069,3,Colossal,2,LargeColossal
andina,2028-12-01,36,76.2507256481182,24.069,47.42772564811821,24.361725648118213,24.069,3,Colossal,2,LargeColossal
andina,2029-06-01,42,112.6647256481182,24.069,53.68672564811821,26.393725648118213,24.069,3,Colossal,2,LargeColossal
andina,2029-12-01,48,116.91872564811821,24.069,49.033725648118214,25.182725648118215,24.069,3,Colossal,2,LargeColossal
andina,2030-06-01,54,119.43372564811821,24.069,51.54072564811821,24.033725648118214,24.069,3,Colossal,2,LargeColossal
andina,2030-12-01,60,116.62472564811821,24.069,46.14672564811821,25.481725648118214,24.069,3,Colossal,2,LargeColossal
andina,2031-12-01,72,122.87972564811821,24.069,46.38772564811821,25.767725648118216,24.069,3,Colossal,2,LargeColossal
andina,2032-12-01,84,116.4797256481182,24.069,46.38772564811821,24.619725648118212,24.069,3,Colossal,2,LargeColossal
antucoya,2026-01-01,1,6.947713037216917,8.211,6.4357130372169165,8.128713037216917,8.211,1,Medium,1,SmallMed
antucoya,2026-03-01,3,6.732713037216917,8.211,5.835713037216917,8.018713037216918,8.211,1,Medium,1,SmallMed
antucoya,2026-06-01,6,14.167713037216917,8.211,10.868713037216917,12.546713037216916,8.211,1,Medium,1,SmallMed
antucoya,2026-09-01,9,6.296713037216917,8.211,4.491713037216917,8.049713037216916,8.211,1,Medium,1,SmallMed
antucoya,2026-12-01,12,15.952713037216917,8.211,12.744713037216917,13.410713037216917,8.211,1,Medium,1,SmallMed
antucoya,2027-06-01,18,15.380713037216918,8.211,13.263713037216917,13.913713037216917,8.211,1,Medium,1,SmallMed
antucoya,2027-12-01,24,17.566713037216918,8.211,13.261713037216916,12.498713037216916,8.211,1,Medium,1,SmallMed
antucoya,2028-06-01,30,16.718713037216915,8.211,12.598713037216918,13.552713037216916,8.211,1,Medium,1,SmallMed
antucoya,2028-12-01,36,19.044713037216916,8.211,13.711713037216917,11.649713037216916,8.211,1,Medium,1,SmallMed
antucoya,2029-06-01,42,20.788713037216915,8.211,15.022713037216917,15.584713037216916,8.211,1,Medium,1,SmallMed
antucoya,2029-12-01,48,19.77971303721692,8.211,14.833713037216917,19.187713037216916,8.211,1,Medium,1,SmallMed
antucoya,2030-06-01,54,22.153713037216917,8.211,14.552713037216916,19.136713037216918,8.211,1,Medium,1,SmallMed
antucoya,2030-12-01,60,20.425713037216916,8.211,14.450713037216916,14.786713037216916,8.211,1,Medium,1,SmallMed
antucoya,2031-12-01,72,19.43071303721692,8.211,14.989713037216918,13.385713037216917,8.211,1,Medium,1,SmallMed
antucoya,2032-12-01,84,17.662713037216918,8.211,13.789713037216917,15.665713037216916,8.211,1,Medium,1,SmallMed
atacama kozan,2026-01-01,1,0.9892145014724918,1.067,0.8262145014724919,1.157214501472492,1.067,0,Small,0,SmallMed
atacama kozan,2026-03-01,3,0.9382145014724919,1.067,0.7152145014724919,1.1812145014724917,1.067,0,Small,0,SmallMed
atacama kozan,2026-06-01,6,1.9732145014724918,1.067,2.041214501472492,1.1952145014724918,1.067,0,Small,0,SmallMed
atacama kozan,2026-09-01,9,0.7232145014724919,1.067,0.5892145014724919,1.109214501472492,1.067,0,Small,0,SmallMed
atacama kozan,2026-12-01,12,3.483214501472492,1.067,1.8342145014724918,1.274214501472492,1.067,0,Small,0,SmallMed
atacama kozan,2027-06-01,18,2.288214501472492,1.067,1.6922145014724919,1.290214501472492,1.067,0,Small,0,SmallMed
atacama kozan,2027-12-01,24,2.6902145014724916,1.067,1.8172145014724919,1.242214501472492,1.067,0,Small,0,SmallMed
atacama kozan,2028-06-01,30,2.0722145014724918,1.067,2.058214501472492,1.242214501472492,1.067,0,Small,0,SmallMed
atacama kozan,2028-12-01,36,2.779214501472492,1.067,2.0962145014724918,1.3002145014724917,1.067,0,Small,0,SmallMed
atacama kozan,2029-06-01,42,3.426214501472492,1.067,2.6092145014724917,1.248214501472492,1.067,0,Small,0,SmallMed
atacama kozan,2029-12-01,48,3.491214501472492,1.067,2.255214501472492,1.2182145014724919,1.067,0,Small,0,SmallMed
atacama kozan,2030-06-01,54,3.412214501472492,1.067,2.386214501472492,1.4972145014724918,1.067,0,Small,0,SmallMed
atacama kozan,2030-12-01,60,3.4962145014724917,1.067,2.3632145014724917,1.498214501472492,1.067,0,Small,0,SmallMed
atacama kozan,2031-12-01,72,3.631214501472492,1.067,2.461214501472492,1.4752145014724918,1.067,0,Small,0,SmallMed
atacama kozan,2032-12-01,84,3.372214501472492,1.067,2.4922145014724917,1.415214501472492,1.067,0,Small,0,SmallMed
candelaria,2026-01-01,1,11.586641661937866,11.228,9.165641661937867,12.907641661937868,11.228,2,Large,1,LargeColossal
candelaria,2026-03-01,3,12.189641661937868,11.228,6.695641661937868,14.405641661937867,11.228,2,Large,1,LargeColossal
candelaria,2026-06-01,6,18.067641661937866,11.228,21.725641661937868,15.852641661937867,11.228,2,Large,1,LargeColossal
candelaria,2026-09-01,9,6.930641661937869,11.228,4.802641661937868,14.946641661937868,11.228,2,Large,1,LargeColossal
candelaria,2026-12-01,12,31.474641661937866,11.228,22.980641661937867,15.509641661937867,11.228,2,Large,1,LargeColossal
candelaria,2027-06-01,18,38.405641661937864,11.228,23.10464166193787,16.902641661937867,11.228,2,Large,1,LargeColossal
candelaria,2027-12-01,24,39.41664166193787,11.228,23.901641661937866,15.575641661937867,11.228,2,Large,1,LargeColossal
candelaria,2028-06-01,30,36.57764166193787,11.228,20.591641661937867,17.196641661937868,11.228,2,Large,1,LargeColossal
candelaria,2028-12-01,36,36.66664166193787,11.228,22.465641661937866,15.887641661937867,11.228,2,Large,1,LargeColossal
candelaria,2029-06-01,42,41.792641661937864,11.228,23.966641661937867,17.40764166193787,11.228,2,Large,1,LargeColossal
candelaria,2029-12-01,48,54.99564166193787,11.228,23.550641661937867,16.271641661937867,11.228,2,Large,1,LargeColossal
candelaria,2030-06-01,54,61.57764166193787,11.228,22.735641661937866,15.903641661937867,11.228,2,Large,1,LargeColossal
candelaria,2030-12-01,60,58.76864166193787,11.228,21.329641661937867,16.591641661937867,11.228,2,Large,1,LargeColossal
candelaria,2031-12-01,72,59.44064166193787,11.228,22.384641661937867,17.841641661937867,11.228,2,Large,1,LargeColossal
candelaria,2032-12-01,84,57.356641661937864,11.228,22.154641661937866,17.65164166193787,11.228,2,Large,1,LargeColossal
caserones,2026-01-01,1,12.024709386873445,15.225,8.526709386873446,16.036709386873444,15.225,2,Large,1,LargeColossal
caserones,2026-03-01,3,11.191709386873445,15.225,5.611709386873445,15.958709386873444,15.225,2,Large,1,LargeColossal
caserones,2026-06-01,6,31.462709386873446,15.225,25.832709386873447,16.856709386873444,15.225,2,Large,1,LargeColossal
caserones,2026-09-01,9,7.095709386873445,15.225,5.804709386873445,15.205709386873444,15.225,2,Large,1,LargeColossal
caserones,2026-12-01,12,40.384709386873446,15.225,22.883709386873445,19.776709386873446,15.225,2,Large,1,LargeColossal
caserones,2027-06-01,18,43.70670938687345,15.225,19.008709386873445,23.135709386873444,15.225,2,Large,1,LargeColossal
caserones,2027-12-01,24,39.311709386873446,15.225,19.008709386873445,23.090709386873446,15.225,2,Large,1,LargeColossal
caserones,2028-06-01,30,42.134709386873446,15.225,19.061709386873446,24.571709386873444,15.225,2,Large,1,LargeColossal
