Mine,WR,MAE_M,MAE_N,MAPE,MS,MASE,Skill,MdAPE_N,MdAPE_M,MdAPE_Skill,WSkill,Size_Label,DM_stat,p_value,sig,verdict
andina,0.6666666666666666,1.6872959503241984,2.543,10.876077584171234,2,0.664,33.6,11.786682735763792,8.772812686062503,25.6,37.0,Large,-2.052,0.0402,**,MODEL★
el soldado,0.6153846153846154,0.714288827293672,0.8758461538461539,15.73097639440043,0,0.816,18.4,15.5710697328583,11.90159997316744,23.6,16.4,Small,-2.162,0.0306,**,MODEL★
atacama kozan,0.6538461538461539,0.1473811632609291,0.2103548411384615,6.863459574793838,0,0.701,29.9,6.632059947832623,5.181893738511548,21.9,32.8,Small,-2.642,0.0082,***,MODEL★
collahuasi,0.7777777777777778,11.53023600372645,12.667333333333335,33.4473939814261,3,0.91,9.0,23.2030842971762,18.278467578053988,21.2,10.1,Colossal,-1.712,0.087,*,MODEL★
lomas bayas,0.6538461538461539,0.6884623790829567,0.7615733461538461,10.371098148123307,1,0.904,9.6,10.321848929022304,8.190317229518136,20.7,10.5,Medium,-2.857,0.0043,***,MODEL★
centinela,0.6666666666666666,2.26481034334361,2.9664214412531376,22.17788665161933,2,0.763,23.7,26.0520804833441,21.05941716706235,19.2,23.0,Large,-2.877,0.004,***,MODEL★
escondida,0.7777777777777778,15.233472402885528,18.03144444444445,15.178975466588692,3,0.845,15.5,19.2101845896188,15.674045331133572,18.4,16.9,Colossal,-2.175,0.0296,**,MODEL★
otros,0.5555555555555556,2.237786915580303,2.5648870274181164,21.325246449517085,2,0.872,12.8,21.578043412264737,18.2101042587143,15.6,18.7,Large,-1.878,0.0604,*,MODEL★
antucoya,0.782608695652174,0.743269498503838,0.8546950434782609,9.601021471402616,1,0.87,13.0,9.747292418772563,8.366310319413975,14.2,13.0,Medium,-2.828,0.0047,***,MODEL★
ministro hales,0.4444444444444444,5.312929731307909,5.0937777777777775,90.29284216701213,2,1.043,-4.3,30.722018583240995,26.3676361665016,14.2,-5.4,Large,-0.112,0.9109,,TIE
cerro colorado,0.2692307692307692,3.355078443193876,3.0198461538461534,256.1536780148027,1,1.111,-11.1,58.74185770517509,55.40348553616856,5.7,-13.8,Medium,0.892,0.3724,,TIE
mantos blancos,0.6538461538461539,0.5915882082043341,0.6364615384615385,12.419697630685976,0,0.929,7.1,10.242557745355192,9.725122047129588,5.1,6.2,Small,-2.043,0.0411,**,MODEL★
sierra gorda,0.4761904761904761,3.971324840553458,4.035740416846812,28.35282622555738,1,0.984,1.6,31.89032258064516,31.292280486399875,1.9,1.3,Medium,-1.599,0.1099,,TIE
caserones,0.6666666666666666,1.9790610586447277,2.308222222222222,24.345691026566453,2,0.857,14.3,10.144527294485872,9.978980637213096,1.6,20.6,Large,-1.638,0.1015,,TIE
el abra,0.5769230769230769,1.9056111732445769,1.9252295,21.136894914879854,1,0.99,1.0,21.9769622603349,21.640660343032188,1.5,1.1,Medium,-1.573,0.1157,,TIE
mantoverde,0.5384615384615384,1.3934334585471992,1.3969615384615384,18.67497701846388,0,0.997,0.3,11.791730549197696,11.741167141800831,0.4,0.1,Small,-0.166,0.8683,,TIE
ojos del salado,0.4615384615384615,0.8945147510291179,0.9365769230769232,39.63153023714805,0,0.955,4.5,42.0827998292787,42.19087839659496,-0.3,4.2,Small,-0.445,0.656,,TIE
chuquicamata,0.5555555555555556,8.53631718144833,9.606888888888887,49.95684718768958,3,0.889,11.1,44.69067749264404,48.02667635698082,-7.5,13.7,Colossal,-0.267,0.7895,,TIE
franke,0.6538461538461539,0.4479830050431611,0.4432178846153846,23.33894171188429,0,1.011,-1.1,16.715286236379644,18.277695042619804,-9.3,-2.8,Small,-1.412,0.1578,,TIE
candelaria,0.3846153846153846,1.9711164303814668,1.6062303175362702,16.268446662945824,1,1.227,-22.7,12.326845519901813,13.524998147373,-9.7,-25.9,Medium,0.9,0.368,,TIE
gabriela mistral,0.3571428571428571,1.3551924028499067,1.4052142857142855,15.795374772324225,1,0.964,3.6,11.755710565260175,13.524759026718964,-15.0,-3.3,Medium,-1.048,0.2947,,TIE
los bronces,0.1111111111111111,11.510152015547469,9.821222222222223,73.21503829480383,3,1.172,-17.2,64.93641019738737,77.39150622756291,-19.2,-15.0,Colossal,3.925,0.0001,***,NAIVE★
el teniente,0.3333333333333333,10.296673748198105,8.539555555555555,36.09205411961002,3,1.206,-20.6,33.93848985939633,40.48199760123893,-19.3,-18.9,Colossal,1.032,0.3019,,TIE
los pelambres,0.1111111111111111,5.242876604175841,4.114764312605582,22.54716615450759,3,1.274,-27.4,10.97846531803003,14.364868818038191,-30.8,-36.2,Colossal,1.542,0.123,,TIE
salvador,0.1538461538461538,2.815416861667718,2.4436153846153847,178.1626518557447,0,1.152,-15.2,105.55096987205944,140.8696658640315,-33.5,-16.1,Small,2.753,0.0059,***,NAIVE★
zaldivar,0.4545454545454545,1.4581235719679904,1.243409090909091,20.74999575790748,1,1.173,-17.3,13.96503904231691,18.891900227337487,-35.3,-18.1,Medium,2.034,0.042,**,NAIVE★
andacollo,0.5769230769230769,1.9545221808420288,1.9618846153846157,50.543843414138905,1,0.996,0.4,30.932392777090524,44.21189794581674,-42.9,0.0,Medium,0.203,0.8388,,TIE
radomiro tomic,0.6666666666666666,2.8335600229283333,3.266000000000001,10.379894566025406,3,0.868,13.2,7.442774249554519,10.817152938801184,-45.3,7.7,Colossal,-1.463,0.1434,,TIE
