Feature,SHAP_mean_abs_SM,SHAP_mean_abs_LC
Prod_vs_peak,0.10653690880688485,0.10136111495756958
Mine_share,0.057895875585666605,0.06732974631433622
Stock_Level_Lag3,0.028150427816869467,0.011360973865212417
Horizonte_feat,0.024366536681442175,0.01633429978429816
NatCorr_24m,0.01908082707065793,0.00489507227812969
Mine_age,0.018101944726471166,0.008321012981097522
Prod_MA12,0.014197836395292875,0.015943615576272312
Reserve_Life,0.01198879323415189,0.021865381177729522
Prod_pct_change_m,0.010110465233248834,0.010206970040040043
Prod_Lag12,0.009817587939790583,0.005888834571853066
Prod_Lag1,0.006624893234867656,0.01760382407822876
Company_Size,0.006156037464210867,0.0019574271732257344
Friction,0.0060495559170633895,
Month_sin,0.004694708376941726,0.007872412434042063
Shock_Intensity,0.0030781090967889695,0.002695766973226316
Cu_Price_Lag12,0.002751152554640294,
Tendencia_12m,0.0026028939094026185,0.006939635309524304
Mine_trend_slope_36m,0.002142821339052912,0.0036108261331453586
SIGEX_Cu_InEval,0.0017344477506457154,0.006190115481631568
Is_Oxide,0.001340400317434967,0.00024219712027934482
Is_Terminal_Decline,0.0,0.0
Is_Recovery_Target,0.0,0.0
Capital_Stock,,0.014321981936264093
SIGEX_Cu_Total,,0.014509604511333218
