Mine,Segment,MAPE,WR,Skill
atacama kozan,SM,8.2,58.6,7.3
lomas bayas,SM,8.7,70.1,24.5
antucoya,SM,9.7,64.4,42.8
escondida,LC,11.1,59.8,20.7
mantos blancos,SM,11.6,50.6,-4.3
radomiro tomic,LC,12.6,66.7,28.4
zaldivar,SM,12.6,81.5,43.4
centinela_oxidos,SM,12.6,66.7,33.0
otros,LC,13.4,62.1,22.3
gabriela mistral,SM,13.7,51.9,20.5
andina,LC,13.8,65.5,17.1
collahuasi,LC,13.9,63.2,13.0
mantoverde,SM,13.9,58.6,10.0
candelaria,SM,14.8,86.4,47.0
sierra gorda,LC,15.9,79.6,34.8
el abra,SM,16.1,49.4,-3.8
sierra gorda,SM,16.2,97.0,47.1
franke,SM,16.3,75.9,37.2
el soldado,SM,17.0,57.5,14.8
candelaria,LC,17.2,55.4,7.3
el teniente,LC,17.4,69.0,27.0
gabriela mistral,LC,17.5,60.6,22.7
ojos del salado,SM,18.0,80.5,35.1
los pelambres,LC,18.0,67.8,24.3
caserones,LC,19.1,46.0,8.8
zaldivar,LC,19.7,9.1,-51.3
centinela_sulfuros,LC,26.1,67.8,32.5
andacollo,SM,27.4,81.6,41.9
los bronces,LC,30.8,81.6,34.1
ministro hales,LC,31.9,64.4,25.4
chuquicamata,LC,39.2,60.9,2.0
