Model,Seg,WR%,Skill%,Hfoc%,H1m,H3m,H6m,H9m,H12m,H18m,H24m,H30m,H36m,H42m,H48m,H54m,H60m
Hist. Mean 12m,All,52.9,3.5,51.0,43.1,50.8,54.5,59.3,55.2,56.6,53.2,54.5,51.2,54.5,49.3,52.7,52.8
Linear Trend,All,35.8,-79.1,26.9,38.0,40.7,47.5,50.2,38.0,41.8,34.0,36.0,31.3,26.9,24.8,26.7,23.6
Exp. Smoothing,All,46.3,-8.4,45.3,32.3,44.8,50.2,54.5,45.5,50.2,47.5,47.8,44.8,44.4,42.2,48.6,50.0
Holt-Winters,All,21.0,-308.1,14.2,35.0,33.7,28.6,27.9,23.2,21.2,14.8,15.8,12.8,13.8,13.3,12.3,17.1
"ARIMA(1,1,1)",All,54.8,6.1,53.3,47.1,53.2,55.9,65.1,54.9,59.0,52.2,54.2,54.2,55.3,49.3,54.4,57.0
LightGBM LR (SM),SM,51.2,1.1,40.0,55.7,55.7,50.0,49.2,63.4,44.9,51.2,44.3,41.1,42.9,35.7,—,—
XGBoost LR (SM),SM,51.1,-0.3,42.9,57.1,50.0,46.0,57.1,58.9,45.9,48.8,42.9,42.9,54.8,42.9,—,—
CatBoost LR (SM),SM,50.8,1.1,42.9,57.1,47.9,49.2,55.6,61.6,40.8,52.4,44.3,41.1,45.2,50.0,—,—
LightGBM Multi-H (SM),SM,52.8,1.9,54.1,47.9,51.4,53.6,60.0,51.4,52.9,52.9,47.9,47.9,52.9,54.8,54.5,62.2
RF Multi-H (SM),SM,50.1,0.9,50.5,47.9,47.9,50.0,56.4,50.7,51.4,49.3,46.4,45.7,50.0,48.4,50.0,60.2
MLP Multi-H (SM),SM,30.1,-63.3,25.3,35.7,37.9,33.6,38.6,32.9,32.1,25.7,27.1,25.7,28.6,24.6,19.6,25.5
LightGBM (LC),LC,50.1,-3.6,45.2,50.9,45.5,58.8,54.5,47.3,52.6,53.3,49.5,46.7,41.3,42.2,20.0,—
XGBoost (LC),LC,51.5,-5.4,51.1,49.1,47.3,54.5,46.7,59.3,54.1,59.2,55.2,52.2,40.0,48.9,20.0,—
RF (LC),LC,52.9,0.3,52.6,55.2,45.5,58.2,55.2,53.3,60.0,51.7,48.6,57.8,49.3,42.2,20.0,—
LightGBM Multi-H (LC),LC,52.4,-1.8,48.3,45.5,49.7,60.0,56.4,59.4,63.0,46.7,55.8,53.9,53.3,47.3,43.7,41.7
RF Multi-H (LC),LC,54.8,1.4,52.4,47.3,49.1,56.4,62.4,58.8,63.0,55.2,57.0,55.8,53.9,49.3,51.1,51.7
MLP Multi-H (LC),LC,39.9,-73.5,37.2,47.3,45.5,41.2,49.1,37.6,35.8,44.2,40.0,39.4,33.3,32.7,30.4,40.0
